dab the surface with 61
dam in exchange for 70
dam in question was 71
dam is applied and 170
dam is breached and 45
dam is covered with 93
dam is located near 81
dam is planned for 64
dam is removed and 209
dam to nourish them 115
dam to provide for 69
day an account was 54
day an address was 149
day an advance was 78
day an article was 56
day an assault was 337
day an attempt has 84
day an attempt was 1429
day an autopsy was 55
day an elderly man 535
day an election was 75
day an incision was 91
day an inquest was 154
day an occasion for 212
day an officer and 82
day an officer was 230
day an officer who 65
day an officer with 76
day an unknown man 74
day as against one 45
day as beginning with 45
day as friends and 112
day as husband and 103
day as material for 58
day as payment for 96
day as quickly and 46
day as regards its 155
day at bedtime and 118
day at bedtime for 108
day at college and 58
day at daybreak they 70
day at leisure for 76
day at lexington and 118
day at luncheon and 68
day at luncheon she 185
day at luncheon that 98
day at luncheon with 47
day at sundown and 54
day at sundown for 140
day at sunrise and 777
day at sunrise she 49
day at sunrise they 50
day at windsor and 58
day be allowed for 378
day be ashamed that 45
day be blessed with 98
day be blotted out 177
day be brought out 47
day be carried off 80
day be carried out 455
day be charged with 117
day be covered with 465
day be crowned with 175
day be doubted that 144
day be pointed out 44
day be released and 40
day be stronger than 40
day be thankful for 83
day by asserting that 183
day by bradley and 46
day by declaring that 297
day by friends and 127
day by herself and 67
day by himself and 179
day by insisting that 217
day by medical men 40
day by observing that 89
day by parents who 81
day by persons who 423
day by proposing that 49
day by providing for 47
day by remarking that 144
day by squalls and 40
day by surgeons who 66
day by teachers and 53
day he advised his 42
day he allowed his 66
day he appealed for 40
day he appeared and 244
day he appeared for 52
day he appeared with 1391
day he applied for 606
day he arranged for 164
day he arranged that 54
day he arranged with 162
day he arrived and 730
day he arrived for 112
day he arrived near 43
day he arrived that 42
day he arrived was 84
day he arrived with 1424
day he assumed his 169
day he assured his 50
day he blurted out 216
day he boasted that 44
day he brought all 76
day he brought her 2466
day he brought him 601
day he brought his 2150
day he brought one 59
day he brought out 507
day he brought them 315
day he brought this 70
day he brought two 155
day he brought with 365
day he brought you 104
