dace along unto the 43
dame brings forth in 64
dame came back at 52
damn busy trying to 200
damn fool ever to 71
damn fool trying to 44
damn good care of 462
damn good care to 59
damn good look at 105
damn good mind to 211
damn good pair of 48
damn good shot at 127
damn good time to 159
damn good when he 104
damn hard work to 42
damn much time on 59
damn much work to 57
damn next stop is 60
damn sure have to 56
damn sure like to 43
damn sure none of 177
damn sure there is 102
damn sure want to 159
damn well come to 108
damn well have it 159
damn well have the 62
damn well have to 1890
damn well hope so 410
damn well keep it 121
damn well knew he 212
damn well knew it 1140
damn well knew the 151
damn well know he 140
damn well know it 3726
damn well know the 163
damn well know we 106
damn well learn to 99
damn well like it 53
damn well like to 292
damn well make it 138
damn well make the 144
damn well meant it 103
damn well meant to 134
damn well need it 70
damn well need to 100
damn well ready to 135
damn well take it 142
damn well take the 93
damn well talk to 45
damn well tell me 214
damn well there is 363
damn well think it 52
damn well think so 244
damn well want to 1253
damn well what he 986
damn well what it 897
damn well what the 610
damn well what we 305
damn well will be 119
damn well worth it 67
damn what kind of 802
damn what sort of 132
damn what time it 91
damn what went on 58
damn your soul to 603
damp areas such as 260
damp boat deep in 71
damp clay from the 41
damp cloth along the 48
damp cloth from the 209
damp cloth into the 53
damp cloth over it 201
damp cloth over my 74
damp cloth over the 1010
damp cloth when the 46
damp days when the 70
damp down some of 78
damp from rain or 137
damp hair clinging to 208
damp hair clung to 226
damp hair from my 108
damp hair from the 105
damp hangs upon the 54
damp mist from the 61
damp reek from the 57
damp rising from the 629
damp rose from the 160
damp sand along the 59
damp sand from the 41
damp sand into the 60
damp soil along the 136
damp soil rich in 51
damp wind blew in 242
damp wind blew up 47
damp wind from the 187
damp wood upon the 70
dams back into the 59
dams have been in 82
dams have been the 92
dams held back the 42
dams hold back the 123
dams were made in 53
dams were made of 105
dams were made to 46
dams were part of 53
dams were seen as 92
dams were used in 47
dams were used to 163
dams will also be 44
dams will have to 129
dare break into an 41
dare break into the 50
dare call upon the 40
dare come back to 289
dare come down to 73
dare come here to 102
dare come into my 162
dare come into the 281
dare even dream of 42
dare even look at 380
dare even think of 496
dare give rein to 46
dare give such an 78
dare give vent to 43
dare jump down to 62
dare look back as 61
dare look back at 281
dare look back to 171
dare look down at 202
dare look down on 69
dare look down to 68
dare look into it 48
dare look into the 327
dare look over at 114
dare look over the 58
dare look upon it 51
dare look upon the 131
dare make love to 88
dare make such an 260
dare move from the 113
dare once more to 115
dare only look at 138
dare open fire on 44
dare pawn down my 51
dare risk losing the 57
dare risk trying to 184
dare seem what we 88
dare send such an 45
dare step into the 120
dare step over the 42
dare stir from the 55
dare swear many of 62
dare swear there is 142
dare take hold of 53
dare take part in 95
dare take time to 146
dare take upon me 535
dare talk back to 351
dare their fate in 45
dare think what it 68
dare turn back to 87
dare walk down the 52
dare walk into the 71
dare well avow it 43
daring eyes give it 60
daring gave heart to 89
daring last look of 250
daring leaps into the 76
daring move upon the 43
daring once more to 51
daring raid into the 233
daring raid upon the 75
daring step into the 100
dark ages came to 57
dark ages down to 69
dark ages from the 212
dark ages into the 242
dark ages must be 49
dark ages prior to 45
dark ages were the 119
dark ages when it 194
dark ages when the 384
dark arch into the 95
dark areas along the 118
dark areas during the 42
dark areas from the 73
dark areas into the 42
dark areas must be 60
dark areas over the 43
dark areas seem to 50
dark areas seen in 63
dark areas show the 80
dark areas such as 181
dark areas tend to 74
dark areas will be 175
dark away from the 261
dark baby rest in 89
dark back room in 65
dark back room of 205
dark band along the 535
dark band down the 100
dark band from the 418
dark band over the 71
dark band seen in 49
dark band will be 239
dark bars along the 75
dark bars show the 56
dark beer from the 46
dark blot upon the 382
dark blue along the 72
dark blue areas in 41
dark blue areas of 50
dark blue band of 48
dark blue cloth of 114
dark blue coat is 52
dark blue coat of 115
dark blue cowl of 59
dark blue dome of 73
dark blue dots at 44
dark blue eyes as 479
dark blue eyes at 66
dark blue eyes he 54
dark blue eyes in 170
dark blue eyes of 509
dark blue eyes on 191
dark blue eyes or 58
dark blue eyes so 142
dark blue eyes to 143
dark blue form of 55
dark blue from the 271
dark blue like the 255
dark blue line in 68
dark blue line of 387
dark blue line on 99
dark blue mark on 43
dark blue mass of 112
dark blue over the 77
dark blue pair of 60
dark blue robe of 57
dark blue scum on 47
dark blue silk of 89
dark blue spot on 70
dark blue suit he 245
dark blue suit in 69
dark blue suit is 74
dark blue suit of 180
dark blue suit on 68
dark blue suit to 81
dark blue text on 74
dark blue when the 80
dark blue will be 55
dark blue wool of 58
dark blur upon the 141
dark body from the 44
dark bread from the 58
dark brow rose in 93
dark brow shot up 277
dark came down on 43
dark came into the 111
dark came upon us 159
dark cave deep in 44
dark cave full of 84
dark cave into the 261
dark cell into the 60
dark cloth over the 219
dark cold days of 41
dark days ahead of 112
dark days came to 46
dark days during the 126
dark days early in 101
dark days from the 40
dark days gone by 59
dark days have we 53
dark days leading up 44
dark days pass by 47
dark days prior to 54
dark days were at 64
dark days were in 75
dark days were to 40
dark days when he 318
dark days when it 225
dark days when the 1338
dark days when we 160
dark days will be 395
dark deed done in 60
dark door into the 65
dark dots along the 62
dark down here in 50
dark down there as 49
dark down there by 65
dark down there in 102
dark down there to 43
dark during most of 43
dark early days of 257
dark early years of 52
dark even during the 210
dark even when it 41
dark even when the 163
dark eyes among the 59
dark eyes back to 125
dark eyes bent on 152
dark eyes came in 54
dark eyes came to 123
dark eyes came up 128
dark eyes deep in 83
dark eyes fell on 100
dark eyes from the 286
dark eyes full of 3303
dark eyes full on 294
dark eyes gave me 46
dark eyes gazing at 213
dark eyes gazing on 107
dark eyes hard as 43
dark eyes held an 114
dark eyes held no 81
dark eyes held the 143
dark eyes huge in 79
dark eyes into the 129
dark eyes like an 52
dark eyes like the 166
dark eyes look at 85
dark eyes look up 70
dark eyes lost in 42
dark eyes loving me 48
dark eyes made me 45
dark eyes made the 47
dark eyes over the 245
dark eyes rest on 111
dark eyes rose to 65
dark eyes seem to 220
dark eyes shot at 43
dark eyes slid to 63
dark eyes such as 40
dark eyes sunk in 107
dark eyes swung to 46
dark eyes taking in 691
dark eyes taking on 63
dark eyes there is 50
dark eyes told in 61
dark eyes told me 82
dark eyes told of 61
dark eyes took in 809
dark eyes took on 956
dark eyes trying to 78
dark eyes turn to 42
dark eyes upon me 597
dark eyes upon my 77
dark eyes upon the 514
dark eyes went to 121
dark eyes were as 1204
dark eyes were at 40
dark eyes were in 69
dark eyes were no 116
dark eyes were of 43
dark eyes were on 439
dark eyes were so 731
dark eyes were the 247
dark eyes when he 391
dark eyes when the 57
dark eyes wide as 81
dark eyes wide in 102
dark face among the 105
dark face down to 102
dark face from the 43
dark face full of 120
dark face grew so 55
dark face into the 46
dark face like the 47
dark face over the 67
dark face took on 147
dark face when he 73
dark face wore an 58
dark fell upon the 94
dark flip side of 52
dark form part of 40
dark fringe along the 59
dark fringe from the 90
dark fringe will be 46
dark from lack of 212
dark from three in 52
dark from time to 84
dark from years of 112
dark gate into the 42
dark gaze slid to 47
dark gaze swung to 55
dark gaze took in 99
dark girl came to 128
dark girl from the 68
dark girl whom he 87
dark gray eyes of 59
dark gray from the 86
dark gray like the 47
dark gray mass of 72
dark gray rock of 43
dark gray suit he 92
dark gray suit of 59
dark gray suit to 48
dark gray tide of 131
dark hair along the 46
dark hair among the 57
dark hair back in 106
dark hair blew in 65
dark hair came to 60
dark hair clinging to 124
dark hair clung to 187
dark hair done in 100
dark hair done up 286
dark hair down the 77
dark hair down to 298
dark hair fell in 1689
dark hair fell on 173
dark hair fell to 311
dark hair flying in 148
dark hair from the 358
dark hair gene to 41
dark hair grew in 68
dark hair grew on 69
dark hair hanging in 377
dark hair hanging to 100
dark hair held in 54
