damp england what a 44
dare accept such a 53
dare attack such a 80
dare behave like a 83
dare commit such a 106
dare employ such a 43
dare hardly speak a 86
dare mention such a 83
daring attack upon a 111
daring escape from a 289
dark almost when j 40
dark bushes like a 89
dark church like a 96
dark clouds cast a 40
dark clouds like a 68
dark clouds over a 40
dark colors have a 45
dark colors make a 50
dark corner came a 48
dark corner like a 123
dark figure like a 72
dark figure wearing a 78
dark foliage like a 49
dark forest into a 91
dark forest like a 41
dark jacket over a 81
dark liquid from a 160
dark liquid into a 166
dark looked like a 98
dark nights when i 129
dark object like a 141
dark places like a 46
dark shadow from a 47
dark shadow like a 57
dark shadow over a 90
dark shapes amid a 74
dark should have a 42
dark stairs into a 66
dark street into a 42
dark tunnel into a 154
dark waters like a 65
dark waters over a 55
dark without even a 43
dark without making a 64
dart around like a 104
dash headlong into a 141
data access from a 211
data always have a 40
data arises from a 184
data arriving from a 52
data before making a 443
data blocks from a 60
data changes from a 53
data changes over a 50
data clearly show a 704
data copied from a 66
data covering only a 98
data covering such a 52
data covers only a 124
data culled from a 151
data derive from a 522
data deriving from a 117
data deviate from a 85
data emerge from a 71
data emerging from a 111
data extend over a 108
data fields from a 74
data fields into a 58
data frames from a 43
data gained from a 206
data gathering from a 44
data gleaned from a 264
data inputs from a 43
data loaded from a 76
data loaded into a 103
data matrix from a 67
data matrix into a 418
data models into a 122
data needed from a 48
data object from a 63
data object into a 65
data occurs when a 57
data output from a 456
data packed into a 42
data packet from a 93
data passed from a 54
data permit only a 127
data placed into a 63
data points along a 93
data points form a 545
data points from a 1703
data points gave a 45
data points give a 53
data points have a 189
data points into a 813
data points onto a 82
data points over a 333
data points show a 202
data pooled from a 42
data pulled from a 88
data record from a 115
data record into a 65
data result from a 316
data series from a 192
data series into a 81
data series over a 61
data should form a 72
data should give a 206
data should have a 502
data should play a 47
data should show a 162
data showed only a 119
data signal from a 132
data signal into a 87
data signal over a 116
data source from a 389
data source into a 246
data source uses a 47
data starting from a 50
data stemming from a 74
data streams from a 146
data streams into a 458
data streams onto a 87
data streams over a 95
data suffer from a 247
data values from a 468
data values have a 153
data values into a 645
data without having a 92
data without making a 62
date should have a 132
date someone from a 51
date something like a 48
date turned into a 85
dating someone from a 74
dawn glided like a 76
days always wore a 74
days became warm i 46
days before been a 56
days before during a 55
days before even a 45
days before filing a 261
days before from a 560
days before giving a 131
days before having a 76
days before leaving i 85
days before made a 154
days before making a 692
days before seeing a 87
days before sent a 43
days before such a 242
days before taking a 231
days before when a 122
days before when i 357
days earlier during a 148
days earlier from a 280
days earlier when a 238
days earlier when i 287
days looked like a 90
days merged into a 49
days passed into a 79
days passed like a 399
days passed when i 64
days recall when i 49
days seemed like a 498
days should have a 158
days something like a 72
days sounds like a 89
days through such a 55
days tracking down a 47
days turned into a 417
days without even a 246
days without filing a 108
days without firing a 83
days without food i 60
days without giving a 52
days without having a 356
days without hearing a 122
days without leaving a 139
days without losing a 144
days without making a 273
days without moving a 70
days without paying a 50
days without saying a 441
days without seeing a 1853
days without taking a 288
days worked during a 73
dealing occurs when a 353
dealt openly when i 42
deaths result from a 170
debt arises from a 240
debt arises upon a 88
debt crisis into a 49
debt should have a 68
deck looked like a 267
deck should have a 112
deck turned into a 66
deck without even a 48
deem thyself upon a 44
deep emotion many a 59
deep emotion when i 62
deep enough into a 386
deep inland there i 252
deep inside came a 59
deep inside like a 67
deep inside when i 40
deep regret when i 53
deep shadow upon a 51
deep should have a 46
deep sorrow when i 84
deep thought when i 42
deep watering once a 129
deep waters have a 48
deer almost into a 42
deer drinking from a 487
deer stalking like a 191
deer stepping into a 115
deny myself such a 51
deny myself what i 60
depth should have a 49
depth varies from a 236
desk across from a 47
desk before taking a 42
desk drawer when i 117
desk looked like a 294
desk shaped like a 64
desk should have a 254
desk tucked into a 50
desk without saying a 234
died almost half a 111
died before having a 97
died before making a 177
died before such a 77
died fighting like a 242
died laughing when i 116
died without even a 184
died without firing a 76
died without giving a 47
died without having a 364
died without leaving a 5163
died without making a 2097
died without naming a 342
died without saying a 273
died without seeing a 135
died without taking a 46
dies before filing a 210
dies before making a 43
dies without having a 325
dies without leaving a 6680
dies without making a 2664
diet should have a 288
digs itself into a 46
diode lasers have a 99
diode should have a 145
disc jockey from a 132
disc player uses a 46
disc shaped like a 52
disc should have a 109
dish placed over a 84
dish placed upon a 100
dish shaped like a 612
dish should have a 169
disk drives from a 43
disk drives have a 449
disk drives into a 55
disk shaped like a 48
disk should have a 149
dive headlong into a 411
diving headlong from a 71
diving headlong into a 173
dogs fighting over a 1593
dogs should have a 255
dogs should take a 62
dogs snarling over a 131
dogs suffer from a 59
doll carved from a 48
