daintier fare than polemics 49
dalliance over his beautiful 77
damnable life and deserved 84
dangerous fire and explosion 422
dangerous from his restless 40
dangerous from its liability 60
dangerous from that fruitful 48
dangerous when not properly 64
dangerous when one believes 43
dangerous when you consider 41
darkened from its original 66
darkness will not overcome 128
database file that contains 452
database theory and practice 212
daughter cell that receives 49
daughter cell then receives 46
daughter cell thus receives 49
daughter during her lifetime 355
daughter during her minority 89
daughter during his lifetime 50
daughter from his presence 46
daughter into his presence 70
daughter mary was baptized 73
daughter over his shoulder 51
daughter were yet helpless 48
daughter what had happened 287
daughter when her daughter 89
daughter when she returned 127
daughter when they returned 42
debarred from all commerce 67
debarred from all exercise 51
debarred from all pleasures 186
debarred from all religious 43
debarred from doing business 81
debarred from doing mischief 97
debarred from his presence 67
debarred from its benefits 45
decanted from any sediment 74
decedent during her lifetime 384
decedent during his lifetime 4291
decedent left real property 42
decedent make any transfer 152
deceived hope nor deserted 70
deceived those who received 203
decently upon all occasions 81
deception plan for operation 44
decipher what had happened 79
decisions dealing with questions 54
decisions have not provided 46
decisions have not required 60
decisions made and enforced 73
decisions made and executed 54
decisions made and policies 81
decisions made and problems 50
decisions there has recurred 122
decisions upon all questions 109
decisions were being reversed 66
decisions were not accepted 84
decisions were not affected 69
decisions were not decisions 43
decisions were not dictated 43
decisions were not directly 45
decisions were not enforced 49
decisions were not entirely 109
decisions were not followed 81
decisions were not formally 42
decisions were not forthcoming 45
decisions were not included 47
decisions were not intended 80
decisions were not properly 41
decisions were not recorded 67
decisions were not regarded 50
decisions were not reported 78
decisions when they consider 49
decisions when they purchase 43
decisive break with medieval 55
decisive break with tradition 262
decisive means for politics 168
decisive step and declared 45
decisive step was followed 60
declared during his campaign 83
declared ends and purposes 63
declared free all children 112
declared open for business 94
declared open for selection 166
declared ready for business 50
declared their own republic 92
declared upon all occasions 48
declared what had befallen 41
declared what had happened 126
declares void any contract 41
declined from its original 345
declined from its pristine 151
declined giving any absolute 122
declined giving any attention 50
declined giving any decisive 62
declined giving any definite 65
declined giving any positive 96
declined more than expected 100
declined paying any attention 42
declined what her situation 161
decorous young man acquires 47
decreased cost and increased 156
decreased flow and increased 40
decreased from its original 134
decreased hearing and tinnitus 138
decreased more than expected 57
decreased need for calories 55
decreased pain and improved 330
decreased pain and increased 496
decreased risk for coronary 88
decreased risk for developing 118
decreased size and increased 64
decreased tone and motility 107
decreases from its original 213
decreases from its positive 42
decreases pain and increases 49
decreases size and severity 158
dedicate their own children 49
dedicate time and attention 42
deducted from all payments 57
deducted from any estimate 45
deducted from any interest 52
deducted from any judgment 62
deducted from any payments 145
deducted from any recovery 72
deducted from any sentence 161
deducted from each employee 249
deducted from each paycheck 433
deducted from her paycheck 174
deducted from his paycheck 901
deducted from his personal 43
deducted from his probable 45
deducted from his property 62
deducted from his receipts 44
deducted from his recovery 86
deducted from his sentence 61
deducted from its original 65
deducted from our salaries 57
deducted from tax liability 62
deducted from that evidence 100
deducted from that obtained 189
deducted from this estimate 42
deduction from each paycheck 101
deduction from his grandeur 219
deduction from his greatness 68
deduction from his holiness 194
deduction from his ordinary 81
deduction from his paycheck 44
deduction from his premises 168
deduction from his sentence 55
deduction from its premises 42
deduction from this argument 45
deduction from this doctrine 71
deduction from this evidence 48
deduction only for property 49
defection among his subjects 86
defection from his original 73
defection from our reformed 68
defended from all assaults 46
defended from all external 57
defended their own positions 65
defended what they regarded 50
deferred fees and purchase 43
defiantly wild and straggling 63
deficits were being financed 61
deficits were not observed 56
definite aims and definite 42
definite aims and purposes 189
definite break with tradition 131
definite data are obtained 60
definite date for delivery 50
definite ends and purposes 98
definite form and definite 69
definite form and direction 244
definite ideas are attached 43
definite length and direction 151
definite meaning being attached 84
definite meaning was attached 63
definite need for improved 108
definite need for increased 113
definite news was received 148
definite plan and schedule 119
definite plan was followed 86
definite size and thickness 41
definite term and precluding 272
definite time for delivery 75
definite ways with definite 41
definite word was received 63
deformed from its original 96
defrayed their own expenses 128
degraded from all nobility 57
degraded from her celestial 73
degraded from his authority 74
degraded from his clerical 135
degraded from his military 52
degraded from his ministry 189
degraded from his nobility 103
degraded from his original 75
degraded from his priestly 135
degraded from his situation 44
degraded from its holiness 72
degraded from its original 257
degraded from our original 96
degraded into that wretched 122
degrades those who exercise 150
delegate from each assembly 44
delegate from each district 185
delegate from each province 76
delegate from each republic 41
delegate from his district 201
delegate from this district 91
delegate work and authority 52
deletions from and additions 126
delicate care and attention 51
delicate fringe that sparkled 44
delicate task that requires 80
delicate test for hydrogen 50
delicate thumb and forefinger 50
delicate work has actually 67
delicious rest and coolness 86
delivering arms and munitions 63
delivering food and medicine 100
delivering food and supplies 119
delivering mail and supplies 87
delivering what they promised 61
delivering what was promised 136
delivering what you promised 72
delivers what was promised 40
delivery asks and receives 121
delivery date and delivery 110
delivery date and quantity 53
delivery from any liability 83
delivery time and delivery 81
delivery upon his doorstep 334
demanded care and attention 79
demanded from all quarters 93
demanded from his children 53
demanded from his officials 51
demanded from his students 76
demanded from his subjects 192
demanded from its citizens 65
demanded from its votaries 40
demanded from them directly 68
demanded full and complete 70
demanded full and immediate 167
demanded more raw materials 52
demanded more than ordinary 441
demanded over her shoulder 48
demanded over his shoulder 107
demanded their own separate 58
demanded time and attention 100
demanded time and patience 49
demanded were all bestowed 74
demanded were not demanded 43
demanded what had happened 171
demanded what had procured 44
demanded what they intended 80
demerits from this boastful 40
denaturing gels for detection 42
denounce what had happened 58
denounce what they consider 77
denounce what they perceive 42
denouncing those who differed 104
denouncing what they regarded 72
departed from and returned 217
departed from both epicurean 49
departed from her original 91
departed from her prepared 54
departed from her presence 105
departed from his attitude 60
departed from his authority 83
departed from his dominions 47
departed from his evidence 90
departed from his habitual 134
departed from his homeland 85
departed from his intention 64
departed from his ordinary 127
departed from his original 941
departed from his practice 100
departed from his prepared 789
departed from his presence 335
departed from his province 44
departed from his religious 52
departed from his standard 178
departed from its analysis 45
departed from its communion 141
departed from its harassed 113
departed from its historic 72
departed from its original 1760
departed from its practice 70
departed from its tradition 95
departed from our original 131
departed from that attitude 54
departed from that district 46
departed from that doctrine 112
departed from that original 49
departed from that practice 239
departed from that standard 318
departed from that stricter 47
departed from that tradition 223
departed from this approach 202
departed from this attitude 88
departed from this doctrine 125
departed from this original 68
departed from this practice 574
departed from this standard 281
departed from this tradition 510
departed from with impunity 124
departed poor and stricken 58
departed upon his recruiting 122
departed worth and greatness 50
departed years and departed 65
depended upon for absolute 88
depended upon for accuracy 387
depended upon for accurate 192
depended upon for complete 53
depended upon for constant 47
depended upon for diagnosis 155
depended upon for financial 41
depended upon for guidance 120
depended upon for supplies 63
depended upon for survival 148
depended upon for veracity 50
depended upon her daughter 46
depended upon her exertions 61
depended upon her judgment 51
depended upon her presence 48
depended upon him entirely 73
depended upon him returned 49
depended upon his absolute 41
depended upon his admission 46
depended upon his attitude 45
depended upon his audience 49
depended upon his authority 41
depended upon his capacity 148
depended upon his coolness 56
depended upon his exertions 290
depended upon his goodwill 53
depended upon his guidance 68
depended upon his immediate 90
depended upon his judgment 170
depended upon his military 117
depended upon his personal 591
depended upon his physical 109
depended upon his presence 207
depended upon his relations 80
depended upon its capacity 161
depended upon its economic 43
depended upon its greatness 162
depended upon its immediate 72
depended upon its maritime 87
depended upon its military 51
depended upon its relations 46
depended upon our presence 40
depended upon raw materials 58
depended upon two elements 42
depletion rate for marginal 58
deplored what had happened 182
deplored what they regarded 136
deplores what has happened 54
deposits have not increased 69
deposits were being depleted 42
deposits were being withdrawn 111
deposits were not actually 43
deposits were not included 87
deposits were not observed 119
deposits when that interest 43
depraved mind and deprived 57
deprived their own citizens 208
deputies from each province 645
deputies from each republic 97
deputies from each township 96
deputies from that province 180
deputies from this province 109
deputies into his presence 76
deputies were not prepared 40
deputies were not received 58
derogate from any provision 424
derogate from his authority 96
derogate from its authority 171
derogate from this contract 46
derogate from this provision 112
derogating from his authority 49
descending from any commanding 105
descending from her pedestal 111
descending from his elephant 101
descending from his elevated 57
descending from his elevation 87
descending from his mountain 81
descending from his pedestal 62
descending from its mountain 47
descending from one original 41
descending from our vehicles 55
descending from that elevation 138
descending from this elevated 42
descending from this mountain 60
descending from this platform 41
descends along any inclined 46
descends along its posterior 75
descends from her elevation 148
descends from her pedestal 336
descends from his elevation 170
descends from his eminence 143
descends from his mountain 184
descends from his pedestal 178
descends from his pinnacle 79
descends from his platform 64
descends from its elevated 42
descends from its original 56
descends from its pedestal 159
descends from its solitary 88
describe more than actually 43
describe their own activity 42
describe their own approach 61
describe their own behaviors 57
describe their own condition 41
describe their own emotional 82
describe their own families 61
describe their own personal 211
describe their own positions 43
describe their own practice 44
describe their own problems 70
describe their own products 48
describe their own religious 65
describe their own situation 126
describe their own symptoms 117
describe these two concepts 44
describe those who believed 70
describe what are actually 55
describe what are commonly 83
describe what had actually 85
describe what had happened 3808
describe what had occurred 253
describe what has actually 175
describe what has happened 3077
describe what has occurred 319
describe what she believes 41
describe what then happened 41
describe what they actually 266
describe what they believed 160
describe what they consider 262
describe what they discover 54
describe what they expected 51
describe what they imagined 64
describe what they observed 223
describe what they perceive 245
describe what they regarded 93
describe what they remember 84
describe what was actually 227
describe what was believed 46
describe what was essential 56
describe what was involved 63
describe what was observed 110
describe what was probably 55
describe what was required 45
describe what was supposed 42
describe what you actually 656
describe what you consider 272
describe what you observed 241
describe what you perceive 82
describe what you remember 85
describe your own personal 150
describe your own property 41
describing their own personal 80
describing their own situation 42
describing what had actually 42
describing what had befallen 91
describing what had happened 2005
describing what had occurred 237
describing what has actually 58
describing what has happened 840
describing what has occurred 109
describing what they actually 95
describing what they believed 54
describing what they consider 59
describing what they observed 67
describing what was actually 128
describing what was observed 44
describing what was probably 44
describing what you observed 58
describing your own personal 48
deserted from his regiment 343
deserted from his standard 120
deserted paul and barnabas 133
deserted when they returned 47
deserted wife and children 620
deserter from his regiment 98
deserter from his standard 181
desertion from his regiment 74
deserved during his lifetime 110
deserved even this horrible 58
deserved fair and generous 134
deserved more than ordinary 76
deserved nothing but contempt 301
deserved rest and recreation 106
deserved what had befallen 55
deserved what had happened 371
deserved what has happened 81
deserved what they received 76
deserves from all painters 96
deserves more than ordinary 252
deserves nothing but contempt 318
deserves nothing but ridicule 92
deserves what has happened 46
designed from all eternity 91
designed from its inception 297
