decipherable ones were those 40
decomposition have also been 115
decomposition have been used 43
decomposition must have been 45
deficiencies also have been 53
deficiencies have also been 717
deficiencies have been made 218
deficiencies have been seen 68
deficiencies have been well 144
deficiencies were even more 54
deficiencies were made good 390
deficiencies will have been 47
deliberately been left open 73
deliberately break away from 66
deliberately drag their feet 42
deliberately gave those seats 59
deliberately held back from 305
deliberately held back their 40
deliberately hold back from 58
deliberately keep away from 52
deliberately kept away from 860
deliberately kept back from 59
deliberately kept free from 68
deliberately laid down their 45
deliberately look away from 46
deliberately move away from 113
deliberately moving away from 222
deliberately only those among 85
deliberately shut their eyes 776
deliberately shying away from 44
deliberately slow down their 64
deliberately stay away from 197
deliberately threw away from 61
deliberately threw away their 54
deliberately throw away their 40
deliberately throw away your 68
deliberately turn away from 437
deliberately turn their back 48
deliberately turn your back 63
deliberately walk away from 68
deliberations have been made 60
deliberations must have been 78
deliberations will make glad 40
delightfully lazy land full 43
demographers have been able 100
demonstrated during these years 40
demonstrated last week when 53
demonstrated once more their 49
demonstrated over many years 370
demonstrated their good faith 143
demonstrated their good will 203
demonstrates once more what 49
demonstration areas have been 41
demonstration have been made 42
demonstration have held good 236
demonstration having been made 86
demonstration must have been 155
demonstration will have been 44
demonstrator ever lays down 65
denominations have also been 90
denominations have been able 58
denominations have been losing 63
denominations have been more 162
denominations have been very 85
denominations have come into 51
denominations ranging from five 47
dependencies have also been 70
desegregation plan went into 42
determinants come into play 109
determinants have also been 133
determinants have been used 67
determination have also been 110
determination have been made 206
determination have been used 111
determination having been come 72
determination having been made 230
determination must come from 90
determination must have been 526
determination must rest upon 46
determination must take into 179
determination will have been 109
developments also gave rise 95
developments also have been 44
developments during these years 413
developments during those years 106
developments fall into three 51
developments have also been 1112
developments have also made 180
developments have been able 53
developments have been along 112
developments have been dealt 51
developments have been done 79
developments have been even 67
developments have been good 53
developments have been left 47
developments have been less 312
developments have been made 3952
developments have been more 912
developments have been most 271
developments have been moving 44
developments have been much 276
developments have been part 65
developments have been seen 266
developments have been slow 148
developments have been such 127
developments have been taking 988
developments have been those 116
developments have been used 162
developments have been very 341
developments have been well 348
developments have come from 427
developments have come into 69
developments have done more 55
developments have done much 307
developments have gone hand 115
developments have kept pace 49
developments have left their 83
developments have made clear 55
developments have made many 49
developments have made more 48
developments have made some 43
developments have made such 229
developments have made their 60
developments have made these 71
developments have only been 80
developments have there been 105
developments here have been 118
developments leading away from 58
developments left their mark 113
developments must have been 301
developments must take into 75
developments over many years 69
developments over time have 46
developments there have been 712
developments were also made 62
developments were also seen 47
developments were also taking 568
developments were even more 324
developments were made during 105
developments were much less 78
developments were much more 257
developments were very much 229
developments will also have 73
developments will also help 40
developments will come from 117
developments will find their 46
developments will have been 78
developments will take time 68
