dagger underneath his cloak 74
damage initiation and growth 147
damage provided for under 77
damaging business was liable 74
damaging economic and social 119
damask curtains that nearly 50
damned lunatics are rather 49
damned tiresome old bitch 49
darkly beautiful sky above 52
dashed upstairs and found 86
dative supplies its place 51
daunting economic and social 232
deafening explosion that shook 83
dearest religious and civil 63
debate concerning this issue 132
debtor deposits his title 52
decade researching and writing 43
decent american boy would 49
decent citizens who would 41
decent disguise with which 112
decent economic and social 44
decent matronly air which 56
decide criminal and civil 59
decide disputes that arise 51
deciding promptly and getting 220
decree forbidding all trade 40
decree whatever they please 46
deduct business bad debts 133
deduct interest and taxes 190
deduct therefrom all trade 82
deemed adjudged and taken 45
deemed complete and binding 292
deemed criminal and odious 117
deemed essential for every 102
deemed essential for social 65
deemed suitable for poetry 40
deemed suitable for study 40
deemed suitable for women 350
deemed unlawful nor shall 55
deemed virtuous and right 63
deemed virtuous for which 61
deeper cultural and social 190
deeper economic and social 586
deeper guttural than usual 73
deeper interest and wider 41
deeper interest than could 97
deeper interest than usual 41
deeper interest than would 112
deeper intimacy with jesus 61
deeper personal and social 108
deeper religious and moral 192
deeply affected and moved 69
deeply affected his later 45
deeply affected his thinking 123
deeply affected our lives 46
deeply affected than others 68
deeply affected with grief 133
deeply affected with trash 77
deeply attached and which 56
deeply bordered with black 82
deeply embedded and often 43
deeply enriched with cable 60
deeply furrowed and rough 52
deeply grateful and happy 42
deeply grateful for class 54
deeply grateful for every 87
deeply indented and fringed 67
deeply indented with fiords 87
deeply indented with gulfs 66
deeply indented with large 63
deeply infected with blood 99
deeply injected with blood 51
deeply involved and which 73
deeply involved than others 50
deeply involved with drugs 164
deeply involved with every 82
deeply involved with human 101
deeply involved with local 95
deeply involved with music 207
deeply involved with others 155
deeply involved with people 143
deeply involved with social 115
deeply involved with women 67
deeply offended his father 108
deeply offended his sense 79
deeply personal and often 101
deeply religious and could 46
deeply religious and moral 195
deeply religious and often 90
deeply religious and would 50
deeply religious man whose 241
deeply resented and feared 58
deeply resented his father 104
deeply resented his mother 116
deeply resented this action 50
deeply stricken with grief 48
deeply wrinkled with lines 48
defeating whatever they aimed 80
defect observed for thirty 52
defend property and social 106
defend yourself and others 77
define benefits and costs 51
define economic and social 55
define personal and social 55
define problems and goals 78
define problems and needs 45
defining benefits and costs 53
defining criterion and which 70
defining economic and social 64
defining equations are given 145
defining personal and social 41
defining problems and finding 63
defining problems and goals 89
defining problems and seeking 64
defining problems and setting 144
defining problems that beset 118
defray expenses for which 47
degree concerns all names 102
degree distinct and vivid 56
degree indecent and gross 106
degree personal and local 45
degree prepared for every 81
degree programs for adult 48
degree programs for working 113
degree programs that allow 50
degree programs that focus 40
degree programs that offer 45
degree relative with breast 1702
degree relative with colon 269
degree relative with either 103
degree resembling that which 211
degree supplies its place 42
delude yourself with false 50
demand accounts for about 42
demand analysis for bonds 52
demand attention and action 193
demand attention and which 116
demand deposits and hence 169
demand deposits and loans 224
demand deposits and makes 357
demand deposits and money 279
demand deposits and notes 52
demand deposits and quasi 47
demand deposits and savings 812
demand deposits and short 197
demand deposits and total 143
demand deposits are money 305
demand deposits for banks 135
demand deposits with banks 574
demand economic and social 171
demand equality for women 422
demand equations are based 105
demand equations are given 155
demand equations for goods 93
demand equations for labor 55
demand equations for money 112
demand functions and price 136
demand functions are based 79
demand functions are equal 58
demand functions are given 736
demand functions are known 169
demand functions are linear 608
demand functions are often 92
demand functions are shown 60
demand functions are where 43
demand functions for bonds 129
demand functions for goods 904
demand functions for housing 175
demand functions for labor 532
demand functions for money 1168
demand functions for water 135
demand functions for which 50
demand immediate and total 54
demand increases and price 109
demand schedule and curve 592
demand schedule and total 60
demand schedule for funds 83
demand schedule for labor 1749
demand schedule for loans 75
demand schedule for money 1582
demand schedule for pizza 161
demand schedule for water 44
demand security for costs 235
demand suffrage for women 52
demeaning comments that refer 81
denied economic and social 57
denies tradition its power 72
dental occlusion and facial 53
dental patients with total 286
dental problems that might 52
dental students and staff 56
dental treatment was given 49
depart therefrom and shall 73
depart whenever you please 72
deploy pressure and force 129
deputy chairman and chief 308
deputy chairman who shall 46
deputy director and chief 542
deputy director and later 120
deputy director and senior 48
