damp her cheerfulness by 225
daring and achievements of 43
daring and determination in 52
daring and determination of 166
daring and determination to 52
daring and experimental in 57
daring and independence of 101
daring and perseverance of 50
daring and recklessness of 254
daring and restlessness of 98
daring and unscrupulous of 43
dark and impenetrable as 314
dark and impenetrable to 113
dark and inexplicable to 49
dark and irresistible in 87
dark red discoloration of 91
dash and determination in 57
dash and determination of 102
dash and recklessness of 66
data and alternatives we 68
data and availability of 129
data and characterize the 45
data and communication of 63
data and concentrates on 56
data and consequently the 157
data and consequently to 45
data and consideration of 282
data and demonstrated the 67
data and demonstrates the 80
data and determination of 293
data and developments in 108
data and difficulties in 162
data and difficulties of 42
data and dissemination of 189
data and documentation in 78
data and documentation is 135
data and documentation of 148
data and documentation on 119
data and documentation to 96
data and extrapolated to 100
data and extrapolation of 81
data and functionality in 116
data and functionality of 105
data and functionality to 85
data and illustrations in 93
data and illustrations of 164
data and illustrations on 42
data and illustrations to 62
data and improvements in 79
data and investigation of 78
data and methodologies to 59
data and participated in 51
data and participation in 42
data and particularly the 115
data and particularly to 49
data and perspectives of 41
data and perspectives on 165
data and relationships in 152
data and relationships of 104
data and relationships to 87
data and requirements of 83
data and specification of 95
data and subsequently the 52
data and subsequently to 67
data and supplemented by 63
data are accomplished by 54
data are approximated by 236
data are attributable to 127
data are communicated in 80
data are communicated to 295
data are complemented by 393
data are concentrated at 101
data are concentrated in 247
data are concentrated on 43
data are consolidated in 58
data are contaminated by 321
data are contradicted by 66
data are corroborated by 371
data are demonstrated in 82
data are disseminated in 44
data are disseminated to 84
data are encapsulated in 154
data are extrapolated to 681
data are illustrative of 186
data are inconclusive as 342
data are inconclusive at 53
data are inconclusive in 153
data are inconclusive on 167
data are inconclusive or 67
data are inconsistent in 68
data are inconsistent or 51
data are incorporated in 481
data are instrumental in 54
data are insufficient as 184
data are insufficient at 135
data are insufficient in 90
data are insufficient on 53
data are insufficient or 186
data are insufficient to 8511
data are interpolated by 68
data are interpolated to 152
data are preprocessed by 47
data are prerequisite to 48
data are quantitative in 60
data are quantitative or 144
data are recalculated to 85
data are reproducible to 47
data are standardized by 112
data are standardized in 42
data are standardized to 111
data are substantially in 44
data are substantiated by 123
data are superimposed on 421
data are supplemented by 1597
data are supplemented in 46
data can conveniently be 107
data can legitimately be 80
data can subsequently be 183
data for characterizing the 127
data for consideration by 103
data for consideration in 93
data for consideration of 130
data for determination of 920
data for dissemination to 116
data for extrapolation to 72
data for improvements in 44
data for incorporation in 88
data for investigation of 135
data for reconstructing the 376
data for surveillance of 61
data for temperatures of 47
data has concentrated on 48
data has demonstrated the 97
data may conveniently be 106
data may legitimately be 52
data may overestimate the 121
data may subsequently be 91
data that characterize the 452
data that contradicted the 66
data that corresponded to 78
data that demonstrated the 159
data that demonstrates the 249
data that incorporates the 43
data that substantiates the 55
data was accomplished by 352
data was accomplished in 68
data was complemented by 75
data was demonstrated by 76
data was discontinued in 44
data was extrapolated to 78
data was incorporated in 49
data was instrumental in 47
data was insufficient to 329
data was investigated by 63
data was supplemented by 408
data with consideration of 66
date and circumstance of 212
date and consequently the 104
date and inapplicable to 91
date and inappropriate to 106
