dangerous after heavy rains 53
dangerous error into which 84
dangerous period during which 102
dangerous place from which 250
dangerous rocks upon which 42
dangerous state into which 91
dangerous wound from which 40
darkness henry went about 90
darkness shone like balls 40
darkness turns into light 120
darkness where there shall 98
darkness which here began 40
darkness which poor father 96
database table from which 102
daughter cells into which 43
daughter could spin straw 100
daughter knows more about 42
daughter knows nothing about 59
daughter might have found 44
daughter might have given 42
daughter would have found 68
daughter would have given 55
daughter would have known 57
daughter would have liked 77
daughter would have saved 166
daughter would have taken 197
daydreaming about what might 74
daylight broke next morning 81
daylight faded into night 55
daylight hours during which 59
daylight hours were short 66
daylight hours were spent 433
daylight hours were taken 43
daylight melting into gloom 84
daylight savings time would 43
daylight would have found 82
decedent would have earned 312
decedent would have lived 141
decedent would have spent 88
deceived people into thinking 185
deceives people into thinking 312
decisions about health plans 49
decisions about next steps 188
decisions about other people 536
decisions about their cases 44
decisions about their child 1513
decisions about their daily 214
decisions about their goals 64
decisions about their housing 60
decisions about their learning 1420
decisions about their level 163
decisions about their lives 4275
decisions about their local 72
decisions about their money 87
decisions about their needs 107
decisions about their place 49
decisions about their roles 69
decisions about their social 98
decisions about their teaching 117
decisions about their working 178
decisions about their world 41
decisions about their writing 246
decisions about these cases 51
decisions about what action 262
decisions about what books 74
decisions about what comes 41
decisions about what could 114
decisions about what crops 160
decisions about what drugs 43
decisions about what foods 89
decisions about what forms 62
decisions about what goals 100
decisions about what goods 374
decisions about what items 106
decisions about what kinds 686
decisions about what level 342
decisions about what makes 56
decisions about what might 197
decisions about what needs 412
decisions about what ought 223
decisions about what parts 86
decisions about what people 115
decisions about what really 45
decisions about what risks 137
decisions about what shall 136
decisions about what social 52
decisions about what sorts 147
decisions about what steps 152
decisions about what tasks 80
decisions about what types 354
decisions about what words 50
decisions about what works 275
decisions about what would 446
decisions about young people 46
decisions about your child 774
decisions about your goals 48
decisions about your money 172
decisions about your writing 99
decisions based upon facts 115
decisions based upon sound 61
decisions could wait until 43
decisions cries very easily 89
decisions often take place 51
decisions people make about 1005
decisions shaping their lives 44
decisions which come within 45
decisions which fall within 126
decisions which have found 236
decisions which have given 168
decisions which have legal 43
decisions which have since 92
decisions which have taken 308
decisions which take place 155
decisions which took place 81
decisions which were based 141
decisions which were binding 335
decisions which were bound 58
decisions which were cited 53
decisions which were given 83
decisions which were later 83
decisions which were never 71
decisions which were often 77
decisions which were taken 961
decisions which will allow 72
decisions which will alter 40
decisions which will cause 43
decisions which will guide 50
decisions which will shape 167
decisions which will stand 45
decisions within three months 102
decisions women make about 88
decisions would take place 61
decisive about these people 50
decisive action been taken 40
decisive action even though 44
decisive action taking place 64
decisive action took place 515
decisive action were taken 157
decisive change came about 90
decisive change took place 611
decisive clash took place 65
decisive event took place 257
