dam somewhere deep within 49
day adventist young people 108
day commenced their march 76
day continued their march 56
day contrived some fresh 56
day disguised from hence 60
day encourage some worthy 107
day intervals from april 48
day maintains over human 71
day mortality rate after 50
day organized will never 192
day prevailed among serving 143
day statutory time limit 97
day throughout their lives 154
dead specimens were found 85
deaf assistant were sitting 41
death aristotle left athens 54
death sentences were given 241
death sentences were later 295
death sentences were meted 222
death sentences were never 94
death sentences were often 49
death seventeen years later 413
death throughout their lives 49
death worldwide among women 56
did accordingly take place 77
did americans feel about 65
did certainly take place 107
did excellent work under 118
did excellent work until 119
did excellent work while 45
did extremely well after 46
did extremely well under 51
did intervene pure hopes 175
did pronounce some words 54
did pronounce these words 68
did reasonably well until 83
did sometimes take place 287
did sometimes talk about 77
did sometimes think about 44
did subscribe their names 154
did themselves also change 92
did themselves great honor 102
did themselves great shame 59
did tolerably well until 60
did translate from wolff 49
did virtually nothing about 142
die unmarried like queen 50
dig themselves into holes 40
does absorption take place 100
does certainly take place 78
does conception take place 71
does democracy make every 489
does everybody feel about 56
does everybody talk about 59
does everybody think about 44
does generally take place 42
does implicate miss flora 73
does innovation take place 47
does introduce some error 48
does knowledge come about 100
does perception take place 48
does perfectly well where 44
does production take place 101
does scripture teach about 48
does sometimes make people 122
does sometimes make sense 44
does sometimes take place 999
does wordsworth call poetry 179
dog skeletons were found 110
doing excellent work under 155
doing political work within 86
doing reasonably well until 51
doing virtually nothing about 48
dry ingredients into large 64
dry ingredients just until 497
dry ingredients three times 42
dry ingredients were mixed 48
dry saturated steam under 158
dry saturated steam which 112
due intimation were given 67
due proportion among others 43
