daughters married and settled 130
dauntless courage and devotion 47
dauntless courage and sublime 48
dauntless courage was matched 48
deceitful weights and measures 125
decidedly against this country 41
deciduous central and lateral 490
declaimed against his tyranny 118
decorated helmets and devices 54
decorated vietnam war veteran 515
dedicated command and control 108
dedicated parents and teachers 44
dedicated service and support 137
deductions allowed with respect 169
deductions claimed and allowed 60
deductions claimed with respect 228
deductions exceeds two percent 120
defective product may recover 41
defective weights and measures 394
defendant charged with assault 124
defendant charged with capital 59
defendant charged with murdering 62
defendant charged with perjury 53
defendant charged with robbery 101
defendant charged with violation 83
defendant claimed that because 54
defendant claimed was tainted 49
defendant company for damages 50
defendant company was charged 66
defendant execute and deliver 54
defendant himself has elected 54
defendant himself with respect 60
defendant regarding that conduct 71
defendant threatens and intends 68
defendant violates due process 123
defendant wrigley has refused 68
defensive against his majesty 95
defensive alliance was entered 126
defensive alliance with britain 482
defensive alliance with charles 91
defensive alliance with colombia 50
defensive alliance with denmark 93
defensive alliance with francis 57
defensive alliance with germany 521
defensive alliance with holland 276
defensive alliance with napoleon 112
defensive alliance with several 43
defensive position and awaited 47
defensive position with respect 89
defensive posture with respect 108
defensive teachers and parents 48
deference towards his superior 93
deficient weights and measures 51
definable criteria for decision 170
delegated equally with express 127
delighted because his majesty 104
delivered exceeds two hundred 52
delivered herself with fluency 72
delivered letters and parcels 198
delivered rightly that everything 57
demagogic slander that sounded 71
democracy against its enemies 139
democracy because they believe 72
democracy refutes this illusion 61
denatured protein was removed 209
denounced against all papists 110
denounced against all persons 142
denounced against any persons 101
densities decrease with increasing 172
densities increase with increasing 87
dependent alliance with everything 53
dependent arrival and service 141
dependent brothers and sisters 286
dependent clauses and phrases 470
dependent clauses that function 103
dependent current and voltage 54
dependent diabetes and insulin 135
dependent diabetes and obesity 61
dependent phrases and clauses 105
dependent position for several 44
dependent position with respect 114
dependent sources are present 61
dependent variable and include 46
dependent variable and including 71
dependent variable and several 504
dependent variable are assumed 108
dependent variable are measured 305
dependent variable are plotted 109
dependent variable are related 105
dependent variable are usually 50
dependent variable being measured 345
dependent variable being studied 242
dependent variable that measures 61
dependent variable that results 75
dependent variable was defined 312
dependent variable was entered 41
dependent variable was measured 491
dependent variable with respect 1010
dependent voltage and current 196
deposited together with accrued 46
deposition process was carried 42
depressed because her husband 264
depressed patient with insomnia 107
depression anterior and inferior 116
depression following her husband 44
described quality are offered 41
described several new species 446
describes degrading and abusive 83
describes everything that happens 58
describes several new species 81
designate forthwith two persons 86
desirable because they enhance 48
desirable because they improve 50
desirable because they increase 129
desirable because they produce 80
desirable because they promote 73
desirable because they provide 288
desirable because they require 68
desirable emotions and repelling 48
desirable grasses and legumes 163
desirable results are secured 56
desirable teachers for natives 98
desperate courage and shrinking 63
desperate courage was evicted 73
desperate defiance all forsook 56
destitute brothers and sisters 61
destroyed because they refused 45
destroyed everything they touched 78
destroyed himself with alcohol 44
desultory warfare was carried 275
detective stories and mystery 67
detective stories and science 396
detective stories and stories 56
detective watched him closely 50
determine between two parties 49
determine criteria for selecting 63
determine everything that happens 343
determine exports and imports 163
determine himself and possess 46
determine maximum and minimum 495
determine minimum and maximum 454
determine product and service 51
determine revenue and expense 163
determine success and failure 336
determine weights and measures 45
determine wherein they consist 138
determining exports and imports 66
determining factors for success 87
determining factors with respect 76
determining failure and success 44
determining fitness and loyalty 242
determining fitness for college 75
determining history and society 97
determining maximum and minimum 351
determining minimum and maximum 226
determining nitrate and nitrite 136
determining peaceably and legally 65
determining success and failure 347
deterrent against any attempt 84
devastating illness that affects 44
developed because they provide 103
developed between her husband 61
developed between his parents 44
developed between its members 55
developed between them because 54
developed between two factions 119
developed central and southern 40
developed central and western 137
