dangerously high potassium levels 60
decomposed into divergent motions 69
deductible from corporate income 293
deductible health insurance policy 276
defendants were arraigned before 50
deficiency during pregnancy causes 143
definitely their political rights 52
demarcated from surrounding normal 254
demarcated from surrounding tissue 186
department must determine whether 88
department will determine whether 46
dependence upon molecular weight 135
depreciated over estimated useful 65
detachment from political reality 43
determined from published tables 86
determined from tabulated values 97
determined some principal points 44
determined their appointed seasons 347
determined their attitudes toward 131
determines their attitudes toward 49
determines what political duties 56
determines will reasonably assure 101
difference among different groups 44
difference among different nations 72
difference were extremely slight 79
difference will determine whether 57
difficulty here presented itself 45
difficulty soon presented itself 124
diminished their available amount 42
discharged from hospitals before 50
discharged from hospitals earlier 165
discharged from hospitals without 47
discharged from industrial plants 74
discharged into municipal sewage 46
discharged into municipal sewers 112
discharged into navigable waters 181
discharged their important duties 66
discharged these customary duties 158
discharges from industrial plants 366
discharges from municipal sewage 138
discharges into navigable waters 1340
discipline from childhood upward 94
discovered during pregnancy should 48
discovered from different places 48
discovered many centuries before 109
discovered many wonderful places 535
discovered some forbidden secret 117
discovered some permanent maxims 89
discovered these priceless stuffs 47
discovered those pernicious regions 60
discussions from different points 48
discussions were necessary before 61
discussions were organized around 82
dissociated from different regions 61
distinction among different levels 43
distinguishing among different levels 98
dramatists range themselves around 107
dysfunction from excessive garlic 94
