dabble in land speculation 40
dabbling in their rhapsodies 44
damage in some localities 91
damage in these structures 41
damage in young plantations 70
damage is more pronounced 296
damage is most frequently 93
damage is most pronounced 147
damage is only superficial 58
damage is well documented 80
damage is well recognized 48
damage of these structures 45
damage on face recognition 86
damage or even destruction 214
damage to bird populations 59
damage to cell components 281
damage to cell organelles 52
damage to cell structures 359
damage to deep structures 361
damage to fish populations 304
damage to left hemisphere 102
damage to many structures 66
damage to other components 658
damage to other ecosystems 85
damage to other industries 48
damage to other properties 111
damage to other structures 1869
damage to pine plantations 58
damage to port facilities 117
damage to some components 85
damage to such facilities 154
damage to such structures 207
damage to their businesses 114
damage to their facilities 115
damage to their friendship 86
damage to their individual 81
damage to their livelihood 44
damage to their possessions 84
damage to their properties 503
damage to their reputations 2298
damage to their respective 139
damage to their surroundings 81
damage to their traditional 45
damage to these components 215
damage to these facilities 73
damage to these structures 2486
damage to those structures 159
damage to wood structures 113
damage to young plantations 104
damage to your automobile 106
damage to your possessions 85
damaging to their reputations 394
dammed to form reservoirs 85
damsel of good connections 57
danced so very gracefully 58
dances in their repertoire 60
dances of their forefathers 45
dances of their respective 56
dances or other ceremonies 50
dangers of drug dependency 46
dangers of making assumptions 131
dangers of making inferences 61
dangers of such activities 87
dangers of such approaches 43
dangers of such dependence 59
dangers of such procedures 67
dangers of their activities 45
dangers of their employment 97
dangers of their enterprise 80
dangers of their occupations 90
dangers of their particular 45
dangers of their surroundings 90
dangers of these procedures 44
dangers of these substances 325
dangers to free government 50
darken the room completely 140
darken the very atmosphere 81
dashed to their assistance 44
daunting in their complexity 189
dazzling in their brightness 121
deacons in their respective 44
dealers in farm implements 103
dealers in some justifiable 43
dealers in such securities 184
dealers in their respective 125
dealers in their strongholds 77
dealers in these securities 85
dealers in those particular 146
dealers or other collectors 46
debars me from entertaining 54
debate in their respective 237
debate is best understood 118
debate is well documented 61
debate is well summarized 84
debate of great importance 80
debate of some importance 60
debate of such importance 52
debate on asian immigration 46
debate on good governance 56
debate on some particular 46
debate on their respective 116
debate on these amendments 84
debate on these resolutions 481
debate the most appropriate 162
debating the most appropriate 53
debtor in full settlement 57
debtor in making charitable 76
debtor is only indirectly 58
debtor of such assignment 71
decade of case management 84
decade of full employment 255
decade of great prosperity 109
decade of heavy immigration 58
decade of heavy investment 42
decade of ocean exploration 237
decade of their friendship 47
decade of their settlement 68
decade of work experience 53
decade the most influential 53
decease of their respective 40
deceit is soon discovered 44
deceit of some intoxicant 221
decent in their attendance 127
decent in their deportment 215
decide at what particular 126
decide in what particular 81
decide in what proportions 231
decide is most appropriate 73
decide on some particular 65
decide on their application 70
decide on their conferment 74
decide on their consumption 41
decide on their disposition 55
decide on their individual 127
decide on their investment 42
decide on their mercantile 155
decide on their objectives 47
decide on their punishment 43
decide on their respective 845
decide on their strategies 50
decide on these precautions 72
decide on what information 119
decide on what principles 112
decide on your destination 76
decide on your objectives 66
decide on your pretensions 50
decide on your punishment 62
decide the best arrangement 41
decide the best combination 68
decide the case immediately 53
decide the case impartially 231
decide the most appropriate 1189
decide the most convenient 55
decide the most economical 78
decide the most profitable 63
decide the role settlement 47
decide to fund particular 65
decide to give precedence 44
decide to give preference 57
decide to leave immediately 50
decide to live dangerously 52
decide to live separately 115
decide to make concessions 72
decide to seek assistance 66
decide to seek employment 205
decide to seek information 50
decide to take appropriate 63
decide to take corrective 41
decide to what particular 93
deciding on their respective 81
deciding on what information 71
deciding the best combination 44
deciding the most appropriate 769
deciding the most profitable 52
decode the next instruction 46
decoding or word recognition 149
decoding the next instruction 65
decree of lord chancellor 181
decree on such application 54
decrying the mere balderdash 59
deduce as much information 43
deduce it from principles 176
deduce the same conclusions 57
deducing the same conclusions 87
deduct on their individual 74
deduct the same percentage 97
deemed by some authorities 51
deemed it less ignominious 72
deemed it more appropriate 141
deemed it more attractive 50
deemed it more convenient 172
deemed it more profitable 107
deemed it more respectful 98
deemed it most convenient 57
deemed of great importance 1822
deemed of high importance 116
deemed of less importance 247
deemed of more importance 670
deemed of most importance 125
deemed of much importance 347
deemed of some importance 336
deemed of such importance 993
deemed of vast importance 88
deemed the best calculated 68
deemed the more appropriate 64
deemed the most acceptable 206
deemed the most appropriate 1028
deemed the most attractive 98
deemed the most convenient 144
deemed the most economical 67
deemed the most efficacious 116
deemed the most formidable 89
deemed the most influential 44
deemed the most profitable 111
deemed the most remarkable 170
deemed the most successful 163
deemed the most vulnerable 66
deemed the only appropriate 56
deemed the only legitimate 65
deemed the time appropriate 52
deemed to have acquiesced 542
deemed to have completely 43
deemed to have considered 112
deemed to have contracted 731
deemed to have covenanted 57
deemed to have designated 158
deemed to have determined 495
deemed to have disappeared 62
deemed to have discharged 368
deemed to have disclaimed 71
deemed to have discovered 90
deemed to have expatriated 321
deemed to have guaranteed 1039
deemed to have historical 58
deemed to have immediately 82
deemed to have implicitly 93
deemed to have inadequate 110
deemed to have influenced 64
deemed to have interfered 47
deemed to have intervened 81
deemed to have introduced 44
deemed to have liquidated 190
deemed to have maintained 58
deemed to have originated 361
deemed to have particular 75
deemed to have personally 49
deemed to have potentially 49
deemed to have predeceased 1462
deemed to have recognized 83
deemed to have registered 95
deemed to have sacrificed 44
deemed to have stipulated 75
deemed to have subscribed 109
deemed to have substantial 180
deemed to have sufficient 745
deemed to have superseded 143
deemed to have terminated 950
deemed to have understood 54
deemed to have undertaken 439
deemed to have unlawfully 123
deemed to lack sufficient 60
deemed to take precedence 172
deeper in their wickedness 133
deeper or more superficial 490
deeper the form penetrates 63
deeper to more superficial 66
deeply on their cigarettes 46
deeply or more frequently 50
deeply the only foundations 54
