dam site and reservoir 181
day ailing and querulous 86
day brings new challenges 239
day brings new surprises 60
day came for departure 71
day care and babysitting 46
day care and community 311
day care and homemaker 684
day care and household 44
day care and inpatient 46
day care and maternity 207
day care and preschool 2269
day care are available 155
day care for alzheimer 127
day care for dependent 41
day care for employees 394
day care for preschool 1036
day care was associated 89
day care was available 173
day during her pregnancy 129
day during her residence 50
day during his childhood 61
day during his residence 84
day forth its possessor 45
day from her childhood 40
day from his childhood 215
day from his departure 188
day from his residence 129
day from its appearance 111
day from our departure 226
day from san francisco 736
day from that memorable 70
day from this succession 73
day from two different 118
day have any conception 41
day have not hesitated 41
day have set themselves 119
day hiking and backpacking 43
day jews and christians 249
day life and character 200
day life was concerned 89
day made his appearance 239
day made its appearance 156
day make any impression 88
day make its appearance 80
day more than necessary 132
day more than yesterday 125
day most men cultivate 140
day owes its existence 214
day pass for unlimited 56
day peace was concluded 69
day puts new machinery 71
day radio and television 190
day sold and delivered 145
day some new amusement 45
day some new discovery 54
day some one suggested 114
day sons and daughters 43
day speak for themselves 109
day there are available 93
day there are countless 248
day there are different 201
day there are instances 42
day there are literally 47
day there are occasional 43
day there are scattered 40
day there are secessions 56
day there are traditions 55
day there was certainly 109
day there was continual 50
day there was delivered 49
day there was dissension 50
day there was generally 95
day there was presented 127
day there was published 93
day there was skirmishing 62
day vary its appearance 72
day were being delivered 45
day were being discussed 66
day were not altogether 239
day were not available 130
day were not forgotten 91
day were not permitted 97
day when all americans 204
day when all christians 93
day when all countries 87
day when all employees 56
day when god delivered 40
day when his disciples 68
day when his followers 307
day when his political 41
day when his secretary 213
day when his successor 41
day when its influence 44
day when our ancestors 59
day when our excellent 43
day when our population 83
day when she announced 264
day when she attempted 44
day when she completed 54
day when she presented 47
day when she succeeded 41
day when they announced 41
day when they attempted 41
day when they discussed 41
day when they performed 67
day when they presented 40
day when they themselves 258
day when they triumphed 42
day when this resolution 61
day when two infuriated 101
day when you conquered 68
day will end unluckily 50
dead body and carefully 49
dead body for dissection 57
dead body for interment 62
dead body lay stretched 70
dead body was committed 56
dead body was delivered 72
dead body was deposited 97
dead body was mutilated 42
dead body was recovered 232
dead body was stretched 61
dead bone has separated 48
dead calm had succeeded 95
dead city was thenceforth 45
dead from heat exhaustion 61
dead have any knowledge 112
dead have any perception 55
dead hero had delighted 43
dead need not interpose 54
dead skin and stimulate 51
dead sons and daughters 161
dead these two centuries 84
dead tree that contained 64
dead were being collected 47
dead were not forgotten 149
dead were not permitted 58
dead were not recovered 48
dead wood was collected 44
dead zone and saturation 110
deal best and sympathize 42
deal during this discussion 68
deal from his association 52
deal from old baltimore 53
deal from one community 92
deal from our colleagues 44
deal from this production 89
deal less than themselves 111
deal more for themselves 55
deal more than liverpool 51
deal more than necessary 377
deal more than political 60
deal more than previously 90
deal more than technical 45
deal only with commercial 176
deal only with companies 152
deal only with conditions 244
deal only with criminals 40
deal only with customers 97
deal only with empirical 99
deal only with essentials 40
deal only with externals 92
deal only with important 127
deal only with inanimate 56
deal only with knowledge 131
deal only with measurable 53
deal only with narrative 157
deal only with objective 158
deal only with phenomena 510
deal only with political 87
deal only with practical 116
deal only with procedure 47
deal only with processes 45
deal only with production 101
deal only with reputable 760
deal only with secondary 220
deal only with sentences 81
deal only with situations 331
deal only with specified 42
deal only with spiritual 77
deal only with technical 344
deal only with universal 40
deal upon this adventure 352
deal well with ambiguity 153
deal well with situations 88
deal were not disclosed 133
deal when one considers 78
dear from its monuments 40
dear lord was crucified 461
dear sons and daughters 581
dear wife and daughters 212
death among all americans 92
death among his relatives 55
death blow was delivered 129
death data are available 48
death from all penalties 69
death from any association 110
death from heat exhaustion 44
death from his apartment 57
death from this procedure 47
death left her destitute 56
death left his followers 44
death made its appearance 64
death over his followers 86
death over his household 45
death owed its existence 56
death plus any extensions 50
death plus any insurance 52
death rate and emigration 43
death rate and especially 54
death rate and incidence 102
death rate and infantile 81
death rate and morbidity 58
death rate and population 172
death rate for accidents 184
death rate for americans 45
death rate for cigarette 50
death rate for cirrhosis 83
death rate for infectious 54
death rate for malignant 52
death rate for nonwhites 104
death rate for pulmonary 63
death rate has continued 103
death rate was appallingly 102
death rate was associated 50
death rate was especially 62
death rate was estimated 265
death rate was exceedingly 63
death rate was extremely 223
death rate was frightful 67
death rate was generally 59
