db associated gain at 198
dc component from the 109
dc component must be 91
dc component will be 71
do additional reading in 110
do additional reading on 180
do additional reading or 72
do additional reading to 48
do additional work at 118
do additional work in 333
do additional work on 389
do additional work or 50
do additional work to 304
do admirable work in 123
do admirably well as 160
do admirably well in 67
do altogether hate it 41
do americans have in 50
do americans have to 139
do americans know of 111
do americans like to 97
do americans need to 186
do americans seem to 186
do americans tend to 80
do americans think of 145
do americans want to 140
do appertain unto the 45
do appreciate some of 43
do attribute much to 131
do backbreaking work in 55
do botanists know the 61
do carpentry work in 46
do carpentry work on 98
do certainly come to 53
do certainly have the 51
do certainly know an 51
do certainly seem to 557
do certainly tend to 151
do certainly think it 65
do christians have to 291
do christians need to 237
do christians speak of 52
do circulate among the 120
do clinicians need to 106
do community work in 109
do companies face in 54
do companies have to 313
do companies need to 253
do companies such as 103
do companies want to 62
do competent work in 76
do computers have to 105
do computers play in 57
do conditions such as 50
do consumers have the 97
do consumers have to 209
do consumers need to 125
do consumers react to 96
do consumers think of 60
do consumers want to 149
do correctly show the 148
do countries have to 159
do countries like the 87
do countries need to 133
do countries such as 281
do customers have to 239
do customers think of 110
do customers want to 82
do detective work in 42
do detective work on 43
do detective work to 50
do determine what we 71
do different from the 51
do different jobs at 68
do different jobs in 189
do different kind of 43
do different sets of 70
do different ways of 107
do different work in 110
do educators need to 88
do effective work as 201
do effective work at 90
do effective work by 56
do effective work if 51
do effective work in 1056
do effective work is 40
do effective work on 163
do effective work to 49
do efficient work as 97
do efficient work in 289
do efficient work on 58
do empirical work if 42
do empirical work in 62
do empirical work on 63
do employees have in 95
do employees have the 138
do employees have to 327
do employees need to 317
do employees react to 59
do employees want to 94
do employers have the 55
do employers have to 130
do employers need to 67
do employers think of 43
do employers want to 68
do englishmen know of 44
do especially well as 47
do especially well at 110
do especially well if 61
do especially well in 1059
do especially well on 261
do especially well to 49
do especially when the 51
do eternally tell the 61
do everybody good to 53
do exceedingly well as 69
do exceedingly well at 56
do exceedingly well by 51
do exceedingly well if 88
do exceedingly well in 419
do exceedingly well on 110
do exceedingly well to 86
do excellent jobs of 53
do excellent work as 279
do excellent work at 131
do excellent work by 52
do excellent work if 101
do excellent work in 1519
do excellent work on 237
do exercises from the 78
do exercises such as 189
do extensive reading in 120
do extensive reading of 48
do extensive work in 243
do extensive work on 180
do extremely well as 173
do extremely well at 225
do extremely well by 58
do extremely well if 99
do extremely well in 1426
do extremely well is 51
do extremely well on 441
do extremely well to 143
do fieldwork among the 195
do freelance work in 42
do freelance work or 42
do generally also of 123
