d not 190 d old
76 d her 109 d
his 123 d that 54
d this 70 d all
70 d and 233 d
any 51 d bed 172
d for 158 d her
351 d his 545 d
new 337 d one 66
d our 64 d that
527 d this 306 d
too 63 d with 45
d own 90 d one
284 d real 55 d
way 122 d for 50
d her 267 d his
251 d our 49 d
that 97 d this 71
d long 279 d day
149 d man 49 d
one 1416 d bed 233
d each 40 d get
45 d her 144 d
him 61 d his 66
d one 44 d see
442 d this 53 d
all 662 d and 92
d for 192 d going
310 d off 227 d
and 132 d that 134
d and 44 d hear
63 d see 112 d
him 130 d and 116
d and 677 d for
158 d with 225 d
age 45 d this 41
d far 241 d ask
60 d bed 42 d
being 48 d dying 43
d get 104 d hear
64 d her 475 d
him 266 d his 244
d mean 43 d new
150 d our 98 d
pay 45 d say 158
d see 972 d that
247 d this 284 d
you 139 d and 290
d for 62 d with
1863 d her 48 d
his 108 d all 219
d and 123 d for
246 d that 41 d
with 165 d far 127
d day 55 d job
90 d get 72 d
her 608 d him 310
d his 111 d them
44 d you 67 d
and 244 d and 171
d for 56 d year
43 d she 79 d
they 41 d you 190
d her 59 d his
161 d any 74 d
out 103 d too 41
d was 41 d out
44 d way 44 d
earth 163 d end 357
d eye 273 d mean
49 d sun 197 d
top 249 d all 279
d all 65 d his
51 d one 94 d
all 105 d and 75
d her 44 d his
56 d that 100 d
this 49 d see 131
d far 122 d for
92 d and 48 d
with 56 d far 273
d all 73 d bed
1088 d get 106 d
her 195 d him 45
d his 162 d new
91 d one 86 d
see 464 d that 117
d and 90 d for
53 d die 42 d
get 303 d hear 42
d put 49 d say
56 d see 2349 d
try 82 d easy 61
d idea 58 d you
42 d all 170 d
out 119 d own 91
d idea 141 d one
236 d use 43 d
way 216 d law 64
d act 83 d add
120 d ask 1184 d
beat 78 d beg 49
d bring 270 d buy
376 d cut 324 d
deal 431 d die 74
d dig 115 d earn
76 d fix 81 d
fly 131 d get 3390
d hang 122 d head
43 d hear 114 d
hit 76 d lay 88
d let 475 d lie
139 d pay 1483 d
put 985 d read 163
d run 437 d say
2910 d see 857 d
set 192 d sit 362
d tear 53 d tie
94 d try 447 d
use 611 d wear 282
d win 52 d all
63 d was 391 d
her 59 d his 75
d all 532 d was
364 d her 71 d
him 149 d his 66
d that 127 d them
61 d this 77 d
far 48 d man 50
d his 49 d get
47 d out 138 d
with 80 d and 121
d and 76 d out
188 d and 41 d
eye 321 d for 45
d with 93 d out
45 d for 50 d
now 56 d had 45
d was 332 d she
67 d you 134 d
was 366 d bed 73
d his 41 d her
47 d his 66 d
and 89 d too 92
d car 79 d her
86 d his 75 d
car 292 d her 350
d him 279 d not
101 d for 52 d
and 91 d too 91
d idea 49 d job
53 d add 1396 d
and 44 d ask 11713
d beat 74 d bet
128 d bring 1604 d
but 108 d buy 3007
d cry 51 d cut
208 d deal 76 d
die 240 d earn 77
d end 290 d fix
73 d fly 184 d
get 15243 d git 61
d hang 143 d head
95 d hear 12195 d
hit 83 d lay 130
d lead 84 d let
334 d lie 147 d
own 260 d pay 355
d put 2957 d read
2675 d run 1178 d
say 8976 d see 43065
d set 415 d sit
556 d tear 64 d
tie 87 d try 6067
d use 2894 d wear
167 d win 164 d
wring 134 d see 458
d each 86 d her
207 d him 165 d
his 65 d that 71
d them 91 d you
132 d and 69 d
and 198 d job 119
d arm 42 d all
40 d job 40 d
way 40 d ask 67
d but 81 d buy
69 d get 1164 d
hear 3067 d put 53
d read 99 d run
53 d say 114 d
see 4831 d sit 100
d try 154 d use
44 d her 63 d
his 73 d all 199
d his 47 d out
131 d this 51 d
way 54 d her 76
d his 86 d her
66 d day 117 d
her 109 d his 45
d for 64 d her
437 d his 557 d
our 65 d all 74
d easy 46 d for
44 d out 42 d
way 49 d for 111
d them 82 d ask
129 d say 395 d
with 117 d with 41
d add 43 d ask
42 d buy 57 d
get 247 d put 58
d see 73 d use
86 d them 48 d
one 111 d and 84
d his 87 d use
43 d off 54 d
out 44 d did 137
d had 249 d was
791 d his 40 d
all 90 d out 102
d that 46 d was
522 d each 54 d
her 867 d him 782
d his 115 d them
139 d for 62 d
her 371 d him 66
d his 393 d new
41 d that 55 d
all 447 d and 62
d with 62 d with
41 d one 98 d
her 91 d him 98
d her 126 d his
136 d far 304 d
boy 46 d car 41
d day 116 d man
168 d old 46 d
two 78 d way 173
d for 70 d how
101 d for 60 d
with 52 d and 50
d them 58 d her
77 d him 60 d
you 86 d bed 64
d all 59 d and
58 d and 172 d
and 68 d was 111
d was 216 d that
46 d all 130 d
and 120 d easy 58
d for 62 d off
202 d out 242 d
with 51 d for 85
d out 168 d with
71 d oath 49 d
bus 53 d job 87
d with 44 d her
229 d him 291 d
them 99 d you 286
d how 75 d all
72 d how 224 d
she 41 d that 414
d why 120 d now
88 d did 49 d
had 160 d was 1202
d they 45 d you
53 d had 52 d
was 1693 d one 98
d all 43 d her
122 d him 49 d
his 44 d that 117
d you 44 d had
78 d out 141 d
all 140 d how 124
d she 175 d that
782 d this 54 d
you 250 d one 132
d this 41 d her
56 d get 61 d
all 121 d see 68
d and 461 d one
46 d with 147 d
and 84 d and 67
d add 42 d ask
77 d bring 50 d
buy 83 d die 62
d get 476 d hang
41 d hear 300 d
put 133 d read 88
d run 70 d say
114 d see 756 d
sit 49 d try 66
d use 192 d wear
40 d you 506 d
had 81 d was 110
d was 112 d that
40 d with 151 d
see 262 d out 229
