damp oblivion even louder 56
dare venture their stakes 130
daring ambition ever recoil 79
daring escapes from prison 128
dark central cone wavers 89
dark chamber some zealous 133
dark figures moving around 55
dark figures moving through 40
dark objects were indians 67
dark passage leading toward 46
dark shadows fall across 45
dark shadows fell across 76
dark shadows have fallen 53
dark shadows were creeping 50
dark stripes were almost 44
dark tresses were already 41
dark windows over yonder 49
data between main memory 538
data confirm these findings 122
data depends upon whether 47
data derived from actual 215
data derived from animal 743
data derived from another 65
data derived from census 59
data derived from direct 210
data derived from earlier 117
data derived from existing 58
data derived from family 135
data derived from figure 50
data derived from ground 41
data derived from groups 56
data derived from humans 41
data derived from modern 63
data derived from normal 69
data derived from public 73
data derived from recent 70
data derived from remote 144
data derived from sample 81
data derived from sampling 92
data derived from studying 47
data derived from survey 80
data derived from various 462
data fetched from memory 66
data follows some normal 56
data gathered from actual 103
data gathered from around 43
data gathered from existing 43
data gathered from various 406
data packets from source 90
data provide more direct 55
data provide only partial 83
data provide some useful 67
data provide very little 76
data resulting from various 61
data revealed very little 44
data sources have become 121
data support these claims 64
data support these findings 159
data wrought into fixity 40
date depends upon whether 53
date several years before 41
date several years earlier 56
days absence from school 94
days between good friday 64
days between palm sunday 52
days distant from bohemia 56
days distant from london 43
days divided into twelve 140
days fifteen years before 47
days following bone marrow 94
days following pearl harbor 380
days following such notice 159
days following their initial 59
days following their release 49
days following their return 83
days following were filled 43
days following your return 60
days journey from medina 42
days pervade these scenes 60
days preceding pearl harbor 45
days reflect upon oliver 132
deaths resulting from cancer 99
deaths resulting from disease 114
deaths resulting from lawful 703
deaths resulting from police 61
debt depends upon whether 52
debt financing over equity 235
debt problem will remain 43
debt service ratio jumped 46
debt service ratio reached 144
debt service ratio should 97
deck started their little 181
deep concern over recent 42
deep concern over whether 43
deep fibrous root system 55
deep inquiry into nature 48
deep insight into causes 143
deep insight into divine 58
deep insight into jewish 46
deep insight into nature 310
deep insight into reality 102
deep insight will always 89
deep orisons were breathed 52
deep sadness when touching 70
deep shudder went through 90
deep skillet over medium 1918
deep slumber save myself 42
deep windows were placed 48
deny himself some medals 181
deny workers their rights 53
desk drawers were filled 43
desk drawers were locked 108
dewy flowers were already 189
died because their mothers 172
died fifteen days before 85
died fifteen years before 1456
died fifteen years earlier 600
died seventy years before 209
died several days before 532
died several days earlier 201
died several years before 8727
died several years earlier 3430
died sixteen years before 735
died sixteen years earlier 272
died thirteen years before 817
died thirteen years earlier 294
diet becomes more varied 316
diet several days before 81
dike against those invading 82
dire results will follow 128
disc digital audio system 204
disk sectors into memory 67
dogs carried from twenty 85
dogs evolved from wolves 55
dogs suffering from rabies 119
done against their wishes 66
done against these forces 405
done against these opposing 45
done depends upon whether 51
done equally well whether 49
done equally well without 120
done exactly what newman 41
done fifteen years before 707
done fifteen years earlier 719
done himself great credit 207
done himself much credit 89
done himself some injury 68
done seventy years before 327
done seventy years earlier 77
done several days before 606
done several days earlier 94
done several years before 1119
done several years earlier 930
done similar work before 294
done sixteen years before 263
done sixteen years earlier 106
done thirteen years before 165
done thirteen years earlier 70
door clacked shut behind 45
door clanked shut behind 129
door clapped shut behind 95
door clicked open behind 145
door clicked shut before 137
door clicked shut behind 4341
door clunked shut behind 63
door crashed open behind 121
door crashed shut behind 161
door quietly shut behind 119
door rattled shut behind 43
door slammed hard behind 108
door slammed hard enough 71
door slammed open behind 56
door slammed shut before 364
door slammed shut behind 10780
door slapped shut behind 286
door snapped shut behind 366
door snicked shut behind 59
door squeaked open behind 62
door squeaked shut behind 57
door swished shut behind 120
door tightly shut behind 124
dost embrace nothing charming 408
down animals much larger 52
down because their owners 91
down between their bodies 1284
down between their cloven 109
down between your breasts 49
down borough high street 110
down depending upon whether 233
down express from london 126
down fifteen years before 108
down francis gary powers 283
down glucose into carbon 94
down holland park avenue 120
down payment from another 85
down payment plus monthly 103
down several days before 173
down several years before 426
down several years earlier 207
down steeply from narrow 55
down towards your ankles 187
drag himself along without 51
drag together some felled 62
draw designs from memory 95
draw figures from memory 46
draw lessons from recent 53
draw monmouth from retreat 99
draw objects from memory 112
draw support from across 93
draw support from various 48
draw together into larger 40
draw together some common 49
draw together their forces 53
draw together these various 97
dread monster rush toward 41
dream depends upon another 44
drew largely from nature 47
drew support from across 112
drew support from former 56
drew support from groups 56
drew support from various 75
drew together some troops 41
drew together their forces 45
drew together what forces 42
drop between these points 56
drug exactly what nature 45
drug several days before 46
drug smuggling from mexico 55
drug traffic from mexico 161
dual exchange rate policy 114
dual exchange rate regime 402
dual exchange rate system 2446
duet between lady macbeth 52
duly brought into answer 50
duly carried into effect 1092
duly entered into before 41
duly execute their office 128
duly perform their duties 41
during arousal from torpor 222
during certain early periods 40
during certain holy seasons 75
during certain life stages 157
during certain other periods 49
during certain time periods 1141
during chronic oral therapy 90
during extreme cold spells 43
during limited time periods 100
during osmotic flow through 79
during previous time periods 78
during primary care visits 195
during repeated free recall 51
during several days before 457
during several days without 64
during several high floods 54
during several time periods 160
during several years before 270
during several years failed 56
during several years without 92
during shorter time periods 90
during similar time periods 147
during vacation from school 43
dusk slipped back toward 84
duty against your sacred 45
duty imposed from without 84
duty towards their fellow 304
duty towards your family 43
duty towards your fellow 85
dyes derived from plants 160
dyke against those invading 76
