dc potential is applied 330
do actually so migrate 43
do analysis of variance 226
do approach the problem 97
do approach the subject 41
do business as foreign 52
do business in alabama 369
do business in america 412
do business in arizona 85
do business in britain 43
do business in central 84
do business in certain 247
do business in chicago 265
do business in colombia 93
do business in country 51
do business in dollars 81
do business in florida 345
do business in foreign 1613
do business in general 144
do business in germany 360
do business in holland 55
do business in malaysia 78
do business in markets 47
do business in montana 103
do business in myanmar 80
do business in several 858
do business in shanghai 56
do business in singapore 117
do business in spanish 44
do business in thailand 168
do business in vermont 148
do business in vietnam 427
do business in virginia 712
do business is subject 83
do business on sundays 226
do business to improve 49
do children in general 107
do children of average 93
do children of parents 187
do consider the effects 48
do consider the following 52
do consider the question 60
do conspire to execute 59
do continue to afflict 92
do continue to believe 163
do continue to develop 92
do continue to function 178
do continue to improve 66
do continue to increase 78
do continue to inflict 69
do continue to operate 233
do continue to produce 142
do continue to provide 102
do continue to receive 75
do continue to subsist 49
do continue to support 62
do contrive to stumble 52
do describe the general 49
do directly the reverse 221
do distress the company 45
do functions in algebra 74
do hundreds of millions 87
do indicate an increase 250
do indicate the ability 40
do indicate the general 326
do interact to produce 105
do likewise in relation 74
do likewise in respect 153
do likewise in similar 64
do mischief to herself 49
do mischief to himself 409
do mischief to mankind 52
do otherwise is foolish 51
do otherwise on account 92
do otherwise or because 43
do proclaim the following 191
do prophesy the election 256
do remember an occasion 48
do remember my parents 60
do remember the following 46
do remember the general 87
do remember to include 55
do segments of society 46
do students in schools 49
do students no service 41
do students of teachers 56
do thousands of dollars 142
do whatever he advised 153
do whatever he advises 55
do whatever he chooses 1669
do whatever he decided 101
do whatever he decides 138
do whatever he desired 433
do whatever he desires 523
do whatever he directs 59
do whatever he fancied 81
do whatever he fancies 41
do whatever he himself 64
do whatever he intends 58
do whatever he ordered 275
do whatever he planned 50
do whatever is decided 47
do whatever is desired 503
do whatever is feasible 133
do whatever is humanly 189
do whatever is needful 323
do whatever is ordered 73
do whatever is prudent 59
do whatever it chooses 250
do whatever it desires 161
do whatever my husband 132
do whatever the british 154
do whatever the captain 43
do whatever the company 90
do whatever the country 68
do whatever the doctors 85
do whatever the emperor 98
do whatever the general 46
do whatever the occasion 132
do whatever the patient 119
do whatever the program 48
do whatever we believe 82
do whatever we command 61
do whatever we desired 49
do yourself the greatest 110
do yourself the justice 171
do yourself the pleasure 44
