databases allow users to 128
databases which could be 76
daughters again burst the 40
daughters alike under the 65
daughters could still be 41
daughters sitting waiting to 56
daughters still lived at 46
daughters still lived in 58
daughters would never be 80
daughters would still be 41
debenture bonds shall be 44
debenture stock shall be 238
debenture stock under the 72
debenture stock which is 231
debenture under which the 71
decadence which marks the 49
decadence which seems to 72
deceptions which might be 47
decidedly lower level of 89
decidedly ranks above the 60
decidedly taken aback at 42
decidedly taken aback by 42
decidedly uneasy about the 127
decidedly vague about the 46
deciduous fruit trees as 54
deciduous fruit trees by 61
deciduous fruit trees in 386
deciduous fruit trees is 83
deciduous fruit trees of 46
deciduous fruit trees to 65
deciduous shrub growing to 142
deciduous trees began to 57
deciduous trees begin to 156
deciduous trees found in 74
deciduous trees growing in 86
deciduous trees where the 83
declivity which forms the 71
decompose white light by 52
decorated gothic style of 102
decorated guest rooms in 45
decorated idyll running to 86
decorated wagon drawn by 52
decoration could exalt the 47
decoration often found on 84
decoration which could be 206
decoration which gives the 48
decoration which marks the 46
decoration which might be 109
decoration which seems to 156
decoration which would be 79
decoration would appear to 71
dedicated every groat of 50
dedicated leased lines or 71
dedicated people willing to 171
dedicated people working in 182
dedicated phone lines to 130
deductions taken under the 96
deductions which appear to 69
deductions which could be 295
deductions which might be 239
deductions which ought to 63
deductions which would be 432
deductive logic based on 126
deductive logic could be 58
deductive method based on 77
deductive method could be 43
deductive method which is 89
deductive model based on 40
defamation action based on 210
defamation action where the 100
defamation cases where the 75
defamation claim based on 180
defamation suits where the 45
defamation which makes no 69
defective child might be 52
defective child would be 53
defective color vision in 153
defective color vision is 150
defective genes could be 54
defective goods where the 78
defective goods within the 63
defective items found in 675
defective items would be 47
defective light bulbs in 58
defective moral sense of 44
defective parts could be 49
defective parts found in 69
defective parts would be 71
defective units found in 157
defective vision which is 50
defective wheel would be 91
defective which fails to 66
defective which leaves no 60
defendant above named is 71
defendant acted under an 68
defendant acted under the 451
defendant acted within the 85
defendant comes within the 123
defendant could appeal to 74
defendant could apply to 50
defendant could avoid the 79
defendant could defeat the 60
defendant could elect to 45
defendant could never be 75
defendant could point to 53
defendant could prove the 73
defendant could raise an 44
defendant could raise the 116
defendant could rebut the 64
defendant could still be 147
defendant could waive the 55
defendant either fails to 52
defendant falls within the 215
defendant filed motion to 56
defendant knows about the 52
defendant liable under the 181
defendant lives within the 50
defendant might still be 61
defendant might waive the 43
defendant named above is 82
defendant pending appeal to 145
defendant poses danger to 42
defendant shall appear at 73
defendant shall appear in 81
defendant shall issue to 204
defendant shall prove the 51
defendant shall serve an 823
defendant shall state the 207
defendant still fails to 75
defendant under color of 43
defendant under which he 47
defendant under which the 92
defendant until after he 73
defendant until after the 340
defendant which could be 82
defendant which gives the 90
defendant which would be 83
defendant while under the 57
defendant would agree to 113
defendant would appear at 51
defendant would appear in 52
defendant would appear to 90
defendant would carry the 68
defendant would cause the 116
defendant would engage in 56
defendant would never be 79
defendant would still be 253
defenders could shoot at 45
defensive action could be 66
defensive action taken by 152
defensive action taken in 69
defensive action taken to 78
defensive action until the 50
defensive action would be 61
defensive force would be 47
defensive power would be 51
defensive walls built by 53
defensive weapon which it 52
defensive works about the 45
defensive works round the 46
defensive works thrown up 50
defensive works which the 60
defensive works would be 72
deference which marks the 76
deference which ought to 83
deference which would be 80
deficient cells could be 48
deficient human cells by 60
deficient motor power is 44
deficient mouse model of 58
definition above given is 53
definition above given of 532
definition based either on 41
definition cited above is 48
definition comes close to 255
definition could apply to 361
definition could easily be 121
definition could never be 129
definition could refer to 46
definition could serve as 42
definition falls short of 235
definition falls within the 145
definition first given by 66
definition first given in 40
definition fixed costs do 42
definition given above as 52
definition given above by 53
definition given above in 251
definition given above is 965
definition given above it 52
definition given above of 491
definition given above the 74
definition given above to 64
definition given below is 82
definition given under the 72
definition makes sense in 139
definition might appear to 81
definition might apply to 84
definition quite fails to 58
definition shall apply to 52
definition sheds light on 50
definition still leaves the 56
definition still seems to 47
definition takes place in 114
definition turns ought to 54
definition under which the 106
definition which could be 374
definition which fails to 101
definition which forms the 76
definition which gives the 184
definition which gives us 70
definition which makes it 237
definition which makes no 54
definition which makes the 213
definition which might be 320
definition which ought to 68
definition which seeks to 107
definition which seems to 591
definition which shall be 210
definition which speaks of 80
definition which takes the 50
definition which tells us 105
definition which tends to 56
definition which tries to 56
definition which would at 43
definition which would be 800
definition would allow the 73
definition would allow us 104
definition would appear to 668
definition would apply to 638
definition would cover the 104
definition would focus on 128
definition would limit the 85
definition would refer to 89
definition would serve no 45
definition would serve to 54
definition would still be 166
deflected shape shown in 197
deflection curve shown in 300
deflection curve under the 42
deflection takes place at 92
deflection takes place in 162
deflection which could be 52
deflection which would be 295
deformity would shock the 62
delegated broad power to 73
delegated power under the 214
delegated power would be 50
delegates could agree on 231
delegates spoke about the 45
delegates still hoped to 52
delegates would agree to 68
delegation takes place in 53
delegation which would be 77
delegation would agree to 85
delegation would visit the 64
delivered every morning at 96
delivered every morning by 153
delivered every morning to 92
delivered fatal blows to 46
delivered price based on 44
delivered price equal to 189
delivered price which is 148
delivered price would be 203
delivered right after the 84
delivered shall stand in 134
delivered under cover of 118
delivered until after the 904
delivered while still in 365
delivered within hours of 56
demagogue false leader of 44
demagogue ranting about the 397
democracy about which he 44
democracy about which we 43
democracy could begin to 49
democracy could easily be 61
democracy could exist in 81
democracy could never be 204
democracy could serve as 143
democracy could solve the 40
democracy could still be 77
democracy falls short of 109
democracy gives place to 77
democracy might prove to 58
democracy might still be 90
democracy shows signs of 63
democracy takes place in 59
democracy under which he 44
democracy under which the 221
democracy under which we 121
democracy until after the 128
democracy where power is 57
democracy which began in 51
democracy which could be 167
democracy which fails to 94
democracy which gives the 63
democracy which makes it 131
democracy which makes the 65
democracy which might be 153
democracy which ought to 56
democracy which rests on 102
democracy which seeks to 188
democracy which seems to 76
democracy which shall be 84
democracy which takes the 152
democracy which would be 259
democracy within which the 83
democracy would allow the 49
democracy would appear to 264
democracy would begin to 64
democracy would never be 132
democracy would prove to 101
democracy would serve as 49
democracy would solve the 52
democracy would still be 99
denotation which would be 45
denounced paper money as 54
densities which could be 105
densities which might be 47
densities which occur in 56
densities which would be 87
departure stops telling the 146
departure takes place at 45
departure takes place in 103
departure under cover of 181
departure until after the 411
departure which could be 43
departure which seems to 52
departure which would be 62
departure would appear to 69
departure would cause the 67
departure would weaken the 65
dependent child after the 202
dependent child shall be 155
dependent child under the 625
dependent child within the 64
dependent child would be 60
dependent claim shall be 276
dependent crack growth in 66
dependent model based on 53
