daft wife that loves 42
dame whom his father 64
damn fool for letting 40
damn fool for thinking 41
damn fool who would 41
damn good for anything 95
damn good for white 90
damn sick and tired 1225
damn sure not gonna 44
damn sure she could 53
damn sure she never 45
damn sure she would 64
damn sure that every 136
damn sure they would 58
damn sure you never 119
damn sure you would 43
damn their own souls 337
damn those ears which 98
damn well she could 67
damn well she would 128
damn well they could 72
damn well they would 331
damn well you could 176
damn well you would 291
damn what she thinks 149
damn what you write 107
damp cloth and allow 235
damp cloth and began 54
damp cloth and dried 54
damp cloth and place 434
damp cloth and press 284
damp cloth and slice 126
damp cloth and stood 52
damp cloth and store 124
damp cloth and wiped 154
damp cloth for about 42
damp cloth with which 111
damp from her morning 118
damp from his morning 190
damp from this cause 40
damp shoes and socks 40
damp snow was falling 59
damp upon all kinds 171
damp wind was blowing 321
damp wood and cause 49
damp wool and leather 43
dams from being built 59
dams were being built 253
dams were not built 121
dare avow her beauty 67
dare come out again 44
dare come out until 41
dare come too close 266
dare draw his sword 47
dare hope for anything 63
dare hope you would 59
dare leave her alone 236
dare leave her house 73
dare leave him alone 196
dare leave his flock 58
dare leave his house 66
dare leave this house 84
dare leave you alone 51
dare lift his voice 63
dare make any noise 62
dare open our mouths 60
dare show our faces 79
dare stay any longer 123
dare swear she would 65
dare swear you would 89
dare take any action 109
dare take any risks 40
dare take any steps 42
dare tell her about 287
dare tell her father 169
dare tell her mother 321
dare tell him about 353
dare tell him anything 60
dare tell him where 41
dare tell his father 122
dare tell his mother 143
dare tell them about 109
dare tell you about 123
dare tell you anything 50
dare wait any longer 308
daring among them would 67
daring bank and train 56
daring feet and hands 112
daring plan that would 57
daring step was taken 74
daring young man named 81
dark ages with fraud 50
dark areas and light 199
dark areas are light 55
dark areas are where 45
dark areas that appear 44
dark back and light 159
dark back and white 80
dark bars and spots 73
dark beard and black 70
dark beard and rather 124
dark blue air force 57
dark blue and beige 56
dark blue and black 2539
dark blue and brown 840
dark blue and green 2534
dark blue and light 1399
dark blue and olive 46
dark blue and orange 486
dark blue and steady 77
dark blue and violet 311
dark blue and white 2521
dark blue one would 41
dark blue sky above 237
dark blue tee shirt 61
dark blue with black 224
dark blue with brass 59
dark blue with green 56
dark blue with large 48
dark blue with light 136
dark blue with orange 127
dark blue with small 61
dark blue with stars 62
dark blue with white 895
dark body and white 68
dark buds and leaves 262
dark cave and built 78
dark coat and black 62
dark coat and light 131
dark coat and pants 51
dark coat and skirt 289
dark coat and white 150
dark coat with white 67
dark cold and empty 52
dark days and hours 96
dark days and months 89
dark days and weeks 48
dark days had saved 73
dark deed are known 179
dark dens and cages 139
dark doom that rides 66
dark during this period 59
dark early this evening 233
dark ebbing and flowing 69
dark eyes and asked 76
dark eyes and black 1934
dark eyes and blond 68
dark eyes and broad 123
dark eyes and brown 365
dark eyes and brows 247
dark eyes and bushy 93
dark eyes and close 45
dark eyes and could 52
dark eyes and crisp 130
dark eyes and curling 108
dark eyes and curls 49
dark eyes and curly 482
dark eyes and dusky 43
dark eyes and fixed 98
dark eyes and flowing 60
dark eyes and found 44
dark eyes and fresh 48
dark eyes and gleaming 41
dark eyes and glowing 105
dark eyes and large 110
dark eyes and light 424
dark eyes and olive 565
dark eyes and quick 67
dark eyes and quiet 56
dark eyes and rather 96
dark eyes and raven 768
dark eyes and round 148
dark eyes and sharp 78
dark eyes and shining 98
dark eyes and shiny 59
dark eyes and shook 51
dark eyes and short 264
dark eyes and silky 58
dark eyes and small 207
dark eyes and smile 44
dark eyes and smiling 71
dark eyes and smooth 199
dark eyes and spoke 47
dark eyes and strong 231
dark eyes and sweet 114
dark eyes and tight 52
dark eyes and tried 60
dark eyes and white 552
dark eyes are fixed 107
dark eyes are large 55
dark eyes are looking 47
dark eyes are still 134
dark eyes had anything 40
dark eyes had grown 107
dark eyes had never 51
dark eyes had taken 56
dark eyes set close 211
dark eyes she could 76
dark eyes that could 502
dark eyes that flash 128
dark eyes that gazed 175
dark eyes that might 77
dark eyes that moved 231
