dab through the middle 63
dad called the police 99
dam across the branch 83
dam across the canyon 80
dam across the course 63
dam across the danube 42
dam across the entire 75
dam across the hudson 138
dam across the jordan 119
dam across the little 202
dam across the mohawk 46
dam across the narrow 133
dam across the outlet 400
dam across the ravine 221
dam across the tigris 152
dam across the valley 1575
dam across the yangtze 75
dam hoarding the bounty 46
dam should be placed 174
dam should be raised 64
day accept the thought 73
day across the border 109
day across the desert 289
day across the entire 51
day across the fields 153
day across the heavens 59
day across the island 115
day across the plains 220
day across the street 293
day across the united 290
day adorning the courts 79
day almost the entire 295
day amongst the cotton 47
day amongst the greeks 76
day amount to something 136
day appears to reduce 43
day around the corner 112
day around the island 94
day around the middle 122
day around the parish 100
day battle of shiloh 131
day became an object 192
day become an object 58
day become as famous 46
day become the center 77
day become the common 160
day become the divine 44
day become the finest 45
day become the humble 50
day become the master 145
day become the object 172
day become the source 65
day become the symbol 40
day become the united 101
day become the victim 154
day becoming of greater 48
day before an actual 40
day before an attack 154
day before at another 131
day before at dinner 237
day before at school 56
day before he became 318
day before he begins 49
day before he called 126
day before he caught 95
day before he closed 49
day before he failed 44
day before he issued 98
day before he joined 247
day before he killed 163
day before he landed 163
day before he opened 86
day before he passed 304
day before he reached 995
day before he reaches 123
day before he sailed 1250
day before he should 152
day before he showed 47
day before he signed 123
day before he starts 65
day before he thought 42
day before he turned 157
day before he writes 45
day before in another 72
day before in berlin 49
day before in boston 46
day before in london 83
day before it became 530
day before it begins 125
day before it closed 125
day before it closes 45
day before it occurs 47
day before it opened 252
day before it passed 41
day before it rained 46
day before it reached 116
day before it sailed 43
day before it starts 53
day before my arrest 91
day before my attack 50
day before my brother 99
day before my cousin 44
day before my family 54
day before my flight 150
day before my letter 40
day before my release 115
day before my return 559
day before my second 165
day before my sister 147
day before my twenty 173
day before or earlier 146
day before the actual 1540
day before the advent 235
day before the affair 161
day before the agreed 100
day before the allied 366
day before the allies 104
day before the ambush 103
day before the animal 116
day before the annual 681
day before the answer 40
day before the arrest 274
day before the ascent 90
day before the atomic 93
day before the attack 6771
day before the auction 567
day before the august 89
day before the autumn 112
day before the awards 43
day before the ballot 262
day before the battle 20998
day before the berlin 144
day before the bishop 178
day before the bloody 111
day before the bodies 59
day before the bombings 49
day before the boston 70
day before the bridge 42
day before the budget 206
day before the building 48
day before the camera 73
day before the castle 87
day before the cattle 92
day before the caucus 84
day before the charge 40
day before the church 390
day before the circus 187
day before the clinic 59
day before the column 53
day before the combat 92
day before the common 49
day before the convoy 117
day before the county 63
day before the couple 78
day before the course 97
day before the courts 90
day before the creation 64
day before the crisis 129
day before the crossing 138
day before the crowds 116
day before the crucial 181
day before the cruise 48
day before the debate 781
day before the decree 86
day before the dinner 1444
day before the doctor 165
day before the dreaded 51
day before the english 686
day before the entire 196
day before the escape 118
day before the events 111
day before the exodus 42
day before the expiry 618
day before the family 710
day before the famous 397
day before the fiesta 166
day before the fighting 258
day before the finals 61
day before the flight 1346
day before the flower 137
day before the forces 51
day before the formal 461
day before the former 122
day before the french 1094
day before the friday 42
day before the garden 48
day before the gathering 172
day before the geneva 103
day before the german 1364
day before the ground 279
day before the guests 121
day before the houses 45
day before the indians 159
day before the initial 335
day before the injury 61
day before the island 42
day before the israeli 129
day before the italian 121
day before the jewish 745
day before the judges 53
day before the kaiser 43
day before the killings 110
day before the ladies 236
day before the landings 152
day before the latest 49
day before the latter 600
day before the launch 390
day before the lenten 101
day before the lesson 228
day before the letter 465
day before the little 185
day before the london 115
day before the market 541
day before the matter 185
day before the meetings 141
day before the memory 40
day before the merger 174
day before the middle 50
day before the mirror 118
day before the mission 243
day before the monday 44
day before the monthly 59
day before the movers 41
day before the mowers 52
day before the munich 42
day before the murder 2631
day before the mutiny 159
day before the notice 70
day before the offering 368
day before the office 66
day before the opener 127
day before the pageant 56
day before the palace 116
day before the papers 74
day before the parade 330
day before the patent 52
day before the person 86
day before the picnic 397
day before the planting 56
day before the plants 47
day before the police 469
day before the policy 98
day before the prince 351
day before the public 1687
day before the rebels 77
day before the recess 127
day before the record 445
day before the reform 87
day before the release 227
day before the relief 77
day before the report 290
day before the rescue 50
day before the result 62
day before the retreat 121
day before the return 882
day before the reunion 76
day before the review 167
day before the revolt 251
day before the ritual 124
day before the russian 191
day before the sabbath 7358
day before the sacred 70
day before the school 762
day before the second 3207
day before the secret 103
day before the senate 1767
day before the series 201
day before the sermon 130
day before the session 2057
day before the seventh 78
day before the shooting 1431
day before the shrine 40
day before the solemn 88
day before the soviet 450
day before the special 221
day before the speech 576
day before the stabbing 90
day before the starting 55
day before the stated 243
day before the statue 111
day before the steamer 312
day before the storming 131
day before the strike 2103
day before the stroke 81
day before the sudden 82
day before the summer 337
day before the summit 271
day before the sunday 142
day before the survey 270
day before the swelling 111
day before the temple 66
day before the tragic 70
day before the training 108
day before the troops 457
day before the twenty 237
day before the united 667
day before the uprising 182
day before the vernal 54
day before the vessel 518
day before the voyage 49
day before the weekly 259
day before the winter 206
day before the writer 62
day before to another 70
day before to arrange 117
day before to attack 42
day before to attend 148
day before to ensure 80
day before to escort 57
day before to inform 84
day before to obtain 40
day before to remind 106
day before to return 58
day before to salute 56
day before to secure 102
day before we caught 105
day before we docked 42
day before we fought 47
day before we landed 369
day before we opened 176
day before we parted 121
day before we passed 161
day before we picked 176
day before we played 84
day before we reached 3316
day before we sailed 1179
day before we should 178
day before we talked 40
day begins at sunset 1395
day begins in earnest 155
day begins to darken 55
day begins to lengthen 123
day beheld the master 78
day behind my master 43
day behind the closed 95
day behind the scenes 416
day behold the scenes 45
day beside the joyous 74
day beyond the limits 353
day beyond the session 577
day beyond the window 93
day broken in effect 116
day called the sabbath 42
day called to answer 50
day changed the course 59
