dainties and quaffing deep 58
damnable and fearful fact 49
damnable and rotten worm 56
damnation for broken laws 50
dangerous and alarming bearing 77
dangerous and costly arms 58
dangerous and exciting game 70
dangerous and exciting life 53
dangerous and exciting work 45
dangerous and noxious when 243
dangerous and poorly paid 135
dangerous and should have 103
dangerous and should only 473
dangerous and unsafe kind 98
dangerous and wicked girl 66
dangerous but annoying side 47
dangerous for anyone else 269
dangerous for little boys 45
dangerous for public health 82
dangerous for someone like 74
dangerous than anyone else 272
darkened and became more 42
darkened and silent room 52
darkened and turned into 40
darkened his latter days 47
darkened his latter years 49
darkness and atheism fled 78
darkness and bitter cold 604
darkness and blinding rain 42
darkness and blinding snow 54
darkness and drifting snow 43
darkness and freezing cold 150
darkness and gloomy pomp 42
darkness and greater cold 117
darkness and horror fell 152
darkness and looked down 63
darkness and matter made 63
darkness and opened fire 49
darkness and sheeting rain 40
darkness and showed only 99
darkness and stolen from 48
darkness and strange lust 137
darkness and swirling snow 96
darkness and whirling snow 73
darkness and without food 65
darkness and without hope 54
darkness but remain free 58
darkness for another hour 63
darkness for another three 55
darkness for twenty years 53
darkness had already been 71
darkness had already come 100
darkness had always been 76
darkness had cleared away 55
darkness had closed down 152
darkness had closed over 251
darkness had dimmed their 41
darkness had fallen early 40
darkness had fallen like 45
darkness had fallen over 515
darkness had fallen upon 551
darkness had fallen when 173
darkness had hidden from 60
darkness had lifted from 84
darkness had passed away 252
darkness had rolled away 71
darkness has already been 76
darkness has always been 102
darkness has fallen over 74
darkness has fallen upon 168
darkness has passed away 184
darkness hath passed away 41
darkness hath shined into 83
darkness now gathering over 72
darkness that broods over 874
darkness that covers their 41
darkness that hovers over 145
darkness that rested upon 50
darkness that should have 50
darkness they looked like 101
darkness they played like 78
darkness was almost upon 89
darkness was already upon 68
darkness was always there 85
darkness was broken only 242
darkness was changed into 46
darkness was creeping over 100
darkness was driven away 72
darkness was gathering fast 48
darkness was gathering over 109
darkness was lifted from 54
darkness was looked upon 80
darkness was pushed back 49
darkness was settling down 422
darkness was settling over 205
darkness was settling upon 52
darkness was spreading over 127
darkness was turned into 159
darkness with unseeing eyes 51
database and choose file 66
database and loaded into 44
database has already been 402
database that someone else 43
database that stores data 220
database that stores user 56
database was created from 115
database with changes made 77
database with sample data 102
daughter and another baby 60
daughter and another girl 165
daughter and another lady 110
daughter and another young 198
daughter and family live 44
daughter and family were 65
daughter and former wife 62
daughter and itself look 65
daughter and lawful heir 68
daughter and looked into 46
daughter and myself have 89
daughter and myself went 58
daughter and myself were 203
daughter and myself will 108
daughter and second wife 46
daughter and settle down 40
daughter and sister from 43
daughter and sister were 92
daughter for twenty years 92
daughter had already been 525
daughter had already died 105
daughter had already gone 106
daughter had already left 272
daughter had already made 51
daughter had always been 702
daughter had become more 103
daughter had become very 152
daughter had driven away 40
daughter had fallen into 294
daughter had gotten into 81
daughter had indeed been 56
daughter had lately been 61
daughter had passed away 172
daughter had stayed away 70
daughter had turned into 149
daughter has already been 192
daughter has already left 40
daughter has already made 49
daughter has always been 516
daughter has become very 43
daughter has fallen into 99
daughter has gotten into 43
daughter has passed away 56
daughter has turned into 109
daughter she should have 70
daughter was absent from 61
daughter was already there 48
daughter was becoming more 123
daughter was called maria 42
daughter was called mary 77
daughter was called upon 55
daughter was eleven years 79
daughter was forced into 56
daughter was handed over 97
daughter was killed when 51
daughter was looked upon 74
daughter was marrying into 69
daughter was passed over 62
daughter was placed into 70
daughter was raised from 83
daughter was something else 46
daughter was standing there 68
daughter was stolen away 78
daughter was stolen from 70
daughter was turned into 58
daughter was twelve years 227
daughter was twenty years 49
daughter was visiting from 43
daughter who looked just 50
daughter who looked like 247
daughter who passed away 61
daughter who should have 162
daughter with watery eyes 46
daylight and serene ones 42
daylight for another three 86
daylight had almost gone 112
daylight had dawned upon 97
daylight was almost gone 386
daylight was already clear 42
daylight was already fading 97
daylight was already waning 44
daylight was creeping into 46
daylight was slipping away 44
daylight was streaming into 72
debility and weight loss 56
debonair and gentle tale 162
decanter and poured some 48
decanter now coolly flying 47
decedent and killer into 46
decedent has neither living 40
decedent was killed when 378
deceived and forced into 61
deceived and lulled into 85
deceived and misled into 104
deceived and played upon 135
deceived his brother esau 133
decently and cleanly clad 112
deception and double dealing 108
deception has always been 75
deception may result from 57
deception that occurs when 71
decimate and devour their 65
decipher them without help 68
decisions and accept their 52
decisions and actions come 60
decisions and actions during 205
decisions and actions from 303
decisions and actions have 763
decisions and actions into 64
decisions and actions leading 73
decisions and actions made 413
decisions and actions make 66
decisions and actions more 162
decisions and actions must 439
decisions and actions need 94
decisions and actions over 124
decisions and actions seem 42
decisions and actions take 108
decisions and actions upon 85
decisions and actions used 74
decisions and actions were 977
decisions and actions when 97
decisions and actions will 936
decisions and adjust their 44
decisions and become more 226
decisions and changes made 73
decisions and changes were 44
decisions and choose among 74
decisions and choose their 74
decisions and decide what 53
decisions and direct their 81
decisions and ensure their 108
decisions and manage their 186
decisions and managing their 73
decisions and orders from 65
decisions and orders made 142
decisions and orders were 107
decisions and policy making 490
decisions and pursue their 41
decisions and should have 64
decisions and should make 46
decisions are agreed upon 80
decisions are already made 1101
decisions are always made 1120
decisions are always more 85
decisions are always open 57
decisions are becoming more 680
decisions are better left 109
decisions are better made 414
decisions are broken down 55
decisions are called into 108
decisions are clearly made 43
decisions are driven more 104
decisions are exempt from 50
decisions are forced upon 152
decisions are freely made 75
decisions are handed down 1600
decisions are handed over 49
decisions are hardly ever 115
decisions are hidden from 54
decisions are immune from 114
decisions are indeed made 69
decisions are little more 67
decisions are mainly made 76
decisions are mostly made 142
decisions are passed down 237
decisions are pushed down 202
decisions are rarely clear 49
decisions are rarely made 622
decisions are reached full 69
decisions are reached more 45
decisions are reached only 223
decisions are reached when 48
decisions are reached will 95
decisions are relied upon 62
decisions are seldom clear 61
decisions are seldom made 378
decisions are shared among 49
decisions are turned over 92
decisions being handed down 321
decisions can affect their 68
