daggers were drawn and 54
dairies from which this 124
daisies from white dew 126
damaged during world war 5105
damaged even though they 56
damaged hair cells and 113
damaged heart valve and 46
damaged more easily than 279
damaged more often than 68
damaged their crops and 52
damaged their sails and 48
damages during world war 72
damages even though his 69
damages even though she 74
damages even though they 125
damages must arise out 470
damages must prove that 94
damages only where they 46
damages plus costs and 116
damages upon proof that 90
damages were asked for 66
damages were given for 198
dancers among hills and 48
dancers halt where they 46
dancers hold hands and 66
dancers join hands and 163
dancers stop short with 45
dancers swung round and 42
dancers wearing masks and 43
dancers went round and 60
dancers were happy and 50
darkest when really they 54
daybreak next morning and 100
daybreak next morning that 44
daybreak next morning they 380
daybreak next morning was 45
daybreak next morning with 46
daytime soap opera all 46
daytime soap opera and 98
daytime soap opera that 40
daytime talk shows and 584
daytime talk shows are 137
daytime talk shows that 87
dazzled eyes could see 122
deadened their force with 40
deafened soul could now 59
deafness from which she 100
deathless joke about how 278
debated ever since its 56
debates from which they 86
debates have raged for 57
debates have shown that 186
debates over nafta and 46
debates over power and 51
debates over social and 152
debates over trade and 57
debates over women and 43
debates take place and 65
debates took place and 100
debates took place with 62
debates were heated and 106
debates were still going 59
debates were under way 64
debauch their wives and 59
debited when goods are 48
debtors come hither for 54
decades during which his 67
decades during which its 49
decades during which she 89
decades during which they 209
decades during which this 61
decades even though they 61
decades from world war 85
decades have found that 339
decades have given way 49
decades have shown how 98
decades have shown that 3508
decades will doubt that 97
deceased till after his 78
deceased wage earner for 45
deceased wage earner was 103
deceased young people lay 88
deceive many people with 50
deceive those about him 53
deceive when trading with 43
decided during world war 140
decided from above and 44
decided ideas about how 56
decided last night not 42
decided last night that 1309
decided many cases that 115
decided many times that 141
decided next morning not 41
decided odor about his 47
decided once again not 86
decided once again that 941
decided only after long 113
decided only after one 49
decided some months ago 263
decided some weeks ago 133
decided soon after his 88
decided soon after that 135
decided there could not 152
decided there really was 144
decided there would not 225
decided three cases that 204
decided three months ago 43
decided three weeks ago 133
decided upon after due 201
decided upon after long 170
decided upon calling her 53
decided upon calling him 52
decided upon first and 54
decided upon parting with 48
decided upon plans for 44
decided upon rather than 157
