dabs with his bill 44
dace can not come 48
dais and sat down 330
dais that had been 240
dale with all their 46
dame did not seem 49
dame got her keys 54
dame got him into 80
dame was led into 44
dame who had been 261
dame who had seen 53
dame with his lips 40
damn for his bank 75
damn for his book 49
damn for that sort 54
damn him for ever 112
damn him for making 103
damn his own soul 372
damn hot out here 131
damn hot out there 41
damn how you feel 277
damn long way from 83
damn near got away 83
damn near ran into 48
damn near ran over 121
damn near ten years 125
damn near two years 135
damn that they were 49
damn them and their 67
damn them for ever 91
damn them for their 153
damn war was over 54
damn way you want 68
damn who they were 69
damn who you were 41
damn you and damn 53
damn you and your 755
damn you for making 48
damn you for your 143
damp air and cold 41
damp air that came 43
damp air was full 52
damp air was heavy 52
damp and had been 59
damp and had lost 42
damp and her eyes 49
damp and her face 81
damp and her hair 64
damp and her heart 97
damp and her mouth 54
damp and his face 94
damp and his heart 41
damp and icy breath 53
damp and icy cold 193
damp and not very 66
damp and she felt 43
damp and that there 107
damp but not cold 44
damp earth and moss 129
damp earth and pine 73
damp earth for many 40
damp earth for nine 52
damp for any length 133
damp for two days 51
damp had got into 125
damp has got into 100
damp out with time 98
damp than any other 110
damp that they were 167
damp with her sweat 71
damp with her tears 667
damp with his sweat 341
damp with his tears 47
dams and all other 40
dams are not only 88
dams had not been 113
dams has not been 57
dams than any other 54
dams that had been 383
dams that had lost 73
dare all for love 42
dare all for their 42
dare ask any more 378
dare ask for help 72
dare ask for more 571
dare ask for such 50
dare ask for your 58
dare ask her what 142
dare ask him what 334
dare ask his wife 41
dare ask how many 53
dare ask how much 91
dare ask too many 51
dare fay you have 80
dare fay you will 178
dare for his life 150
dare lay his hand 45
dare let her know 165
dare let him know 280
dare let them know 147
dare let them ride 99
dare let you know 66
dare not act like 74
dare not act upon 199
dare not and must 74
dare not and will 273
dare not ask from 41
dare not ask more 146
dare not ask such 86
dare not ask what 171
dare not ask your 128
dare not bring their 44
dare not but hope 42
dare not cut down 122
dare not for their 169
dare not for your 163
dare not get down 103
dare not get into 55
dare not hit back 75
dare not lay down 323
dare not lay hold 49
dare not lay their 46
dare not let down 78
dare not let such 57
dare not let their 204
dare not let your 146
dare not lie down 401
dare not nor will 69
dare not now even 83
dare not now give 63
dare not now make 44
dare not now show 51
dare not now speak 46
dare not now upon 48
dare not own their 53
dare not pay more 40
dare not pry into 50
dare not put arms 45
dare not put down 68
dare not put forth 72
dare not put into 216
dare not put their 289
dare not put upon 45
dare not put your 67
dare not read what 54
dare not run away 219
dare not say even 50
dare not say from 81
dare not say half 65
dare not say here 45
dare not say less 138
dare not say more 2282
dare not say much 578
dare not say soul 55
dare not say such 69
dare not say their 111
dare not say there 363
dare not say what 1355
dare not say when 121
dare not say your 152
dare not set down 249
dare not set foot 733
dare not sit down 499
dare not use even 40
dare not use such 75
dare not use their 199
dare not use these 45
dare not use your 97
dare not with their 89
dare not yet give 56
dare not yet hope 125
dare not yet look 59
dare not yet speak 53
dare not yet tell 69
dare not yet think 52
dare put his foot 235
dare put his hand 176
dare put his name 41
dare put them into 55
dare say all these 61
dare say all will 196
dare say all young 41
dare say any more 311
dare say any other 53
dare say had once 104
dare say has been 132
dare say has left 69
dare say has made 43
dare say her name 41
dare say his mind 52
dare say his mode 47
dare say his name 71
dare say his soul 108
dare say his wife 80
dare say how many 129
dare say how much 245
dare say may mend 61
dare say men will 60
dare say not less 229
dare say not very 176
dare say one gets 47
dare say one more 42
dare say one such 56
dare say one word 270
dare say out loud 290
dare say she felt 82
dare say she gave 41
dare say she knew 94
dare say she made 76
dare say she means 44
dare say she meant 45
dare say she only 42
dare say she said 69
dare say she told 43
dare say she will 3227
dare say she wore 48
dare say sir john 48
dare say that among 81
dare say that during 104
dare say that even 1070
dare say that from 115
dare say that here 46
dare say that kind 59
dare say that many 856
dare say that more 235
dare say that most 864
dare say that much 99
dare say that nine 55
dare say that none 107
dare say that nothing 130
dare say that only 148
dare say that other 72
dare say that some 772
dare say that such 386
dare say that their 191
dare say that there 1762
dare say that these 366
dare say that those 204
dare say that very 111
dare say that were 45
dare say that what 320
dare say that when 594
dare say that will 379
dare say that word 68
dare say that young 57
dare say that your 330
dare say they cost 54
dare say they have 1340
dare say they knew 82
dare say they know 193
dare say they like 147
dare say they look 45
dare say they made 113
dare say they make 40
dare say they must 150
dare say they sell 211
dare say they think 244
dare say they took 95
dare say they want 79
dare say they were 1735
dare say they will 3858
dare say things like 120
dare say things will 168
dare say this will 525
dare say thou hast 444
dare say thou wilt 119
dare say too much 184
dare say was true 44
dare say was very 82
dare say you also 44
dare say you care 47
dare say you come 50
dare say you feel 345
dare say you felt 71
dare say you find 470
dare say you have 14124
dare say you heard 386
dare say you knew 193
dare say you know 6670
dare say you like 154
dare say you look 104
dare say you love 164
dare say you made 59
dare say you meant 168
dare say you must 352
dare say you need 106
dare say you only 97
dare say you sent 41
dare say you speak 41
dare say you think 3150
dare say you told 41
dare say you took 75
dare say you want 199
dare say you well 87
dare say you were 1155
dare say you will 16200
dare say you wish 324
dare set his foot 177
dare she not tell 54
dare she say such 101
dare she wear such 50
dare they say such 106
dare thus oil over 59
dare try this game 72
dare use that tone 86
dare use that word 252
dare you act like 195
dare you and defy 55
dare you ask such 349
dare you bring such 111
dare you bring your 134
dare you lay your 230
dare you let your 68
dare you not come 49
dare you not open 42
dare you not tell 116
dare you pry into 134
dare you put such 101
dare you put your 285
dare you run away 118
dare you say such 3646
dare you say there 74
dare you say these 99
dare you say those 85
dare you say what 79
dare you set foot 87
dare you sit down 181
dare you sit here 75
dare you sit there 615
dare you use such 520
daring act had been 139
daring all that time 45
daring and far more 127
daring and for their 46
daring and his love 41
daring boy who held 48
daring for his life 44
daring for his time 116
daring for its time 840
daring men who have 181
daring men who were 230
daring son may soar 54
daring than any other 457
daring than they were 74
daring that had been 96
daring that had made 56
daring that has been 41
daring that has ever 41
daring that they were 117
daring that they will 103
daring with his life 357
dark age that knew 79
dark air and rude 102
