dame became daily less 47
damp gently stealing down 161
damp places under logs 170
damp places where there 82
dare enjoin aught else 93
dare hardly touch upon 88
dare travel until dark 88
daring images which defy 51
daring spirit might have 51
daring spirit which bore 59
dark avenger stood forth 75
dark church spire rose 71
dark clouds gather over 68
dark clouds hover over 42
dark clouds looming over 70
dark clouds rolling over 92
dark clouds spread over 42
dark clouds swept over 67
dark clouds which have 195
dark clouds which were 338
dark corner where their 68
dark figure bending over 182
dark figure faded into 56
dark figure issue from 46
dark figure looming over 105
dark figure running down 97
dark figure sprang from 44
dark figure stood over 41
dark figure stood there 97
dark figure walking down 41
dark figure would flit 74
dark forces which gave 41
dark forces which have 77
dark forces which were 69
dark future which must 41
dark ground might make 155
dark lashes swept down 169
dark matter comes from 136
dark matter could have 65
dark matter would have 120
dark object sprang from 71
dark pinions aloof from 51
dark places where there 67
dark regions where there 58
dark secret known only 56
dark shadow crept over 51
dark shadow falling over 104
dark shadow falls over 47
dark shadow looming over 68
dark shadow passing over 111
dark shadow stealing over 112
dark shadow swept over 57
dark shadow which fell 47
dark shadow would fall 48
dark shapes issue from 174
dark storms pouring from 98
dark stripe running along 64
dark stripe running down 271
dark stripe running from 130
dark temple where your 50
dark venous blood from 82
dark venous blood into 111
dark winter evening when 45
dark winter months when 103
dark winter morning when 63
dark winter night when 69
dark without bumping into 97
dark without knowing what 56
data access logic from 59
data agreed quite well 51
data gathering would have 43
data listed below were 59
data points agree well 43
data points drawn from 77
data points falling into 71
data points quite well 62
data points shown were 42
data points taken from 269
data points taken over 47
data points which fall 115
data points which have 170
data points which were 383
data points would fall 164
data points would have 207
data quoted above show 127
data sheets which were 57
data source comes from 69
data stored within your 60
data system which will 53
data values taken from 48
data without first having 46
data without knowing what 80
date before which such 185
dawn slowly breaks over 83
days almost every week 49
days before calling back 59
days before change will 212
days before easter were 56
days before easter when 64
days before entry into 100
days before falling back 46
days before getting back 122
days before given birth 54
days before handing over 98
days before henry viii 130
days before james died 46
days before might have 86
days before motor cars 143
days before passing away 95
days before people were 62
days before putting into 40
days before queen mary 49
days before reaching fort 52
days before reaching land 42
days before reaching port 45
days before reaching their 89
days before roads were 89
days before sailing from 128
days before sailing time 78
days before setting sail 133
days before super bowl 90
days before turning back 129
days before tyler left 51
days before women were 70
days before would have 762
days before writing these 132
days earlier might have 47
days earlier would have 192
days ladies might come 44
days nobody would have 79
days notice shall have 78
days rumors would come 75
days someone would have 44
days sooner would have 73
days wholly under your 117
days without breaking down 109
days without bumping into 43
days without either food 204
days without fresh food 57
days without getting into 53
days without knowing what 130
days without running into 115
days without setting foot 41
days without solid food 174
days without tasting corn 67
days without tasting food 500
days without water when 54
days without water will 57
days worrying about what 59
dealt another major blow 55
debt burden would have 75
debt crisis could have 41
debt crisis would have 108
debt losses arising from 84
debt relief would have 65
debt twenty times over 485
deep canyon where there 47
deep changes which have 60
deep creases running from 40
deep doubts about their 50
deep feelings about life 126
deep feelings about their 130
deep feelings about what 59
deep feelings which were 45
deep furrow running from 58
deep gentle voice saying 98
deep groove running along 109
deep groove running down 118
deep groove running from 95
deep groove which runs 141
deep hideous purring have 50
deep hoarse voice from 80
deep inguinal lymph node 324
deep mourning which their 65
deep nature aware deep 41
deep pelvic lymph node 63
deep purple falls over 70
deep ravine about half 207
deep ravine opening into 51
deep ravine where there 130
deep ravine which lies 48
deep ravine which runs 94
deep ravine which these 60
deep rivers opening into 74
deep rumbling sound came 43
deep rumbling sound from 52
deep shadow within their 52
deep sorrow gnaws ever 84
deep sorrow spread over 101
deep stupor steals over 75
deep thought about what 375
deep thought crept into 83
deep through solid rock 225
deep valley about half 133
deep valley running north 87
deep valley where there 60
deep valley which lies 60
deep valley which runs 108
deep waters where there 91
deep wisdom which lies 61
deep wounds which have 72
deer drinking water from 48
deny without falling into 44
depth became still more 46
depth beyond which there 41
desk before sitting down 77
desk behind which sits 47
dewy clouds which cool 63
died almost eight years 42
died almost fifty years 83
died almost forty years 121
died almost seven years 48
died almost thirty years 140
died before jesus came 72
died before queen anne 72
died before reaching five 80
died before reaching full 52
died before reaching home 249
died before reaching land 55
died before reaching port 116
