dabble your white feet 60
dainty blue china nothing 43
dainty fine round rising 106
dainty young woman clad 83
damage done would have 108
damage during fetal life 94
damage even though there 61
damage from enemy fire 226
damage from frost heaving 42
damage from shell fire 41
damage from small arms 86
damage from strip mining 119
damage must arise from 85
damage over large areas 283
damage took place during 109
damage will ensue from 74
damage will occur during 121
damage will occur from 107
damage will occur when 106
damned folk seethe full 140
damned fool would have 64
damned well would have 99
damson tart would have 64
danced from morning till 48
danced hour after hour 60
dances have often been 52
dances take place during 40
dances were often held 137
dances were still held 62
dangers from which only 150
dangers from which their 51
dangers from which there 109
dangers have never been 45
dangers into which their 118
dangers john stood heir 45
dangers were still there 50
dangled from every mane 77
darker ages would have 49
darkly into motor dawn 56
darlings came running down 101
darted dart after dart 91
darted from heaven into 43
dashed back again into 86
dashed cold water into 74
dashed cold water over 297
dashed cold water upon 68
dashed into sight upon 43
dashed into white foam 64
dashed line drawn from 70
dashed line running from 88
dashed line shows what 324
dashed some water over 62
dashed their spurs into 44
daubed their faces over 53
dealers from selling guns 40
dealers have taken over 43
dealers were selling more 44
deanery life under good 49
dearest lady doubt what 54
dearest wish would have 68
debate also arose over 40
debate have never been 70
debate have often been 48
debate last night upon 60
debate over child care 271
debate over entry into 123
debate over urban form 99
debate over which came 68
debate over which form 134
debate over which kind 58
debate over which side 129
debate over which theory 45
debate over which type 193
debate taking place among 89
debate taking place over 82
debate took place among 564
debate took place during 385
debate took place from 50
debate took place last 61
debate took place only 40
debate took place over 2186
debate took place upon 551
debate took place when 132
debate upon names most 51
debate what might have 94
debating club would have 80
debris from falling into 297
debris from falling onto 41
debris from getting into 128
debris over large areas 41
debris were thrown into 76
debtor must begin making 84
decade during which many 216
decade during which most 53
decade during which there 132
decade during which these 60
decade during which time 281
decade have given rise 72
decade have often been 40
decade many people have 49
decade when women were 40
decent awning fixed over 51
decent book about what 40
decent girl would ever 41
decent girl would have 93
decent living which will 41
decent soul would think 64
decide from which angle 44
decide from which side 250
decide just which ones 43
decide upon which side 390
decide what action must 45
decide what action will 109
decide what books were 83
decide what books will 43
decide what comes next 338
decide what could have 52
decide what facts have 74
decide what facts were 43
decide what items were 50
decide what items will 54
decide what looks best 80
decide what looks good 46
decide what might best 50
decide what might have 210
decide what might work 70
decide what others will 45
decide what people need 148
decide what people will 63
decide what seems best 86
decide what steps must 59
decide what steps need 53
decide what steps were 91
decide what steps will 56
decide what suits your 52
decide what works best 1777
decide what would best 173
decide what would have 396
decide what would make 159
decide what would work 121
decide when human life 86
deciding upon which side 41
deciding what action will 49
deciding what works best 177
deciding what would have 105
deciding what would make 95
decked thine empty tomb 60
decree fast bound down 43
decree from which there 199
deduce from thence some 98
deduce nothing about what 67
deduce these facts from 56
deduce these rules from 47
deduce what might have 49
deduct such costs from 122
deduct such taxes from 61
deduct such value from 105
deduct their value from 118
deduct their wages from 46
deduct these costs from 151
deduct these items from 42
deduct these taxes from 74
deduct these taxes only 86
deduct those costs from 44
deeper into human life 224
deeper into rural areas 67
deeper into social life 43
deeper meaning which lies 44
deeper tone which made 43
deeper truth about what 44
deeply care about their 87
deeply care about what 43
deeply felt human need 185
deeply felt inner need 100
deeply into daily life 106
deeply into every heart 40
deeply into every part 62
deeply into human beings 42
deeply into human life 141
deeply into rural areas 56
deeply into social life 73
deeply once again into 40
deeply their hearts were 95
deeply your father must 77
