daring departure from tradition 93
data available also indicate 46
data available from clinical 69
data available were obtained 64
data collected during treatment 54
data collected from american 103
data collected from children 190
data collected from clinical 58
data collected from external 53
data collected from families 63
data collected from hospital 41
data collected from hundreds 85
data collected from managers 57
data collected from monitoring 149
data collected from multiple 396
data collected from numerous 122
data collected from patients 217
data collected from personal 51
data collected from selected 106
data collected from specific 44
data collected from students 349
data collected from subjects 131
data collected from thousands 86
data collected more recently 48
data collected were analyzed 266
data collected were obtained 44
data collection from children 57
data collection from multiple 127
data collection were employed 184
data collection were included 46
data collection were utilized 70
data collection will continue 72
data dictionary also contains 40
data dictionary view contains 71
data extraction from multiple 41
data generated from clinical 43
data generated from multiple 67
data presented here concerning 48
data presented here describe 56
data presented here indicate 1538
data presented here provides 68
data presented here suggests 300
data presented here supports 76
data presented were obtained 293
data themselves were involved 44
days afterward fate overtook 42
debt collector from contacting 65
deem themselves only trustees 77
deep impression upon american 113
deep impression upon children 88
deep impression upon ignorant 58
deny themselves many comforts 53
done themselves great disgrace 50
door attracted their attention 61
dose reductions were required 41
drew extensive media coverage 59
drew widespread media attention 79
drug offenders into treatment 56
drum dispelled many illusions 43
duly certified when required 55
during emergence from anesthesia 1096
during isometric knee extension 64
during pregnancy also increases 91
during pregnancy have increased 52
during pregnancy have resulted 51
during pregnancy were compared 72
during pregnancy were reported 72
during pregnancy when compared 86
during secondary wall formation 159
during withdrawal from morphine 147
dust explosions have occurred 50
duty incumbent upon everyone 57
duty incumbent upon yourself 55
