dad taught me everything 51
dam across the channel 187
dam across the charles 96
dam across the columbia 160
dam across the current 121
dam across the dnieper 198
dam across the estuary 68
dam across the krishna 74
dam across the natural 43
dam across the potomac 111
dam across the spanish 60
dam across the straits 42
dam across the zambezi 98
dam should be applied 302
dam should be carried 95
dam should be erected 52
dam should be located 63
dam should be removed 109
dam through the contact 55
day aboard the general 61
day across the channel 173
day across the country 472
day across the prairie 84
day across the thousand 177
day afraid of witches 87
day amongst the members 101
day amongst the natives 139
day answer the question 45
day around the country 250
day arouse the dormant 66
day attain the highest 51
day awaiting the arrival 218
day battle of leipzig 40
day became the subject 65
day become an actress 40
day become an article 191
day become the capital 143
day become the general 105
day become the greatest 344
day become the highest 42
day become the largest 83
day become the national 63
day become the nucleus 54
day become the objects 40
day become the subject 219
day become the supreme 101
day before an election 353
day before at daybreak 76
day before by general 261
day before by himself 93
day before he appeared 120
day before he arrived 1722
day before he assumed 51
day before he boarded 45
day before he chanced 59
day before he crossed 92
day before he decided 65
day before he entered 313
day before he expired 69
day before he finally 160
day before he himself 191
day before he married 84
day before he planned 91
day before he realized 83
day before he retired 169
day before he returns 40
day before he started 1579
day before he visited 42
day before in chicago 46
day before in company 133
day before it appeared 154
day before it arrived 122
day before it arrives 53
day before it becomes 45
day before it happens 89
day before it started 152
day before my arrival 2564
day before my birthday 1022
day before my concert 45
day before my fortieth 40
day before my husband 130
day before my marriage 216
day before my parents 90
day before my surgery 110
day before on account 78
day before the abortion 92
day before the address 75
day before the adoption 150
day before the advance 242
day before the alleged 277
day before the antwerp 82
day before the arrests 78
day before the arrival 3389
day before the article 140
day before the assault 1569
day before the assizes 75
day before the attacks 183
day before the attempt 219
day before the audition 52
day before the austrian 324
day before the balloting 525
day before the banquet 250
day before the baptism 94
day before the beginning 4332
day before the benefit 53
day before the biggest 76
day before the birthday 340
day before the blessed 200
day before the boycott 63
day before the breakout 89
day before the brigade 47
day before the british 1890
day before the cabinet 794
day before the cameras 87
day before the captain 99
day before the capture 331
day before the caravan 147
day before the central 113
day before the charter 207
day before the chicago 63
day before the chinese 310
day before the college 157
day before the colonel 58
day before the commons 161
day before the company 591
day before the concert 1242
day before the congress 984
day before the contest 442
day before the convening 133
day before the council 1502
day before the country 242
day before the current 146
day before the curtain 45
day before the deadline 2762
day before the decision 360
day before the division 210
day before the divorce 151
day before the doctors 41
day before the duchess 91
day before the earliest 66
day before the eclipse 815
day before the election 20734
day before the embargo 41
day before the emperor 441
day before the empress 114
day before the equinox 46
day before the eruption 238
day before the european 142
day before the exchange 94
day before the exhibit 47
day before the failure 68
day before the fateful 388
day before the federal 226
day before the following 240
day before the foreign 90
day before the friends 47
day before the function 47
day before the funeral 6485
day before the general 2015
day before the germans 1179
day before the harvest 106
day before the holiday 2243
day before the husband 42
day before the imperial 261
day before the inquest 147
