do actually enter into 92
do battered women stay 117
do business right away 48
do business under such 337
do business under their 241
do business under these 69
do business under your 52
do business within their 811
do children really know 41
do children really need 53
do children really think 53
do children spend their 125
do complain about their 57
do disagree about what 212
do enslaved people make 43
do evermore arise from 47
do exercise power over 48
do exercise rather their 59
do goodness knows what 292
do hundreds mourn what 40
do interest rates have 121
do interest rates rise 56
do interest rates vary 47
do ordinary human beings 57
do ordinary people have 74
do ordinary people think 51
do otherwise could have 84
do otherwise might have 137
do otherwise under such 47
do otherwise would call 44
do otherwise would deny 80
do otherwise would give 113
do otherwise would have 3421
do otherwise would hurt 52
do otherwise would leave 166
do otherwise would make 535
do otherwise would only 341
do otherwise would open 87
do otherwise would risk 252
do otherwise would seem 186
do otherwise would show 63
do otherwise would take 52
do otherwise would tend 49
do patients really want 151
do pregnant women have 54
do properly belong unto 165
do remember every single 49
do remember feeling like 83
do remember feeling very 42
do remember quite well 55
do remember running down 97
do remember times when 51
do remember walking into 40
do scarcely anything else 44
do scarcely anything when 46
do somewhat guild their 56
do specific tasks such 82
do students really need 41
do students spend their 56
do therefore seize upon 90
do whatever comes along 139
do whatever comes into 404
do whatever comes next 141
do whatever dirty work 44
do whatever feels best 87
do whatever feels good 367
do whatever feels most 103
do whatever jesus said 41
do whatever jesus told 81
do whatever might seem 160
do whatever ralph says 56
do whatever seems best 1077
do whatever seems good 463
do whatever seems most 206
do whatever shall seem 70
do whatever suits their 71
do whatever suits your 52
do whatever works best 447
do whatever would best 107
do whatever would give 43
do whatever would help 98
do whatever would make 210
do wickedly shall burn 95
