db improvement over the 221
do calculations such as 55
do clamorously tell us 95
do comparative work on 40
do complicated sums in 43
do construction work at 54
do construction work in 172
do construction work on 229
do construction work or 45
do continually tend to 65
do demonstrate some of 63
do desperately want to 64
do development work in 100
do development work on 127
do differently during the 73
do differently from the 313
do differently when he 44
do distinguished work in 207
do evangelistic work in 206
do evangelistic work on 52
do excellently well as 54
do excellently well in 42
do excellently well to 44
do exploratory work on 45
do fundamental work in 97
do goldfinches upon the 42
do governments have the 93
do governments have to 209
do governments need to 51
do humanitarian work in 50
do immeasurable harm to 202
do incorporate some of 85
do independent reading in 47
do independent work at 65
do independent work in 197
do independent work of 50
do independent work on 52
do individuals come to 309
do individuals from the 136
do individuals have in 81
do individuals have the 269
do individuals have to 449
do individuals learn to 61
do individuals living in 234
do individuals need to 276
do individuals play in 40
do individuals react to 80
do individuals tend to 175
do individuals vary in 99
do individuals want to 52
do inestimable harm to 228
do institutions play in 53
do institutions such as 188
do intelligent work in 49
do irremediable harm to 52
do irreparable harm by 68
do irreparable harm if 46
do irreparable harm in 44
do irreparable harm to 3148
do irrevocable harm to 71
do magnificent work in 52
do maintenance work at 78
do maintenance work in 97
do maintenance work on 392
do nevertheless have an 46
do nevertheless seem to 148
do occasionally come to 247
do occasionally come up 57
do occasionally crop up 220
do occasionally find it 56
do occasionally find the 75
do occasionally have to 256
do occasionally need to 56
do occasionally seem to 75
do occasionally show up 164
do occasionally speak of 105
do occasionally take the 58
do occasionally turn up 152
do outstandingly well in 114
do participate more in 68
do participate tend to 73
do passionately urge it 96
do perturbation theory in 49
do practically nothing at 47
do practically nothing in 168
do practically nothing to 532
do practically what he 235
do preliminary work in 85
do preliminary work on 190
do preparatory work in 57
do preparatory work on 69
do professional work in 100
do protestants think of 192
do responsible work in 43
do significant harm to 287
do significant work in 233
do significant work on 61
do significant work to 42
do sociologists have to 85
do sociologists need to 54
do translations from the 43
do underground work in 73
do undoubtedly have an 42
do undoubtedly tend to 78
do unnecessary harm to 68
do unnecessary work on 110
do voluntarily what he 95
do voluntarily what is 62
do voluntarily what the 140
do wonderfully well in 80
do wonderfully well to 58
