do actually become his 59
do business abroad and 214
do business better than 63
do business direct with 192
do business mainly with 130
do business mostly with 53
do business solely with 45
do business unless they 84
do business unless you 59
do business without any 123
do business without being 103
do business without fear 40
do business without him 46
do business without them 189
do children realize that 207
do commonly excite men 98
do commonly resort and 114
do constant battle with 154
do cultural values and 55
do devoutly grieve for 47
do domestic chores and 114
do domestic chores for 55
do earnestly desire and 63
do earnestly desire that 573
do earnestly desire you 117
do earnestly entreat that 46
do earnestly entreat you 189
do earnestly exhort all 60
do earnestly exhort and 46
do earnestly repent and 112
do entirely acquit you 51
do entirely without any 129
do entirely without them 81
doe otherwise shadow her 329
do financial planning and 44
do financial planning for 52
do grimmest battle with 68
do honestly assure you 60
do indicate clearly that 180
do interest groups use 63
do interest myself for 48
do likewise expect that 64
do likewise permit and 107
do markedly better than 89
do mischief vanish with 57
do otherwise before him 87
do otherwise shadow her 138
do otherwise without being 123
do patients treated with 137
do personal battle with 139
do personal favors for 193
do persuade myself that 50
do physical battle with 74
do remember clearly that 124
do remember noticing that 42
do reproach myself for 91
do secretly wander and 77
do slightly better than 847
do slightly better with 94
do solemnly affirm and 93
do solemnly affirm that 786
do solemnly assure you 284
do solemnly charge you 50
do solemnly demand our 48
do solemnly pledge our 87
do somewhat better than 1885
do somewhat better with 133
do somewhat marvel that 137
do strictly charge and 1423
do strictly enjoin all 56
do strictly enjoin and 136
do therefore acquit him 128
do therefore advise her 67
do therefore advise you 119
do therefore assert that 295
do therefore charge and 66
do therefore demand and 49
do therefore desire and 129
do therefore desire that 276
do therefore desire you 86
do therefore freely and 73
do therefore humbly beg 354
do therefore ratify and 139
do whatever damage and 58
do whatever damage they 140
do whatever needed doing 705
do whatever pleased her 82
do whatever pleased him 202
do whatever pleased them 47
do whatever pleases him 363
do whatever pleases them 252
do whatever pleases you 1123
do yourself credit and 40
