damp places throughout the 75
dare expose themselves to 63
dare permit ourselves to 50
daring spirit necessary to 105
dark arrows represent the 73
dark checks vegetation in 66
dark clouds continued to 86
dark clouds enveloped the 50
dark clouds overspread the 117
dark figure stretched on 71
dark forest surrounding the 58
dark layers separated by 62
dark matter candidate is 93
dark matter component in 55
dark matter dominates the 94
dark matter particles in 136
dark matter particles is 77
dark matter surrounding the 42
dark purple splotches in 72
dark quarto attracted my 52
dark regions represent the 93
dark savage mountains of 52
dark winter afternoon in 41
dark wooded solitudes of 53
data access component is 95
data access interface to 51
data across countries in 45
data across countries is 56
data already available at 69
data already available in 1285
data already available on 335
data already available or 63
data already available to 301
data already collected as 40
data already collected by 653
data already collected in 220
data already collected on 129
data already collected or 59
data already contained in 161
data already discussed in 71
data already presented in 462
data already presented on 100
data already published by 89
data already published in 135
data already published on 66
data became available as 125
data became available at 63
data became available in 547
data became available it 51
data became available on 597
data became available the 45
data became available to 322
data become available as 163
data become available at 105
data become available by 41
data become available in 472
data become available is 57
data become available it 243
data become available on 1241
data become available or 131
data become available the 207
data become available to 589
data become available we 67
data becoming available at 51
data becoming available in 68
data becoming available on 64
data before calculating the 103
data before determining the 56
data blocks allocated to 61
data center operations to 98
data clearly emphasize the 41
data clearly establish the 88
data clearly highlight the 55
data clearly indicated the 110
data clearly indicates the 154
data clearly supported the 138
data deemed necessary to 62
data fields contained in 103
data fields necessary to 43
data fields separated by 81
data format developed by 117
data freely available to 113
data further emphasize the 109
data further supported the 70
data gathering technique in 57
data gathering technique is 54
data handling equipment is 83
data kindly furnished by 322
data logger connected to 44
data matrix consisted of 123
data matrix presented in 131
data models described in 54
data models discussed in 69
data models presented in 60
data models represent the 44
data models supported by 67
data packet addressed to 53
data permit estimates of 41
data permit estimation of 86
data permit evaluation of 57
data points available in 202
data points available is 101
data points available to 134
data points collected at 92
data points collected by 67
data points collected in 124
data points connected by 386
data points contained in 186
data points displayed in 49
data points generated by 369
data points generated in 45
data points indicated by 166
data points indicated in 41
data points indicates the 84
data points necessary to 139
data points presented in 155
data points represent an 61
data points represent the 2695
data points separated by 161
data points surrounding the 51
data points throughout the 67
data proved difficult to 75
data readily available at 41
data readily available in 308
data readily available on 172
data readily available to 675
data relate primarily to 112
data remain available to 84
data remain difficult to 47
data sample consisted of 65
data series presented in 49
data sheets completed by 41
data sheets published by 112
data should accompany the 97
data should certainly be 63
data should determine the 89
data should generally be 111
