qualifying themselves for the office 55
questions associated with the nature 41
questions concerned with the nature 68
questions connected with the building 141
questions connected with the church 100
questions connected with the creation 79
questions connected with the design 41
questions connected with the further 99
questions connected with the future 354
questions connected with the matter 46
questions connected with the nature 116
questions connected with the origin 337
questions connected with the policy 56
questions connected with the public 267
questions connected with the rights 72
questions connected with the status 92
questions connected with the supply 47
questions connected with the training 40
questions submitted for the opinion 84
