quaint as any it has 77
quarry it had so long 115
quench it that we may 50
quench the orb of day 49
quench the zeal of all 139
quitting the inn to that 50
quiver he hung at his 224
quiver of each of them 198
quiver of fear in her 64
quoted as low as one 82
quoted as one of his 129
quoted as one of its 48
quoted by him in his 703
quoted by him in this 52
quoted by one of his 241
quoted by one of our 58
quoted by one of them 40
quoted in one of his 350
quoted in one of our 90
quoted in one of two 60
quoted so far in this 147
quoted to him by his 57
quoted to you so long 40
quotes as one of his 100
quotes in one of his 572
