kapok life preservers 154
karma will eventually 43
keeping back information 221
keeping clear boundaries 51
keeping data consistent 62
keeping down competition 71
keeping down consumption 128
keeping down populations 54
keeping full employment 104
keeping good discipline 68
keeping great quantities 81
keeping means uniformity 70
keeping more information 61
keeping only sufficient 62
keeping other information 82
keeping other parameters 417
keeping pest populations 157
keeping some information 172
keeping some particular 50
keeping such information 985
keeping such statistics 150
keeping their activities 365
keeping their agreements 234
keeping their apartments 88
keeping their assailants 44
keeping their bewildered 66
keeping their boundaries 49
keeping their businesses 237
keeping their characters 63
keeping their classrooms 42
keeping their collections 58
keeping their collective 62
keeping their commitment 130
keeping their complaints 45
keeping their concubines 58
keeping their confidence 97
keeping their connections 40
keeping their conscience 45
keeping their countrymen 63
keeping their currencies 252
keeping their destination 106
keeping their difference 67
keeping their discipline 40
keeping their discussions 52
keeping their educational 62
keeping their employment 159
keeping their engagements 337
keeping their facilities 98
keeping their friendship 193
keeping their genealogies 42
keeping their government 108
keeping their households 107
keeping their identities 396
keeping their individual 244
keeping their information 164
keeping their investment 144
keeping their membership 210
keeping their mistresses 67
keeping their obligations 76
keeping their orientation 45
keeping their particular 99
keeping their populations 136
keeping their possessions 191
keeping their privileges 359
keeping their properties 126
keeping their rendezvous 77
keeping their reputations 58
keeping their respective 709
keeping their securities 105
keeping their supporters 53
keeping their surroundings 152
keeping their traditional 322
keeping their whereabouts 78
keeping these activities 117
keeping these categories 93
keeping these components 56
keeping these facilities 56
keeping these guidelines 69
keeping these industries 44
keeping these limitations 106
keeping these objectives 87
keeping these parameters 45
keeping these particular 45
keeping these principles 276
keeping these properties 50
keeping these statistics 67
keeping these structures 44
keeping these substances 49
keeping these suggestions 44
keeping these treasonable 48
keeping those disorderly 50
keeping those principles 60
keeping time accurately 117
keeping very remarkable 45
keeping were introduced 52
keeping will deteriorate 141
keeping your agreements 121
keeping your application 107
keeping your commitment 204
keeping your confidence 56
keeping your conscience 116
keeping your embroidery 99
keeping your engagements 64
keeping your friendship 61
keeping your imagination 42
keeping your information 175
keeping your instrument 41
keeping your investment 106
keeping your metabolism 103
keeping your objectives 43
keeping your observation 66
keeping your retirement 114
keeps back information 41
keeps good discipline 50
keeps making statements 95
keeps most constantly 45
keeps some information 55
keeps such information 183
keeps their activities 43
keeps their conscience 84
keeps these characters 43
keeps these principles 51
keeps time accurately 72
keeps your adrenaline 91
keeps your application 69
keeps your information 68
keeps your metabolism 232
keyed wind instrument 97
kicks most resolutely 82
killing beings unprepared 100
killing game unlawfully 53
killing great quantities 47
killing north vietnamese 230
killing south vietnamese 128
killing their classmates 103
killing their compatriots 45
killing their countrymen 200
killing their oppressors 89
killing their sacrifices 65
killing their vanquished 55
killing three astronauts 47
killing three terrorists 49
killing vast quantities 43
killing were sufficient 113
killing your grandfather 193
killing your grandmother 52
kills most vegetative 242
kilns were discovered 216
kilns were introduced 169
kilns were originally 51
kinds grow luxuriantly 90
kinds have disappeared 65
kinds have flourished 63
kinds have frequently 89
kinds have influenced 45
kinds have multiplied 100
kinds here enumerated 48
kinds into associations 63
kinds just enumerated 57
kinds most abundantly 55
kinds most frequently 247
kinds must inevitably 42
kinds over populations 87
kinds tend everywhere 50
kinds were abundantly 99
kinds were apparently 48
kinds were attributed 45
kinds were circulated 171
kinds were confusedly 56
kinds were considered 272
kinds were constantly 355
kinds were cultivated 124
kinds were determined 97
kinds were discovered 172
kinds were encouraged 201
kinds were enormously 54
kinds were everywhere 102
kinds were frequently 156
kinds were identified 79
kinds were instituted 96
kinds were introduced 722
kinds were maintained 68
kinds were multiplied 187
kinds were originally 65
kinds were prescribed 43
kinds were prohibited 128
kinds were recognized 119
kinds were registered 47
kinds were sacrificed 136
kinds were subdivided 64
kinds were undertaken 118
kinds will eventually 46
kinds will inevitably 47
kingdom come everywhere 96
kingdom from bankruptcy 43
kingdom from degenerating 62
kingdom from destruction 444
kingdom great quantities 55
kingdom have sufficient 106
kingdom into convulsions 48
kingdom less interested 79
kingdom more diligently 49
kingdom more illustrious 45
kingdom more prosperous 67
kingdom must inevitably 96
kingdom took precedence 45
kingdom were absolutely 63
kingdom were considered 436
kingdom were constantly 47
kingdom were determined 81
kingdom were devastated 46
kingdom were extinguished 56
kingdom were frequently 52
kingdom were maintained 45
kingdom were sacrificed 52
kingdom were synonymous 43
kingdom were transporting 50
kingdom will eventually 129
kingdom will ultimately 83
kissing their boyfriends 44
kissing your girlfriend 50
kissing your grandmother 47
kneel down immediately 89
kneel down reverently 101
knees were completely 63
knees were considered 48
knees were constantly 93
knelt down gracefully 49
knelt down immediately 208
knelt down obediently 179
knelt down reverently 316
knife cuts friendship 48
knife edge diffraction 295
knife fell harmlessly 44
knife held vertically 110
knock down imperialism 53
knock down pedestrians 56
knock went unanswered 549
knock your competition 72
knock your competitor 63
knock your confidence 51
knots were considered 41
knots were introduced 57
knowing from experience 12633
knowing from observation 192
knowing more accurately 151
knowing more definitely 42
knowing more information 113
knowing more intimately 189
knowing nothing personally 157
knowing some information 69
knowing some particular 78
knowing such information 631
knowing their advantages 76
knowing their background 115
knowing their boundaries 45
knowing their characters 164
knowing their composition 51
knowing their destination 536
knowing their disposition 51
knowing their historical 90
knowing their identities 139
knowing their importance 183
knowing their individual 488
knowing their inevitable 41
knowing their limitations 292
knowing their particular 365
knowing their principles 157
knowing their propensity 68
knowing their properties 186
knowing their respective 284
knowing their scientific 43
knowing their sentiments 214
knowing their superiority 92
knowing their treacherous 52
knowing their usefulness 49
knowing their whereabouts 426
knowing their wickedness 107
knowing these limitations 43
knowing these parameters 66
knowing these particular 74
knowing these principles 192
knowing these properties 73
knowing these quantities 53
knowing those expressions 48
knowing those principles 53
knowing very accurately 63
knowing very definitely 69
knowing very distinctly 51
knowing well beforehand 53
knowing well understood 48
knowing what activities 207
knowing what adventures 50
knowing what assumptions 50
knowing what attributes 109
knowing what characters 57
knowing what combination 62
knowing what components 58
knowing what concessions 45
knowing what conclusions 60
knowing what consolation 65
knowing what destruction 42
knowing what determines 79
knowing what difference 108
knowing what disastrous 48
knowing what discipline 43
knowing what disposition 66
knowing what experience 117
knowing what explanation 90
knowing what facilities 45
knowing what friendship 57
knowing what government 90
knowing what imagination 143
knowing what importance 64
knowing what individual 157
knowing what influences 124
knowing what information 3025
knowing what literature 50
knowing what management 53
knowing what medications 44
knowing what objectives 44
knowing what particular 1024
knowing what percentage 568
knowing what personages 101
knowing what philosophy 45
knowing what portentous 41
knowing what principles 81
knowing what procedures 78
knowing what properties 82
knowing what proportions 47
knowing what proposition 53
knowing what punishment 118
knowing what quantities 56
knowing what resistance 85
knowing what sacrifices 63
knowing what scientists 40
knowing what sentiments 112
knowing what shakespeare 56
knowing what strategies 117
knowing what techniques 85
knowing what technology 48
knowing what transpired 172
knowing what tremendous 57
knowing what ultimately 43
knowing when information 60
knowing your accustomed 40
knowing your attachment 148
knowing your background 69
knowing your boundaries 54
