kappa statistics were 107
karma determines what 45
keeping activities have 105
keeping activities such 109
keeping activities were 51
keeping casualties down 122
keeping connections open 44
keeping constantly upon 86
keeping consumption down 101
keeping discipline among 132
keeping employment high 231
keeping foreigners away 69
keeping foreigners from 81
keeping frequently used 389
keeping government from 101
keeping historical data 56
keeping immigrants from 91
keeping information away 81
keeping information from 2438
keeping negotiations open 113
keeping observation upon 55
keeping perishable food 121
keeping procedures must 53
keeping procedures were 195
keeping properties were 40
keeping religiously these 48
keeping resolutely away 40
keeping sufficient arms 67
keeping yourselves clear 73
keeping yourselves free 40
keeping yourselves young 42
keeps constantly bowing 46
keeps constantly moving 76
keeps executives from 49
keeps frequently used 47
keeps government from 56
keeps information from 174
keeps interrupting your 95
keeps management from 49
keeps remarkably well 675
keeps researchers from 76
keeps undisputed sway 737
killing lieutenant watt 42
killing techniques were 47
kinds considered here 41
kinds disappeared from 51
kinds introduced into 73
kinds ordinarily used 60
kingdom disappeared from 85
kingdom eventually fell 46
kingdom flourished during 42
kingdom flourished from 178
kingdom fragmented into 86
kingdom subdivided into 44
kingdom supervened upon 94
knelt gracefully down 179
knelt reverently down 291
knife disappeared from 69
knife disappeared into 86
knife introduced into 132
knowing absolutely nothing 1537
knowing absolutely what 84
knowing accurately what 264
knowing alphabetic reading 80
knowing apparently what 75
knowing beforehand from 49
knowing beforehand just 89
knowing beforehand their 72
knowing beforehand what 3878
knowing beforehand when 90
knowing completely what 58
knowing consciously what 82
knowing definitely what 447
knowing distinctly what 156
knowing explicitly what 108
knowing government means 52
knowing immediately what 329
knowing inclination over 61
knowing infinitely more 103
knowing intimately some 55
knowing intimately what 41
knowing personally many 111
knowing personally most 72
knowing personally some 40
knowing personally what 49
knowing positively what 129
known absolutely nothing 578
known accurately from 434
known accurately only 313
known accurately what 77
known accurately when 56
known activities were 108
known adequately only 77
known advantages over 336
known analytical form 171
known anarchists were 128
known anatomical data 100
known anatomical fact 147
known antibiotics have 143
known apparently only 91
known approaches such 116
known approaches zero 310
known architects from 46
known architects have 147
known architects like 44
known architects such 173
known architects were 260
known asymptotic form 48
known attractions upon 46
known authorities from 118
known authorities have 338
known authorities like 45
known authorities such 123
known authorities upon 63
known basketball star 102
known beforehand from 202
known beforehand just 79
