kc frequency band 50
kg desirable body 166
kg elemental iron 183
kg metabolic body 168
kg predicted body 191
kg recipient body 194
kg satellite into 161
kg suspended from 216
king abstained from 162
king accordingly came 117
king accordingly gave 41
king accordingly made 81
king accordingly sent 159
king addressed these 46
king appointed four 70
king appointed from 41
king appointed john 134
king appointed lord 128
king appointed over 42
king appointed some 70
king appointed these 46
king appointed three 64
king appointed unto 115
king attempted such 88
king benefited from 102
king collected from 46
king commanded here 45
king commanded their 41
king compelled lady 60
king conceived such 176
king concerted some 70
king conferred upon 922
king confirmed their 123
king consulted among 51
king consulted only 47
king delivered from 109
king delivered over 43
king dependent upon 198
king descended from 1344
king descended into 96
king developed into 54
king different from 98
king disappears from 55
king displayed great 76
king evidently felt 55
king exercised over 368
king exercised some 55
king exercised such 95
king exercised very 79
king exercises over 42
king expressed great 235
king expressed much 135
king expressed some 71
king ferdinand died 40
king ferdinand heard 59
king ferdinand sent 86
king ferdinand took 104
king gradually came 56
king gradually lost 53
king inherited from 73
king instantly gave 43
king instantly sent 117
king journeyed from 53
king naturally felt 46
king perceived their 42
king perceived what 82
king possessed great 84
king possessed many 43
king possessed nothing 59
king possessed only 77
king possessed other 40
king possessed over 83
king possessed such 201
king prevailed over 72
king prevailed upon 506
king prevented their 141
king proceeded from 163
king purchased from 117
king purchased their 71
king purposely sent 44
king recovered from 336
king refrained from 256
king requested time 45
king resembled those 120
king satisfied till 69
king separated from 128
king sometimes came 40
king sometimes held 119
king sometimes sent 51
king sometimes took 81
king somewhere else 83
king stretched forth 707
king subjoined these 70
king supported their 44
king tolerated their 42
king triumphed over 191
king unwillingly gave 44
king victorious over 87
km distances from 60
km downriver from 309
km downstream from 18271
km intervals along 780
km intervals from 235
km northwards from 303
km resolution data 190
km resolution from 68
km resolution grid 63
km resolution over 81
km resolution were 45
km southwards from 210
km transition zone 50
km westwards from 192
