union came first from the 50
unit most often used in 83
unit most often used is 41
unit most often used to 45
upon data drawn from the 90
upon data taken from the 148
upon deck about four in 62
upon free lands meant to 42
upon hard times during the 132
upon many people such an 93
upon many times during the 75
upon mats spread upon the 70
upon mile after mile of 120
upon other human beings as 96
upon page after page of 66
upon rows after rows of 49
upon some flint lost at 63
upon some fresh turn of 76
upon some greek word or 54
upon some silly work of 40
upon such dumping will be 118
upon such final hearing of 49
upon such later date as 258
upon such proof there is 106
upon such rocks only as 197
upon such ships only as 60
upon such small game as 51
upon their backs from the 82
upon their entry into the 913
upon their faces save the 198
upon their first coming to 206
upon their first line of 45
upon their first view of 51
upon their happy find of 75
upon their heels came the 140
upon their knees when the 90
upon their looking back on 94
upon their loyal faith to 85
upon their minds from the 58
upon their minds will be 59
upon their power over the 49
upon their quiet lawn to 41
upon their right hand or 71
upon their table most of 60
upon these names will be 116
upon these notes upon the 46
upon these reefs when the 62
upon these tidings came the 118
upon those shots from the 49
upon those which seem to 71
upon those whose duty it 342
upon tier above tier of 95
upon time after time to 58
upon wail breaking from the 50
upon wave after wave of 84
upon west point during the 90
upon what looks like an 61
upon what might seem to 44
upon what might well be 85
upon what others think of 184
upon what would give me 42
upon what would seem to 198
upon whom again fell the 44
upon whom would fall the 133
upon whom would rest the 48
upon your first hearing of 60
upon your flowing road of 49
upon your white arms by 43
urge their views upon the 123
uric acid comes from the 63
used data drawn from the 107
used even though some of 157
used even though there is 174
used even where there is 96
used five times during the 55
used from either side of 52
used here comes from the 224
used here could also be 52
used here refer only to 55
used here since there is 55
used here would seem to 57
used many times during the 639
used many times over in 251
used many times over the 119
used more often during the 69
used more often when the 153
used most often during the 108
used most often when the 363
used only about half as 124
used only about half of 89
used only about half the 63
used only where there is 1184
used other drugs such as 42
used other terms such as 78
used over again during the 52
used over large areas of 263
used their power only to 53
used their power over the 231
used their right hand to 53
used their spare time in 110
used their spare time to 256
used these words when he 51
used three times during the 145
used time after time by 42
used time after time in 141
used time after time to 71
used were based upon the 54
used were drawn from the 136
used were taken from the 612
used when apart from the 64
used when people want to 72
user will never have to 67
user will never need to 46
user will often have to 41
user will often want to 55
user will still have to 68
user will still need to 57
uses data drawn from the 58
uses only about half as 46
uses only about half of 109
uses only about half the 102
uses other terms such as 89
