undo the heavy burdens and 505
union in north america was 47
union of great britain and 2508
union of great britain with 410
union of love between god 98
union of many persons for 54
union of north america and 44
union of south america and 41
union of south germany with 66
union of their country with 267
union of their persons and 103
union of these factions had 69
unit is more complex than 86
unit is much smaller than 129
unit of body surface area 261
unit of data storage and 110
unit of five hundred men 49
unit of time between two 43
unit of time shorter than 51
unit of time smaller than 46
unto me must forsake all 66
unto my loving friends and 74
unto my well beloved son 321
unto the lamb forever and 859
unto the lord against thee 765
unto the lord worship and 246
unto the next pilgrim that 55
unto the said company and 105
unto the said grantee and 72
upon an open account for 60
upon as safe grounds for 47
upon by cant phrases and 135
upon by great britain and 320
upon by some villain who 113
upon by those persons who 101
upon it from outside and 66
upon it these creations and 133
upon me more largely for 72
upon me more strongly than 113
upon me very strongly that 100
upon my good fortune with 90
upon my good friends for 68
upon no other account but 256
upon no other account than 263
upon no other grounds than 279
upon or made payable out 71
upon so many enemies and 46
upon so many factors and 47
upon so many factors that 1094
upon the angle between them 41
upon the awed pilgrim for 52
upon the bank charter act 46
upon the best grounds and 47
upon the best location for 62
upon the best material for 40
upon the best measures for 92
upon the best pledges that 400
upon the best position for 48
upon the blue chamber and 40
upon the body politic and 114
upon the body surface and 48
upon the body wherein that 47
upon the case against him 149
upon the city council and 62
upon the city treasury for 52
upon the deep pleasure and 44
upon the dusk concealing his 70
upon the early history and 110
upon the fame account that 94
upon the firm support and 61
upon the flat surface and 40
upon the four corners that 49
upon the good conduct and 95
upon the good fortune that 259
upon the good pleasure and 89
upon the great alliance she 89
upon the great deserts and 49
upon the great european war 108
upon the great expense they 51
upon the great natural law 41
upon the great question now 40
upon the great question that 104
upon the great question then 43
upon the great subject with 87
upon the holy gospels that 173
upon the holy prophet and 57
upon the home country for 40
upon the jews because they 53
upon the just freedom and 77
upon the just liberty both 415
upon the land applied for 92
upon the land charged with 57
upon the last occasion that 163
upon the least occasion that 46
upon the life history and 70
upon the like occasion for 50
upon the living present and 50
upon the many factors that 100
upon the many tangible and 72
upon the means adopted for 68
upon the more complex and 46
upon the more general and 109
upon the most ancient and 167
upon the most careful and 216
upon the most certain and 78
upon the most complex and 41
upon the most correct and 85
upon the most distant and 52
upon the most familiar and 72
upon the most fertile and 166
upon the most general and 88
upon the most liberal and 373
upon the most natural and 73
upon the most obscure and 80
upon the most painful and 75
upon the most patient and 40
upon the most precious things 100
upon the most rational and 40
upon the most sincere and 40
upon the most sublime and 118
upon the most thorough and 81
