union there were two natures 76
unit will help you examine 50
upon feel sore and bruised 55
upon hearing what was alleged 188
upon making away with himself 75
upon other duty and service 45
upon salt beef and biscuit 43
upon soft bread and turkeys 43
upon some fine old country 48
upon such view and inquiry 46
upon their coming and conduct 63
upon their feet and gathered 44
upon their heads and blessed 55
upon their heads with napkins 241
upon their health and spirits 70
upon their lazy and brutish 57
upon their life and manners 52
upon their name and country 65
upon their oaths each witness 91
upon their past and present 82
upon their rich and complex 50
upon their size and density 53
upon their size and location 170
upon their sons for support 46
upon their time and talents 46
upon their will and pleasure 43
upon those only who receive 43
upon those whom they address 90
upon those whom they delight 59
upon those whom they suspect 85
upon your health and spirits 76
upon your heart too closely 81
upon your mind this certain 60
upon your time and thoughts 42
upon your will and consent 41
upon your will and pleasure 49
urns none here can pretend 52
used fall into two classes 51
used only when all peaceful 49
used only when two persons 46
used some very bad language 62
used their wealth and position 57
used well into this century 51
used when only two objects 73
used when only two persons 102
used when there are several 785
