union by negotiating the marriage 49
union is composed of workers 57
union of churches as against 69
union of cultures is similar 44
union of isabella of castile 43
union to organize the workers 50
union to restrain the ambition 42
unit is composed of several 91
unit is computed as follows 48
unit is designed to deliver 42
unit is designed to develop 75
unit is designed to operate 339
unit is designed to perform 73
unit is designed to process 87
unit is designed to produce 149
unit is designed to provide 350
unit is expected to operate 73
unit is expected to produce 82
unit is expected to provide 58
unit is intended to provide 74
unit is required to operate 47
unit is required to perform 51
unit is required to provide 60
unit is returned to service 143
unit is supposed to produce 51
unit of activity is defined 695
unit of analysis in research 115
unit of analysis in studies 144
unit of analysis is defined 96
unit of analysis is usually 148
unit of analysis to examine 52
unit of analysis to explain 43
unit of analysis to include 52
unit of currency in britain 42
unit of currency in germany 66
unit of currency is defined 60
unit of exposure to radiation 62
unit of narration is usually 105
unit of property is retired 72
unit of quantity of radiation 57
unto it likewise the inquiry 239
unto the children of ephraim 92
upon an analysis of current 49
upon an analysis of factors 109
upon an employer to bargain 43
upon an equality as regards 69
upon an equality in respect 69
upon an estimate of matters 54
upon an excursion of pleasure 88
upon as authentic by persons 65
upon as evidence of priority 75
upon in practice as affording 44
upon it depended the success 40
upon it whatever the insured 55
upon or threatened the country 61
upon so dangerous an article 48
upon so delicate an occasion 81
upon so gratifying an occasion 53
upon the abolition of degrading 59
upon the abolition of private 508
upon the abolition of serfdom 102
upon the abolition of slavery 881
upon the accession of charles 274
upon the accession of francis 85
upon the accession of general 109
upon the activity of bacteria 98
upon the activity of certain 122
upon the activity of enzymes 55
upon the admission of certain 52
upon the admission of foreign 67
upon the admission of germany 43
upon the admission of members 74
upon the admission of persons 49
upon the allusions or symbols 58
upon the almighty to witness 58
upon the ambitions of unknown 78
upon the analysis of language 65
upon the analysis of material 91
upon the analysis of variance 120
upon the approach of general 117
upon the approach of sherman 44
upon the approval of congress 46
upon the articles in question 60
upon the articles of religion 45
upon the assembling of congress 211
upon the atlantic or pacific 43
upon the attention of congress 1730
upon the attention of farmers 57
upon the attention of general 47
upon the attention of mankind 329
upon the attention of members 54
upon the attention of parents 71
upon the attention of persons 52
upon the attention of society 101
upon the attention of teachers 102
upon the attention of unwilling 44
upon the attitude of certain 45
upon the attitude of congress 44
upon the attitude of foreign 45
upon the attitude of germany 47
upon the attitude of parents 40
upon the attitude of society 45
upon the authority of ancient 220
upon the authority of captain 110
upon the authority of certain 193
upon the authority of colonel 84
upon the authority of congress 435
upon the authority of decided 47
upon the authority of eminent 40
upon the authority of general 300
upon the authority of history 45
upon the authority of johnson 152
upon the authority of parents 56
upon the authority of persons 99
upon the authority of private 75
upon the authority of ptolemy 68
upon the authority of science 118
upon the authority of several 153
upon the authority of unknown 48
upon the authority of writers 94
upon the authority to consent 110
upon the branches of certain 51
upon the business in question 64
upon the business of foreign 47
