uncle the governor sent him 60
under an american flag and 53
under an authority other than 50
under an infrared lamp and 181
under an infrared lamp for 82
under an overhanging rock and 160
under an overhanging rock that 103
under an upturned canoe and 69
under my immediate care and 58
under my tattered coat and 42
under no pressure from any 85
under no pressure from his 48
under of appointing those men 92
under the american flag and 1368
under the american flag are 198
under the american flag but 84
under the american flag for 268
under the american flag had 127
under the american flag has 109
under the american flag than 182
under the american flag that 246
under the american flag was 379
under the american flag with 181
under the atlantic ocean and 56
under the barbaric turk that 49
under the brilliant blue sky 95
under the carriers taxing act 90
under the chapters dealing with 114
under the chestnut tree and 99
under the chestnut tree with 41
under the christian name and 64
under the clitoral hood and 58
under the condition only that 136
under the constant care and 234
under the constant threat that 490
under the consumer leasing act 65
under the contract made with 119
under the contract other than 92
under the contract were not 161
under the contract will not 350
under the covenant made with 79
under the criminal code and 527
under the criminal code are 69
under the criminal code for 295
under the criminal code may 48
under the criminal code with 74
under the criminal laws and 57
under the dangerous dogs act 75
under the delusive hope that 225
under the dullness there are 132
under the education acts and 56
under the education acts are 100
under the envelope flap and 47
under the evidence there was 65
under the furnaces gave out 56
under the homestead laws and 72
under the homestead laws are 43
under the immediate care and 1100
under the implicit threat that 83
under the integral sign and 447
under the integral sign are 128
under the integral sign can 163
under the integral sign for 50
under the integral sign has 63
under the integral sign may 69
under the integral sign with 205
under the japanese flag and 49
under the japanese flag for 104
under the japanese rule and 49
under the marshall plan and 790
under the marshall plan for 198
under the marshall plan had 100
under the marshall plan that 50
under the marshall plan was 264
under the mattress nice and 42
under the mistaken theory that 84
under the mistaken view that 193
under the mulberry tree and 123
under the narcotic drug act 64
under the norwegian flag and 84
under the notorious smith act 46
under the original lease and 182
under the original lease for 72
under the original name and 84
under the overhanging rock and 49
under the overhanging roof and 51
under the parental care and 47
under the parental roof and 908
under the parental roof for 103
under the pastoral care and 63
under the paternal care and 141
under the paternal roof and 116
under the paternal roof with 73
under the pavement there are 50
under the personal care and 217
under the policies will not 168
under the pressure from her 41
under the pressure from his 70
under the pressure upon him 52
under the prevailing laws and 44
under the proposed plan and 49
under the protecting care and 66
under the protecting seals and 48
under the relevant case law 74
under the relevant laws and 70
under the relevant laws for 69
under the republic there was 48
under the sanitary acts and 53
under the sonorous arch was 78
under the specific name man 65
under the staggers rail act 106
under the statutes dealing with 44
under the straight line and 51
under the summation sign and 52
under the sycamore tree and 72
under the tamarind tree and 88
under the targeted jobs tax 52
under the terrible fire that 43
under the terrible trial that 43
under the terrific fire that 111
under the watchful care and 144
under the watchful eyes and 386
unfit to exercise care and 66
unfit to properly care for 53
units in backward areas and 47
units is selected from each 77
units of absorbed dose are 45
units of analysis other than 110
units of battalion size and 47
unity of authority like his 42
unity of christian faith and 100
unity of christian life and 42
unity of religious faith and 62
until an infinite time has 57
until an inspecting jury has 44
until he received news that 66
until he received word that 426
until he recovers from his 150
until he returned from his 665
until he returned home and 132
until he returned home that 78
until he vanished from her 60
until it contains less than 80
until it included more than 67
until it numbered more than 95
until the allotted time for 100
until the allotted time had 49
until the allotted time has 57
until the american army had 50
until the american army was 52
until the american case was 52
until the american flag was 152
until the anesthesia wears off 101
until the anesthesia wore off 112
until the bandages come off 44
until the boundary line was 76
until the breakfast bell rang 55
until the carbonic acid gas 51
until the carbonic acid has 85
until the children grew old 46
until the children have had 230
until the children reach age 89
until the children were all 95
until the children were dead 49
until the children were old 412
until the children were out 185
until the colonies were too 126
until the computer runs out 124
until the criminal case has 58
until the customer pays for 59
until the distance shut them 47
until the exclusion bill was 45
until the exercise made his 71
until the interest rate has 46
until the interwar years that 90
until the marginal cost and 52
until the mariners were all 116
until the maturity date and 52
until the numbness went out 373
until the opposite bank was 40
until the ordinary time has 67
until the original debt was 57
until the original text was 57
until the presenting part has 115
until the required data are 41
until the required depth has 98
until the required depth was 49
until the required length has 69
until the sciences were far 41
until the sedative wears off 41
until the situation gets out 42
until the stitches come out 52
until the students have had 133
until the warranty runs out 45
until we expected rain was 56
until we returned from our 81
urban or suburban areas and 57
urine as unchanged drug and 172
urine of infected rats and 75
users in developing their own 59
users of accounting data and 42
users to generate their own 209
users to maintain their own 137
users to navigate from one 69
users to navigate their way 42
