up an ox for lord 83
up as an easy mark 61
up as an old lady 124
up as an old maid 165
up as he can reach 202
up as he did when 85
up as he goes along 4043
up as he had been 2861
up as he had done 783
up as he had gone 40
up as he had left 175
up as he had said 89
up as he had seen 143
up as he has been 620
up as he has done 206
up as he lay there 42
up as he sat down 315
up as he sat there 129
up as he was from 116
up as he was leaving 117
up as he was told 41
up as if for some 69
up as if she knew 165
up as if she were 7101
up as if they have 48
up as if they knew 104
up as if they meant 64
up as if they were 9636
up as if this were 239
up as if you have 82
up as if you were 2423
up as in any other 54
up as it did from 88
up as it did when 166
up as it does from 250
up as it does when 54
up as it goes along 1249
up as it goes down 96
up as it had been 1809
up as it had done 127
up as it has been 946
up as it has done 58
up as it was from 184
up as it was into 224
up as it was when 239
up as no one else 41
up as of that date 396
up as the day wears 47
up as the day went 78
up as the day wore 65
up as the east wind 168
up as the old ones 101
up as the one true 41
up as the sun rose 328
up as the sun went 277
up as the two boys 50
up as to how many 118
up as to how much 198
up as we had been 319
up as we had done 104
up as we was making 56
up at an age when 126
up at an easy angle 44
up at an inn just 50
up at an inn kept 117
up at an inn there 60
up at an odd angle 313
up at it and said 311
up at it for some 48
up at it with much 42
up at me and asking 44
up at me and asks 219
up at me and back 86
up at me and down 56
up at me and gave 828
up at me and give 131
up at me and held 165
up at me and just 116
up at me and made 284
up at me and nods 126
up at me and said 17799
up at me and saying 222
up at me and says 1384
up at me and there 241
up at me and told 178
up at me and took 155
up at me and went 231
up at me but said 48
up at me for help 44
up at me for just 42
up at me her eyes 116
up at me his eyes 43
up at me she said 200
up at me with clear 41
up at me with dark 177
up at me with deep 53
up at me with eyes 2031
up at me with great 196
up at me with huge 89
up at me with love 56
up at me with mild 50
up at me with soft 89
up at me with some 245
up at me with such 1192
up at me with tears 1039
up at me with their 220
up at me with these 116
up at me with those 3512
up at me with very 81
up at me with what 274
up at me with wide 724
up at me with wild 43
up at me with your 57
up at my hut during 59
up at my own door 62
up at no tax cost 115
up at the air base 50
up at the bar when 86
up at the big blue 41
up at the big tree 106
up at the big wall 44
up at the bus stop 1925
up at the cab work 51
up at the car wash 108
up at the day care 178
up at the east gate 43
up at the east side 154
up at the end into 266
up at the end like 683
up at the end when 230
up at the far edge 205
up at the far left 46
up at the far side 472
up at the far wall 71
up at the fit time 47
up at the gas pump 171
up at the hot blue 87
up at the ice cream 73
up at the inn door 160
up at the inn kept 50
up at the inn there 150
up at the job site 303
up at the law firm 41
up at the long dark 63
up at the long line 201
up at the long rows 239
up at the low gray 42
