unknowing why i should loiter 45
unusual for a family member 67
unusual that a lawyer should 41
unwilling that i should depart 50
upright for a moment before 111
usually get a second chance 63
usually has a benign course 136
usually has a better chance 170
usually has a direct effect 49
usually has a direct object 50
usually has a greater degree 40
usually has a greater effect 97
usually has a greater impact 90
usually has a greater number 51
usually has a higher degree 44
usually has a larger number 63
usually has a marked effect 133
usually has a person watching 52
usually not a limiting factor 232
usually not a serious disease 46
usually not a serious matter 82
usually not a simple matter 93
usually run a benign course 45
uttered with a savage aspect 44
