under burdens too heavy for 63
under control and make them 41
under control and ready for 46
under control and there are 59
under control and there was 257
under control and will not 58
under control for more than 80
under control that there can 56
under control with diet and 49
under foulest fat lethe mud 43
under machine gun fire and 106
under poverty and very low 93
under protest and sued for 63
under sixteen for more than 84
undue hazards and help you 64
uneasy misgiving that there may 40
unions because they were not 42
unite himself with those who 87
unite together and form one 58
uniting together they have not 73
unity between his past and 278
until assured that there was 63
until browned all over and 83
until chicken and rice are 71
until contact was made with 349
until everything had been put 41
until everything was over and 111
until everything was ready and 67
until everything was ready for 277
until finally our hope and 147
until finally she told him 92
until finally they came out 102
until finally they were all 129
until finally they were both 53
until finally they were not 50
until freedom had been won 50
until justice was done them 68
until lentils are soft and 47
until payment was made for 111
until perhaps his fifth year 41
until potatoes are done and 56
until potatoes are soft and 98
until repairs are made and 61
until science can give you 345
until society has paid its 48
until suffering has done its 55
until tomatoes are soft and 85
until victory had been won 295
until victory has been won 109
upper classes and those who 104
upper classes for their own 116
upper classes had their own 60
upper classes who were not 71
upper classes with whom they 52
upper stories are used for 47
upset because his wife had 52
upset because she felt she 44
upset because she felt that 133
upset because they feel that 53
upset because they felt that 138
upset because they have not 124
upset because they were not 287
upset because you have not 151
upset because you think you 46
upset because you were not 116
upset because you will not 49
urban centers and more than 40
urban centers with more than 159
urged against this plan that 76
urged against this theory that 104
urged against this view are 49
urged against this view that 400
usual pattern has been for 118
usual pattern has been that 118
utter plainly not only how 42
