union headquarters to all the 42
upon applications by way of 46
upon communicating to him the 93
upon continually to act as 83
upon presentation to him of 334
used corresponds to both the 67
used effectively as long as 69
used effectively in both the 45
used effectively to aid in 40
used exclusively by one of 43
used exclusively in aid of 53
used exclusively in all the 88
used exclusively to pay the 181
used extensively by all the 64
used extensively by both the 133
used extensively by him in 43
used extensively in all of 47
used extensively in all the 104
used extensively in both the 276
used extensively is that of 66
used extensively to aid in 133
used extensively to map the 41
used incorrectly or not at 41
used perpetually to set the 63
user instructions on how to 45
