umbrage to sir john hawkins 47
unaware of any such studies 45
unaware of his good fortune 64
unaware of how their behavior 86
unaware of this fact because 75
undergo if they were faithful 67
unequal to any great exertion 57
unhappy thing they were brought 47
unified by its many systems 135
unknown in any other british 58
unknown in any other country 3419
unknown in any other european 105
unknown in any other quarter 44
unknown in any other relation 58
unknown in any other service 45
unknown in any other species 110
unknown in any other vocation 76
unknown to all save himself 79
unknown to any other country 255
unknown to any other creature 51
unknown to any other language 57
unknown to any other species 68
unlucky in not having himself 92
unlucky to see single magpies 65
unmoved by his heady passions 76
untruly of his late beloved 45
unusual in one other respect 58
unusual to hear those persons 55
unwilling to bear arms against 62
unwilling to let such talents 41
unwilling to put feud between 46
unwilling to put their persons 42
unwilling to see their country 71
unworthy of any such dignity 62
unworthy of being lady bertram 111
unworthy of his good fortune 53
unworthy of his great position 52
unworthy of his great talents 54
unworthy of his high position 165
unworthy of his high vocation 85
unworthy of its great subject 97
unworthy of its high position 44
unworthy of this high destiny 41
updates to our most popular 113
upholding the new york statute 54
upwards in one vast pyramid 109
urchins as they play marbles 58
useless if all were peaceable 52
useless to cry over spilled 88
ushered in with great fanfare 43
usually do not have control 82
usually do not have trouble 73
usually do not know exactly 237
usually do not live together 61
usually do not seek medical 106
usually do not work outside 101
usually do not work together 49
usually is not life threatening 58
usually is not very helpful 45
utility of any such regular 51
uttered by our lord himself 68
uttered in far from musical 76
uttered in his last moments 61
