racist multicultural education 86
ragged superannuated soldiers 81
raised constitutional concerns 121
raised constitutional problems 90
raised constitutional questions 756
raised environmental concerns 226
raised extraordinary supplies 52
raised methodological concerns 48
raised methodological problems 53
raised methodological questions 99
raised philosophical problems 54
raised philosophical questions 220
raised uncomfortable questions 461
raised unprecedented problems 45
raised unprecedented questions 46
raises constitutional concerns 133
raises constitutional problems 137
raises constitutional questions 511
raises environmental concerns 141
raises methodological concerns 47
raises methodological problems 234
raises methodological questions 241
raises philosophical problems 163
raises philosophical questions 510
raises psychological questions 71
raises uncomfortable questions 1262
rambling infinitesimal cathedral 59
random reinforcement schedule 125
reached technological maturity 141
reaction energetically possible 73
readily ascertainable external 51
readily ascertainable standard 139
readily distinguishable segments 42
recent archaeological activity 87
recent archaeological evidence 1421
recent archaeological projects 70
recent architectural additions 42
recent architectural projects 78
recent circumstantial evidence 41
recent classification proposed 58
recent comprehensive analysis 503
recent comprehensive biography 59
recent comprehensive overview 363
recent comprehensive treatment 517
recent constitutional decisions 140
recent constitutional doctrine 51
recent constitutional explosion 52
recent controversies concerning 327
recent determinations indicate 80
recent environmental concerns 99
recent environmental movement 96
recent environmental policies 42
recent environmental problems 119
recent environmental statutes 48
recent extraordinary advances 50
recent historiography suggests 55
recent interpretation suggests 89
recent intracellular recordings 47
recent investigations concerning 646
recent investigations indicate 1898
recent investigations indicating 40
recent investigations reported 70
recent investigations respecting 57
recent liberalization policies 55
recent methodological advances 491
recent methodological progress 41
recent philosophical accounts 95
recent philosophical analysis 115
recent philosophical attempts 50
recent philosophical attention 61
recent philosophical interest 71
recent philosophical movement 61
recent philosophical positions 42
recent philosophical tradition 66
recent philosophical treatment 43
recent psychological analysis 76
recent psychological evidence 76
recent retrospective analysis 576
recent sophisticated analysis 40
recent spectroscopic evidence 43
recent streptococcal infection 2071
recent technological advances 6733
recent technological explosion 41
recent technological progress 501
rectal suppositories containing 215
reduce compatibility problems 52
reduce electrostatic repulsion 123
reduce environmental concerns 48
reduce environmental emissions 106
reduce environmental exposure 82
reduce environmental pollution 2110
reduce environmental pressure 96
reduce environmental problems 529
reduce environmental stresses 97
reduce implementation problems 48
reduce interpersonal conflict 243
reduce interpersonal distance 58
reduce jurisdictional disputes 71
reduce photosynthetic activity 112
reduce photosynthetic capacity 50
reduce postoperative infection 118
reduce progressively barriers 80
reduce psychological barriers 65
reduce psychological distance 74
reduce psychological distress 558
reduce psychological problems 51
reduce psychological symptoms 63
reduce schizophrenic symptoms 152
reduce transportation expenses 116
reduce transportation problems 75
reduce uncertainties concerning 49
reducing electrostatic repulsion 93
reducing environmental barriers 63
reducing environmental emissions 66
reducing environmental pollution 1989
reducing environmental pressure 65
reducing environmental problems 195
reducing environmental stresses 143
reducing interpersonal conflict 132
reducing photosynthetic activity 52
reducing postoperative infection 77
reducing psychological distress 300
reducing psychological symptoms 48
reducing schizophrenic symptoms 53
reducing technological progress 291
reducing transportation expenses 61
reflex cardiovascular response 66
reform undergraduate education 113
refuse extraordinary treatment 98
regard environmental problems 118
regard technological progress 74
regions geographically adjacent 59
relating environmental variables 43
remain approximately constant 5667
remain approximately parallel 304
remain approximately unchanged 599
remain comparatively constant 319
remain comparatively ignorant 84
remain comparatively inactive 199
remain comparatively isolated 108
remain comparatively unchanged 252
remain fundamentally distinct 124
remain fundamentally separate 45
remain fundamentally unchanged 903
remain geographically isolated 139
remain geographically separate 51
remain insignificant compared 46
remain ontologically distinct 53
remain predominantly militant 101
remain professionally detached 62
remain qualitatively distinct 43
remain qualitatively unchanged 210
remain significantly elevated 257
remain significantly impaired 73
remain significantly negative 46
remain significantly positive 99
remain substantively unchanged 44
remain uncomfortably separate 68
remain unequivocally directed 45
remedy constitutional violations 972
remedy environmental problems 422
remote communications software 113
remote environmental monitoring 86
remote meteorological monitoring 52
remove architectural barriers 753
remove environmental barriers 68
remove organizational barriers 93
remove psychological barriers 112
removing architectural barriers 300
removing environmental barriers 62
removing organizational barriers 54
removing psychological barriers 62
render architectural services 99
render comparatively harmless 119
render czechoslovakia immediate 76
render extraordinary services 91
render identification possible 71
render indispensable services 68
render psychological services 44
report contradictory evidence 46
report environmental problems 92
report psychological distress 346
report psychological problems 217
report psychological symptoms 308
report questionnaires designed 149
report significantly improved 49
report significantly increased 125
resist environmental stresses 81
resist extraordinary pressure 42
resist intracellular digestion 51
retard technological progress 211
return inadvertently produced 87
reused architectural elements 139
review legislatively mandated 71
review psychological bulletin 123
richly fossiliferous deposits 119
richly fossiliferous formation 44
ridges approximately parallel 129
rights demonstrations occurred 51
rooted psychological problems 664
router advertisement messages 348
