raced back downstairs 254
races came originally 74
races from southeastern 44
races have constantly 60
races have disappeared 248
races have discovered 66
races have everywhere 136
races have flourished 58
races have frequently 67
races have intermingled 132
races have maintained 49
races have manifested 55
races have originated 150
races have progressed 61
races have recognized 46
races less adequately 42
races more frequently 55
races must eventually 46
races must inevitably 80
races very dissimilar 53
races were accustomed 94
races were acquainted 54
races were advertised 57
races were apparently 40
races were celebrated 165
races were classified 83
races were completely 94
races were considered 425
races were constantly 59
races were determined 79
races were discovered 79
races were distinctly 41
races were encouraged 59
races were essentially 114
races were everywhere 42
races were extinguished 46
races were frequently 127
races were hopelessly 48
races were identified 250
races were impossible 47
races were inherently 769
races were instituted 296
races were integrated 49
races were intermingled 71
races were intermixed 101
races were introduced 370
races were maintained 41
races were originally 329
races were physically 53
races were profoundly 54
races were prohibited 58
races were prosecuted 76
races were recognized 104
races were relatively 123
races were restricted 59
races were segregated 193
races were separately 47
races whom providence 93
races will contribute 43
races will eventually 140
races will inevitably 63
races will presumably 44
races will ultimately 108
racial laws introduced 49
racial wage inequality 168
racial zoning ordinances 222
racks into individual 68
racks were introduced 42
radar data acquisition 191
radar range measurement 82
radar wave propagation 261
radial flow components 65
radial flow compressor 638
radial flow velocities 132
radial line intersects 99
radial line representing 97
radial line represents 77
radial line triangulation 331
radial pair correlation 74
radial tire technology 206
radial wind components 60
radii were calculated 254
radii were determined 501
radios were broadcasting 62
radios were introduced 154
rafts were immediately 81
raged among economists 47
raged among scientists 42
raged most virulently 44
raiding there originally 62
raids from scandinavia 56
raids into cumberland 45
raids into mesopotamia 68
raids into mozambique 1416
raids were apparently 72
raids were considered 143
raids were constantly 156
raids were continuous 62
raids were encouraged 57
raids were essentially 41
raids were frequently 169
raids were impossible 47
raids were infrequent 137
raids were instigated 61
raids were relatively 82
raids were successful 390
raids were undertaken 1117
railing from southampton 55
railing hanging dejectedly 89
rails have negligible 58
rails have supplanted 44
rails were considered 53
rails were continuous 40
rails were everywhere 45
rails were frequently 107
rails were introduced 391
rails were originally 145
raining down destruction 72
raining down everywhere 95
rains fail completely 47
rains fall abundantly 45
rains fall frequently 73
rains fell frequently 89
rains have completely 83
rains have diminished 50
