ablest controversial writers 56
aboard international flights 52
absent countervailing factors 79
absent deliberately coercive 119
absorb considerable amounts 631
absorb considerable numbers 52
absurd colloquialism current 76
absurd contradiction between 168
absurd disproportion between 206
accept experimental results 40
accept governmental control 52
accept inappropriate behavior 53
accept international control 430
accept international mediation 72
accept noncombatant service 198
accept revolutionary violence 42
accept unacceptable behavior 81
accept uncritically certain 51
accept uncritically everything 226
access communication systems 511
access expenditures include 73
access inappropriate material 174
access international capital 825
access international markets 705
access pornographic material 41
access relationships between 109
access requirements imposed 91
access technologies include 41
access technologies including 65
acidic constituents present 44
across departmental borders 58
across disciplinary borders 521
across disciplinary divides 154
across disciplinary domains 63
across experimental sessions 130
across heterogeneous computing 123
across heterogeneous systems 310
across inhospitable deserts 77
across inhospitable terrain 137
across institutional borders 77
across institutional domains 66
across institutional sectors 154
across institutional spheres 104
across international borders 26634
across international markets 615
across metropolitan toronto 42
across particularly strongly 50
across physiological systems 49
across socioeconomic classes 423
across socioeconomic groupings 47
across traditionally defined 51
across transnational borders 73
actions diametrically opposed 66
actions monotonously repeated 43
actions specifically related 54
actions sufficiently testify 56
active agricultural workers 76
active belligerency against 43
active collaboration between 2379
active communication between 766
active communication network 49
active communication program 48
active confrontation between 93
active conspiracies against 49
active conspirators against 55
active constituents include 76
active constituents present 171
active constructive process 197
active degenerative process 76
active demonstration against 80
active experimental program 48
active experimental research 63
active extermination against 70
active governmental control 42
active governmental support 229
active inflammatory diseases 70
active inflammatory process 1447
active inflammatory reactions 42
active intellectual exchange 45
active intellectual inquiry 51
active intellectual process 120
active intellectual sympathy 46
active intelligence network 47
active intelligence service 54
active international exchange 90
active international program 50
active international support 73
active interpretive process 51
active interrelation between 65
active investigation because 50
active investigation include 107
active organizations include 48
active participants because 106
active participants include 48
active participation against 126
active participation applies 41
active participation because 227
active participation becomes 72
active participation between 157
active participation implies 43
active participation include 192
active partnerships between 180
active physiological process 199
active precautionary measures 64
active privatization program 45
active propagandist against 45
active reforestation program 46
active relationships between 276
active specifically against 51
active surveillance network 99
active surveillance program 231
active surveillance systems 162
active transcription complex 540
active transcription factors 171
active tuberculosis because 87
active tuberculosis include 40
actors particularly offends 137
actual achievements against 58
actual assassination attempt 130
actual authentication process 88
actual carbohydrate content 68
actual certification process 64
actual collaboration between 186
actual communication behavior 249
actual communication between 889
actual communication network 60
actual communication process 218
actual communication systems 213
actual compensatory damages 331
actual compositional process 52
actual computational process 45
