acclimatization persons produce 47
accountability systems include 64
administrative ability enabled 42
administrative affairs including 46
administrative affairs regarding 59
administrative aspects related 45
administrative barrier between 48
administrative borders between 101
administrative buildings erected 49
administrative burdens against 105
administrative burdens imposed 333
administrative centers located 47
administrative charges against 380
administrative command economy 638
administrative computing systems 106
administrative contact between 96
administrative control because 78
administrative control becomes 52
administrative control between 147
administrative control devices 50
administrative control exerted 44
administrative control function 54
administrative control measures 623
administrative control outside 50
administrative control remains 41
administrative control systems 405
administrative council elected 66
administrative council members 137
administrative decision affecting 123
administrative decision against 59
administrative decision because 84
administrative decision becomes 46
administrative decision involving 89
administrative decision process 183
administrative decision regarding 162
administrative decision subject 44
administrative details regarding 79
administrative details related 70
administrative division between 452
administrative division including 50
administrative expense account 139
administrative expense against 43
administrative expense allowed 77
administrative expense because 86
administrative expense budgets 237
administrative expense operating 230
administrative expense priority 1316
administrative factors affecting 77
administrative function carried 45
administrative function involving 46
administrative linkage between 81
administrative machine becomes 42
administrative machine capable 150
administrative matters affecting 412
administrative matters because 57
administrative matters between 156
administrative matters including 204
administrative matters involving 167
administrative matters outside 90
administrative matters regarding 90
administrative matters related 394
administrative matters requiring 71
administrative measures adopted 678
administrative measures affecting 159
administrative measures against 1088
administrative measures applied 92
administrative measures carried 65
administrative measures enacted 167
administrative measures imposed 72
administrative measures including 75
administrative measures regarding 93
administrative measures related 59
administrative medical assisting 344
administrative medical officer 369
administrative officer charged 207
administrative officer executing 50
administrative officer position 44
administrative officer usually 50
administrative offices between 48
administrative offices including 85
administrative offices located 195
administrative offices outside 84
administrative official charged 140
administrative overhead because 79
administrative overhead charges 94
administrative overhead expense 85
administrative penalty against 68
administrative penalty imposed 102
administrative position because 141
administrative problem because 87
administrative problem involving 41
administrative process affects 49
administrative process because 146
administrative process becomes 63
administrative process between 46
administrative process carried 59
administrative process depends 54
administrative process involving 92
administrative process possess 66
administrative process whereby 80
administrative records include 151
administrative records provide 48
administrative reforms adopted 64
administrative reforms because 45
administrative reforms between 50
administrative reforms brought 97
administrative reforms carried 328
administrative reforms enacted 91
administrative reforms including 96
administrative reforms planned 106
administrative relation between 155
administrative reporting systems 82
administrative reports contain 231
administrative sanction against 91
administrative sanction imposed 136
administrative service centers 46
administrative support because 55
administrative support centers 62
administrative support function 168
administrative support including 88
administrative support offered 46
administrative support offices 62
administrative support position 97
administrative support service 291
administrative support systems 755
administrative support workers 818
administrative systems capable 45
administrative systems operate 77
administrative systems provide 59
administrators express concern 49
administrators network systems 44
administrators quickly realized 96
advertisements usually contain 44
aggressiveness against himself 65
aggressiveness between marital 58
agriculturally related research 71
alphabetically arranged according 614
alphabetically arranged entries 3332
alphabetically arranged indexes 78
alphabetically arranged material 49
alphabetically arranged sections 159
alphabetically arranged subject 981
alphabetically arranged topical 77
alphabetically arranged volumes 54
alphabetically ordered entries 77
alphabetically written language 101
anthropological circles because 42
anthropological culture concept 131
anthropological kinship studies 101
anthropological research because 77
anthropological research carried 164
anthropological research involving 42
anthropological research outside 44
anthropological research program 43
anthropological research project 222
anthropological research results 47
anthropological research studies 96
anthropological studies carried 188
anthropological studies confirm 64
anthropological studies focused 52
anthropological studies include 45
anthropological studies provide 108
anthropological studies revealed 41
anthropological studies suggest 230
anthropological studies support 41
anthropological village studies 72
anthropologists conduct research 214
anthropologists examine religion 603
anticoagulants against factors 45
apprehensively towards himself 47
apprehensively towards sergeant 78
apprenticeship outreach program 66
apprenticeship program because 131
apprenticeship program usually 141
asymptotically minimum variance 61
asymptotically optimal solution 56
atherosclerosis remains unknown 41
attractiveness following failure 49
autobiographies written between 40
autocratically managed society 52
