day care versus home care 192
day fete should have been 61
day from eleven till five 56
day more before having your 73
day must surely come when 179
day pass without making some 61
day pass without reading some 47
day pass without your having 43
day their fathers came forth 80
day their mothers give birth 63
day there should have been 94
day were driven from their 125
day when christ rose from 48
day when christ will come 133
day when fields were rank 45
day when something went wrong 68
day when standing upon some 45
day will arrive when there 41
day will surely come when 1799
day will surely dawn when 51
dead fish passed into other 55
dead were marching into town 45
deal more before your next 63
deal will depend upon what 168
dear young brother will leave 41
death ever before their eyes 64
death left vacant three great 46
did ever impart such beams 42
did ever mortal coming from 43
did evil before mine eyes 321
did have something having meaning 45
did many widows come their 85
did miss bronte much good 94
did some pretty good work 87
did these feelings come from 65
did these images come from 46
did these shells come into 40
did these values come from 49
did well answer their ends 47
did well enough five years 95
did what should have been 284
did your christ come from 1344
did your family come from 200
did your family react when 46
die here before your eyes 61
dig more deeply into their 92
dig more deeply into these 54
dig more deeply into what 88
does what nobody else even 177
does your brother look like 69
does your energy come from 69
does your family come from 131
does your friend look like 66
does your future look like 48
does your sister look like 48
does your strength come from 61
doing from before mine eyes 72
doing good before their eyes 117
doing much better these days 45
doing some pretty good work 47
doing what should have been 540
doth much depend upon your 42
dry bread defies their beaks 43
dying eyes should rest upon 56
