dare ask for a higher 65
dare not for a moment 189
dare say that a couple 55
dare say that i should 235
dare you use a person 62
dark and for a moment 123
dark for all i should 59
dark head and a wooden 74
dark head for a moment 45
dark hut with a wooden 75
dark man with a drooping 41
dark one not a little 71
dark that for a moment 102
data are for a sample 82
data are not a random 81
dawn that was a sunset 58
days ago and i thought 59
days ago that i should 81
days ago that i thought 49
days ago that i wanted 53
days ago with a letter 44
days and that i should 89
days she was a corpse 49
days this was a common 60
days was not a matter 47
dealing not with a simple 143
deals with how a person 184
dealt out with a lavish 54
debt and with a grinding 58
deep that for a moment 44
defy thee for a meddling 73
deny but that a parent 70
deny not that a portion 119
deny that for a moment 187
deny this for a moment 71
desk and for a moment 121
died not for a select 43
diet has not a greater 47
dining out with a friend 104
dish and add a little 80
dogs than that i should 40
done all that i should 104
done all that i thought 79
done all that i wanted 57
done all that i wished 46
done and that i should 118
done but that i should 44
done for him a double 45
done that for a couple 53
done this for a couple 47
done this for a little 98
done this for a minute 41
done this for a number 196
done this with a candor 47
door and ask a series 116
door and buy a ticket 41
door and did a double 81
door and for a minute 41
door and for a moment 458
door and for a second 147
door and lit a candle 90
door and saw a dragon 109
door and saw a little 86
door for him a minute 78
door that was a little 55
dost not see a million 83
down and ate a little 144
down and cry a little 95
down and did a little 256
down and for a minute 100
down and for a moment 1235
down and for a second 52
down and get a better 59
down and get a closer 43
down and get a couple 134
down and get a little 503
down and got a little 162
down and had a chance 84
down and had a couple 180
down and had a family 171
down and had a little 431
down and had a serious 201
down and lead a normal 87
down and put a bullet 124
down and put a little 48
down and put a pillow 278
down and read a little 137
down and rub a little 87
down and saw a barrel 49
down and saw a little 407
down and saw a strange 132
down and say a prayer 439
down and that i should 90
down and was a little 58
down and with a frozen 46
down and with a little 94
down for fear i should 87
down her head a little 50
down his head a little 125
down his head a second 306
down one day a little 87
down she saw a little 82
down that way a little 156
down with her a portion 101
down with him a little 101
down with him a number 47
down with them a little 93
down with them a portion 56
down with you a little 50
doze off for a little 129
doze off for a minute 153
doze off for a moment 123
dozing off for a moment 52
draw her out a little 125
draw him out a little 286
draw him with a firmer 41
draw his gun a little 47
draw that out a little 86
draw them out a little 45
draw them with a pencil 55
draw you out a little 88
dread was that i should 49
dream and not a reality 205
dream and that i should 128
dream not that i glance 48
dream then that i should 43
dream was now a reality 116
dream was that i should 60
drew her for a moment 64
drew him for a moment 58
drop dead for a second 91
drug that has a narrow 42
duck his head a little 40
dull deaf ears a little 135
during this and a portion 43
dust them with a little 159
duty and not a virtue 48
duty are for a common 78
