damp sent 53 dare reach 54
dare what 51 dare from 66
dare like 46 dare have 50
dare have 158 dare will 48
dare will 62 dark were 121
dark were 53 dark areas 60
dark call 56 dark ripe 58
dash page 65 data from 51
data from 101 data into 59
data bank 376 data used 80
data have 55 data from 210
data into 61 data from 633
data into 50 data been 145
data arcs 57 data your 47
date time 109 date upon 44
date from 55 date have 61
date been 47 date away 51
dawn days 62 dawn clear 91
dawn over 441 dawn when 491
days during 40 days have 41
days were 64 days when 162
days from 50 days from 83
days will 205 days over 67
days more 55 days among 111
days there 49 days their 94
days hook 67 days were 746
days been 40 days come 145
days your 49 dealing blow 43
dealing mining 58 dealing only 42
dealing beings 47 dealing there 46
dealing beings 732 dealing have 45
dealing will 75 dealing jews 92
dealing debt 121 dealing their 46
dealing data 77 dealing like 68
dealing have 73 dealt blow 126
dealt from 91 dealt when 65
dealt here 46 dealt when 304
deaths during 85 debt paid 96
debt paid 180 deck hand 93
deed great 459 deed great 66
deep wide 69 deep wide 54
deep feet 64 deer game 583
deer game 179 deny have 89
deny have 95 deny have 118
deny ever 50 deny have 56
deny have 113 deny have 57
deny were 43 deny have 55
desk from 40 desk into 44
died were 73 died were 44
died have 41 died were 297
died from 862 died have 41
died were 56 died into 49
died from 530 died from 42
died taking 99 died birth 61
died from 51 died their 44
died birth 59 died giving 50
died from 74 died birth 217
died giving 65 died from 319
died their 199 died these 53
died during 42 died from 299
died leaving 61 died when 98
died upon 88 died pangs 110
dies came 47 diet have 74
digs into 43 dining were 183
dish over 318 dogs have 109
dogs were 47 dogs beings 50
dogs were 63 dogs meats 48
dogs deer 45 dogs when 68
dogs there 124 dogs keep 92
dogs most 54 doll girl 147
done have 96 done have 100
done have 79 done have 74
done past 45 done years 74
done years 90 done years 76
done past 145 done past 128
done sake 79 done years 79
done past 87 done also 53
done well 52 done come 95
done over 43 done have 53
done done 41 done over 102
done have 61 done will 57
door back 140 door like 59
door there 490 door over 45
door into 73 door open 286
door open 90 door open 45
door open 296 door away 46
door open 969 door wide 68
door open 259 door wide 75
door upon 40 door from 62
door down 63 door hand 52
dost what 52 dost what 68
down legs 113 down away 40
down there 120 down into 122
down there 92 down there 73
down foot 115 down over 116
down your 86 down talk 81
down were 57 down make 136
down making 43 down among 44
down some 169 down their 488
down these 83 down what 1296
down your 373 down high 401
down shut 229 down have 41
down their 59 down what 2032
down your 307 down there 119
down back 42 down rise 152
down will 108 down will 90
down also 2348 down having 148
down such 87 down side 117
down from 88 down back 47
down from 208 down rise 87
down wool 362 down upon 130
down upon 309 down from 119
down upon 145 down flying 195
down over 46 down tied 152
down finger 51 down bent 305
down palm 41 down foot 390
down hand 1143 drag from 632
drag into 345 drag onto 217
drag from 295 drag into 47
drag their 40 drag from 44
draw from 315 draw upon 61
draw from 64 draw line 48
draw their 45 draw talk 100
draw from 51 draw from 55
draw from 50 draw into 48
draw into 44 dread have 61
dream come 227 drew into 89
drew into 47 drew from 41
drew from 49 drew away 50
drew into 82 drug gangs 104
duck fowl 138 duke years 42
duke made 42 dull must 174
dull eyes 40 dull have 67
during been 253 during years 41
during years 49 during when 43
during years 41 during years 113
during years 105 during when 61
during when 62 during years 49
during years 70 during when 50
during their 44 during length 120
during years 52 during years 46
during years 47 during life 128
during years 115 during years 158
during years 54 during years 228
during years 120 during here 64
during home 81 during there 288
during game 50 during have 53
during stay 49 during week 63
during stay 55 during were 77
during days 57 during years 54
during years 40 during when 129
during were 52 during when 82
during when 43 during from 196
during there 71 during were 119
during when 42 during have 51
during have 49 during were 128
during when 41 during will 43
during have 245 during also 47
during came 42 during have 52
during there 299 during were 736
during when 123 during will 72
during bout 88 during also 135
during from 344 during grew 49
during have 137 during many 61
during only 99 during other 49
during rose 65 during some 42
during there 400 during were 380
during when 117 during will 51
during have 48 during were 62
during have 51 during also 71
during from 80 during have 119
during there 96 during were 721
during when 105 during will 145
during from 92 during have 238
during were 54 during there 51
during when 50 during time 84
dust into 40 dust nothing 61
dust into 69 dust into 42
dust rise 60 duty clear 104
duty days 49 duty done 104
