damaged by hurricane hugo in 71
damaged or destroyed during the 1011
damaged or destroyed many of 95
damaged or destroyed most of 137
damaged or destroyed much of 49
damaged or destroyed prior to 58
damaged or destroyed when the 44
damages is dependent upon the 46
debated in parliament during the 57
debates in parliament during the 87
debates in parliament over the 164
debates in parliament upon the 68
debates in parliament were of 41
decades in countries such as 73
decades of communist rule in 296
decided an advantage over the 114
decided an opposition from the 77
decided by agreement among the 47
decided by unanimous vote of 78
decided by unanimous vote to 134
decided in different ways by 124
decided the important case of 69
decided the political fate of 58
decided the vacillating mind of 53
decided to ascertain from the 40
decided to diversify into the 155
decided to eliminate from the 136
decided to eliminate most of 49
decided to eliminate some of 113
decided to establish such an 90
decided to hitchhike back to 66
decided to implement some of 90
decided to interview some of 72
decided to introduce into the 173
decided to penetrate into the 143
decided to sacrifice some of 60
decided to translate some of 53
decided to undertake such an 61
decision by president bush to 80
decision he virtually says it 97
decision is announced from the 159
decision is controlling only in 86
decision is dependent upon the 240
decision is different from the 120
decision is generally made by 91
decision is separated from the 47
decision is sometimes made by 51
decision is typically made by 86
decision of president bush to 45
decision or resolution upon the 152
decision to afterward come in 209
decision to diversify into the 57
decision to establish such an 74
decision to intervene must be 55
decision to terminate must be 74
decision to undertake such an 90
declare the candidate having the 56
declare the corporate mind is 113
declare the president sent the 114
declaring the convention free to 41
declaring the miserable case of 43
decline an invitation from the 174
decline in countries such as 42
decline in fertility among the 159
decline in fertility during the 399
decline in fertility from the 102
decline in fertility over the 215
decline in fertility rate in 86
decline in fertility will be 50
decline in frequency during the 49
decline in frequency over the 41
decline in household size in 52
decline in household size is 81
decline in mortality among the 108
decline in mortality during the 501
decline in mortality from the 152
decline in mortality over the 145
decline in population during the 993
decline in population from the 127
decline in population over the 271
decline in population size of 51
decline in production during the 507
decline in production from the 163
decline in production over the 147
decline in production will be 51
decline of fertility during the 53
decline of population during the 95
decline the ungrateful task of 89
declining an invitation from the 117
decrease in amplitude during the 95
decrease in amplitude from the 43
decrease in estimates over the 47
decrease in frequency during the 148
decrease in frequency from the 173
decrease in frequency over the 53
decrease in frequency when the 53
decrease in intensity during the 67
decrease in intensity from the 190
decrease in intensity when the 178
decrease in inventory during the 98
decrease in metabolic rate in 115
decrease in metabolic rate is 97
decrease in metabolic rate of 63
decrease in mortality among the 41
decrease in mortality during the 191
decrease in mortality from the 95
decrease in mortality over the 40
decrease in population during the 346
decrease in population over the 116
decrease in population size of 42
decrease in production during the 239
decrease in production from the 129
decrease in viscosity when the 43
decrease is dependent upon the 46
decrease is divisible into an 40
decrease of intensity from the 54
decrease of population during the 98
decrease the absorption rate of 56
decrease the effective length of 83
decrease the effective size of 71
decrease the metabolic rate of 43
decrease the mortality rate in 78
decrease the mortality rate of 76
decrease the production cost of 45
decrease the residence time of 83
decreasing in intensity from the 57
decreasing the effective length of 51
decreasing the mortality rate of 46
decreasing the residence time of 40
decrees or mortgages held by 150
deduced by inference from the 58
deducting the estimated cost of 112
deducting the necessary cost of 47
deepening of spiritual life in 48
deepening the impression made by 41
deepening the spiritual life of 295
deepens the impression made by 85
defaced the landscape when he 44
default of posterity from the 70
defeated by opposition from the 61
defeated if judgments were to 368
defeated the byzantine army at 126
defeated the byzantine army in 94
defects of character such as 40
defending the christians from the 73
defends the christians from the 41
defense is available only if 154
defense is available only in 59
defense is available only to 202
defense is available when the 52
defense of baltimore during the 50
deferring the effective date of 88
deficit is different from the 47
