dandruff on his coat collar 83
dangerous by its very nature 65
darkened the sky like clouds 42
darkness of his soul sought 57
darkness of that ocean changed 44
dateless as was your former 44
daughter at her birth struck 49
daughter he had left behind 110
daughter is not good enough 92
daughter of her best friend 87
daughter of his best friend 277
daughter of his early friend 92
daughter of his good friend 119
daughter of his great friend 66
daughter of his half sister 56
daughter of his late brother 97
daughter of his late friend 65
daughter of his late sister 63
daughter of his only brother 42
daughter of his only sister 102
daughter of his piano teacher 79
daughter of his poor brother 70
daughter of our good friend 77
daughter of sir hans sloane 70
daughter of sir john aubrey 56
daughter of sir john cotton 53
daughter of sir john crofts 70
daughter of sir john evelyn 72
daughter of sir john hunter 45
daughter of sir john miller 90
daughter of sir john murray 61
daughter of sir john newton 105
daughter of sir john savage 123
daughter of sir john stuart 147
daughter of sir john talbot 43
daughter of sir john temple 169
daughter of sir john trevor 44
daughter of sir john vernon 53
daughter or any other female 90
daughter to and from school 70
decedent by any other person 51
decedent is its fair market 186
deceived is that their nature 49
deception or any other person 168
decisions at all three levels 60
decisions do not just happen 63
decisions he had been forced 41
decisions in each have become 64
decisions of all other courts 97
decisions of his unit before 40
decisions of new york courts 116
decisions of this kind should 91
decisions of this sort should 42
decisions on all these issues 44
declared at its last session 49
declared he had been forced 71
declared he had been guilty 72
declared he had been robbed 58
declared he had been unable 47
declared he had done neither 50
declared he had very little 94
declared he was much better 179
declared in his great speech 60
declared in his last public 50
declared in his last speech 112
declared it was very wicked 41
declared the new york herald 196
declares in this very letter 61
declined to any great extent 41
decreased in all three groups 74
decreased to any great extent 55
defended by his most partial 148
defended it not from insult 72
defended on any other ground 99
defenses of new york harbor 274
definite or that will become 43
defrayed in any other manner 145
delegate to any other person 292
delegate to them such powers 378
delicacy of her neck caused 42
delicate as his other senses 41
delicate he had ever tasted 60
delicious he had ever tasted 92
delights in all those tender 107
delivering to his young friend 43
delivering up all their estate 63
delivers to any other person 183
delivery at any time before 126
delivery of his great speech 89
delivery of low birth weight 148
delivery or low birth weight 90
delivery to any other person 61
demanded at any time before 62
demanded by its very nature 51
demanded on any other ground 44
demanded to see their papers 158
demanded to see their passes 60
departed no one knew whither 165
