darkness loneliness 97 decisions arbitration 56
decisions judicature 69 declared government 99
declares government 45 declined arbitrator 78
declined legislation 150 declined resignation 47
declined compromise 44 declined declaration 43
declined distinction 42 declined explanation 47
declined government 68 declined presidency 123
declined proposition 155 declined resignation 347
declined conference 278 declined arbitration 78
decreased cigarettes 50 decreases hemoglobin 100
decreases information 187 decreases dissociation 49
deduction depreciation 59 deduction considered 41
defended communists 55 defended conscience 68
defended individual 137 defended minorities 78
defended copernicus 51 delegate government 94
delivery peripheral 97 demanded particular 97
demanded newspapers 41 demanded imprisoned 101
demanded palestinian 91 depended government 139
depended individual 57 deposits transgenic 75
deprived information 97 deprived husbandmen 46
descending abstraction 74 describe activities 173
describe application 121 describe components 49
describe composition 73 describe experience 44
describe historical 73 describe individual 169
describe information 84 describe interaction 40
describe mechanisms 48 describe methodology 94
describe particular 154 describe preparation 114
describe principles 128 describe procedural 70
describe procedures 321 describe properties 98
describe scientific 64 describe successive 54
describe techniques 207 describe information 96
describe variability 77 describe similarity 65
describe preparation 42 describe scientific 80
describe government 109 describing activities 53
describing procedures 74 describing techniques 40
describing information 43 describing educational 44
deserved punishment 111 deserves confidence 62
designed individual 1132 designed efficiency 81
designed feasibility 220 designed importance 156
designed individual 374 designed likelihood 99
designed nutritional 41 designed prevalence 129
designed reliability 70 designed respondent 64
designed usefulness 80 designed individual 199
designed establishing 46 designed government 260
designed individual 720 designed instructor 120
designed programmer 76 designed unemployed 74
designed continuity 95 designed safeguarding 136
designed objectives 107 designed information 44
designed individual 41 designed information 443
designed respondent 118 designed principles 47
designed principles 47 designed individual 244
designed authorities 43 designed corporation 41
designed government 570 designed individual 624
designed palestinian 61 designed cooperation 66
designed educational 50 designed experience 41
designed acceptable 49 designed appropriate 45
designed acquisition 53 designed application 57
designed attainment 56 designed continuity 131
designed cooperation 44 designed observance 67
designed reliability 143 designed successful 51
designed imagination 82 designed application 43
designed boundaries 51 designed usefulness 52
designed appreciation 59 designed acquisition 68
designed attainment 50 designed educational 61
designed integration 42 designed objectives 478
designed information 52 designed particular 54
designed likelihood 75 designed individual 1832
designed attainment 69 designed difference 163
designed educational 47 designed efficiency 119
designed electrical 64 designed importance 101
designed individual 544 designed mechanical 46
designed objectives 47 designed percentage 46
designed perceptions 41 designed prevalence 114
designed properties 65 designed resistance 144
designed respondent 258 designed subjective 45
designed information 289 designed difficulty 57
designed advantages 46 designed application 76
designed government 47 designed individual 100
designed measurement 76 designed objectives 45
designed information 47 designed complexity 143
designed consumption 178 designed dependence 147
designed difficulty 46 designed government 85
designed importance 109 designed incentives 50
designed likelihood 2247 designed occurrence 208
designed prejudicial 42 designed prevalence 166
designed resistance 49 designed variability 42
designed shortcomings 93 designed invincible 64
designed horizontal 157 designed individual 89
designed advantages 57 designed cooperation 62
designed observance 70 designed importance 129
designed imagination 78 designed deficiency 63
designed information 67 designed principles 40
designer appropriate 56 desirous observation 162
desirous privileges 50 desirous netherlands 57
desirous experiment 46 desirous advantages 75
desirous assistance 62 desirous friendship 64
desirous metropolis 45 desirous reformation 40
desirous advantages 48 desirous assistance 113
desirous circuitous 59 destined facilitate 48
destined influential 80 destined institution 50
destined instrument 76 destined celebrated 40
destined celebrated 220 destined illustrious 48
destined definitive 154 destined grandfather 49
destined instrument 107 destined metropolis 253
destined progenitor 58 destined university 66
destined barbarisms 164 destined indignation 103
destined boundaries 121 destined prosecution 88
destined manuscript 58 destroying government 95
detected electrical 75 detected resistance 59
detection components 71 developing observation 162
developing individual 53 developing cooperation 66
developing discipline 40 develops imagination 53
develops observation 94 diagnosis remembered 82
dictated disloyalty 42 diligent orthography 53
diligent scriptures 73 dimension importance 136
diminish application 61 diminish contraction 46
diminish employment 47 diminish information 63
diminish charitable 124 diminish applicants 68
diminish candidates 61 diminish casualties 49
diminish dissenters 45 diminish unemployed 43
diminish excitations 50 diminish particular 64
directed particular 984 directed particular 146
directed indignation 48 directed appropriate 92
directed management 65 directed particular 321
directed successive 47 directed particular 40
direction determined 84 direction beautifully 43
direction determined 69 direction difficulty 41
direction contracted 82 direction infinitude 54
directly indirectly 42 directly appropriate 429
directly interposed 56 directly investment 50
directly acquisition 46 directly application 160
directly appropriate 225 directly assistance 64
directly department 41 directly government 262
directly secretariat 238 directly revolutions 40
director management 98 disabled imbecility 105
disallow experiment 48 disclaim warranties 55
disclose disclosure 55 disclose information 41
disclose information 490 disclose information 73
disclosing information 50 discount substituting 66
discover infinitude 85 discover uniformity 42
discover supporters 71 discussing technology 71
discussing hereditary 47 discussing particular 48
discussing scientific 49 discussing difference 46
disdaining compromise 70 dispatch registered 78
displays scientific 93 displays characters 232
disposal settlement 63 disposal securities 133
disposed accordance 109 disposed acquisition 46
disposed publishers 123 disposed explanation 88
disposed government 120 disposed proposition 149
disposed traditional 102 disposed liberality 42
disposed government 118 disposed importance 112
disposed government 102 disposed conjecture 70
disposed experiment 107 disposed suggestions 138
disposed demosthenes 41 disposed institution 99
disposed absolutely 69 disposed institution 102
distance designated 74 distance similarity 46
distance refractory 85 distress philosophy 114
distress perplexity 172 disturbs processions 42
diversion barricades 59 diverted speculation 63
doctrine incomplete 47 doctrine appreciation 234
doctrine punishment 56 doctrine principles 67
document legislation 68 document electronic 73
dominions authorities 472 dwindled successive 93
