daring flattery than any artist 118
dark aperture being thus opened 52
dark eyebrows and long lashes 41
data elements that are needed 193
data elements that are stored 87
data indicate that this effect 61
data indicate that this system 42
data obtained with and without 76
data obtained with this system 54
days declared that she thought 67
dealing directly with one another 231
dealing honestly with one another 43
dealing requires that they should 79
dealt directly with one another 102
deck squarely and with surety 45
deem equality with god something 499
deep affection for her brother 113
deep affection for her family 40
deep affection for his brother 92
deep affection for his family 201
deep affection for his friend 91
deep affection for his native 171
deep affection for his sister 193
deep affection for one another 318
deep darkness that goes before 71
died suddenly and was buried 249
dogs outright and run freely 160
done business with him before 294
done business with them before 293
done business with you before 217
down opposite her and waited 43
down opposite him and looked 59
down opposite him and waited 51
down slightly with this injury 68
drug business with his brother 60
drug treatment and job training 97
duly accounting for all moneys 60
during digestion they are filled 40
during exercise and heat stress 391
during exercise with and without 76
during rotations and for review 50
during treatment and may adjust 121
duty demanded that they should 54
duty required that they should 43
duty requires that they should 60
