dad and his brothers and 54
day and may persist for 127
day and one hundred and 115
day but one following this 57
day can not compare with 48
day did not believe that 164
day did not prevent his 40
day did not produce any 54
day did not suffice for 77
day does not believe that 44
day does not present you 60
day for all workers and 50
day for his election and 47
day for one hundred and 351
day for our country and 69
day for our marriage was 55
day for our regatta had 62
day for ten minutes each 75
day for this purpose and 45
day for this purpose was 125
day for two dollars and 188
day for two hundred and 161
day had not arrived for 56
day had not started out 76
day had now arrived for 55
day has not arrived yet 111
day how they upbraid each 43
day long this patient old 53
day set off himself with 88
day she had brought him 103
day she had married him 52
day she had realized that 47
day she had visited her 41
day she had watched him 153
day she was married and 57
day that had brought her 76
day that had brought him 79
day that had brought them 56
day that had started off 61
day that had started out 322
day that had started with 127
day that her husband had 139
day that her husband was 320
day that his majesty and 49
day that this decision was 53
day that this message was 60
day that you receive this 211
day they are allowed for 68
day they are usually dry 45
day they got together and 52
day they had brought her 42
day they had brought him 41
day they met together and 56
day was going against her 60
day was going against him 208
day was going against them 214
day was her birthday and 62
day was his birthday and 49
day was not stained with 57
day was not unusual for 104
day was one hundred and 113
day was two hundred and 57
day who has devoted her 162
day who has written two 65
day with her husband and 119
day with his friends and 76
day with his parents and 56
day with one hundred and 127
day with our outward ears 262
dead and dying animals and 84
dead and dying persons was 69
dead and one hundred and 207
dead and one wounded man 62
dead and she herself was 139
dead and two hundred and 107
dead are not related and 429
dead for all intents and 82
dead for one hundred and 62
dead man and carried him 69
dead man being carried out 132
dead man was carried out 451
dead man was covered with 70
dead man was dragged out 40
dead men and animals that 142
dead men and wounded men 83
deal for his country and 42
deal she had allowed him 43
deal with all aspects and 45
deal with all matters and 102
deal with all matters not 101
deal with all matters that 323
deal with all persons who 92
deal with and account for 61
deal with and provide for 126
deal with any matters that 178
deal with any problem that 597
deal with any question that 202
deal with any subject that 169
deal with any trouble that 369
deal with any unusual and 205
deal with both current and 45
deal with both foreign and 87
deal with both general and 142
deal with both national and 99
deal with both natural and 91
deal with both routine and 85
deal with both success and 40
deal with both western and 123
deal with her anxiety and 101
deal with her because she 151
deal with her emotions and 53
deal with her frankly and 49
deal with her husband and 144
deal with her majesty that 93
deal with her parents and 43
deal with him affects him 60
deal with him because they 122
deal with his anxiety and 126
deal with his emotions and 153
deal with his enemies and 88
deal with his enemies one 42
deal with his problem and 141
deal with our emotions and 156
deal with that problem and 233
deal with that question and 104
deal with that question now 109
deal with that subject and 94
deal with them because they 756
