dare look into these affairs 44
dark eyes once more sparkling 122
data also call into question 59
data came from three sources 45
data come from many sources 87
data come from three sources 87
data coming from other sources 64
data during those three hundred 50
data from many other sources 124
data from many other studies 49
data from other data sources 111
data from these areas suggest 65
data from these early studies 46
data from these other sources 42
data from these three sources 154
data from these three studies 155
data from three main sources 46
data have also been derived 43
data have also been gathered 68
data have also been plotted 65
data have come from studies 96
data must take into account 378
data used here were gathered 44
data were coming more quickly 76
data will have been gathered 85
date from some time between 180
date have been very limited 47
date there have been several 431
dating back over three hundred 43
dating back some three hundred 43
dating back some three thousand 49
dating from some time between 119
daub must have been painted 58
days lost from work because 133
days must have been content 54
days there have been several 44
days there were three hundred 45
days when there were several 42
days will pass like minutes 62
dealing forth these wild stories 88
deals have been made between 45
deed bearing even date herewith 54
deer will slip into perfect 82
died away into deep silence 45
dies away much more rapidly 43
dive into their very thoughts 83
dogs howl when their masters 98
dogs must have been totally 72
done some good reading outside 58
door flew back upon admitting 66
dose must take into account 45
dost call thine worth seizure 64
down deep into their pockets 86
down from their great galleons 56
down from their high perches 123
down from their high position 107
down from your high flights 45
down into four main sections 79
down into three main sections 227
down like tears from between 91
down their arms only because 44
down their arms when ordered 75
down their ever busy fancies 88
down there were just ashamed 52
draw away from their parents 44
draw from these case studies 90
draw upon their heads national 53
drew tears from those present 56
drop from their high perches 41
during four years many seedlings 98
during life have been reduced 54
during their early days together 49
during their early life history 57
during their early years together 355
during their four years together 121
during their last days together 77
during their last years together 55
during their many years together 67
during their three years together 98
during these early years because 56
during these last three decades 74
during these last three hundred 63
during these past three decades 95
during these years were largely 53
during these years were written 54
during three days next preceding 50
during youth have been subject 63
dust from their feet against 220
dust upon their heads towards 149
