damages for any personal wrong 71
damages for his injuries from 51
deceiving and being deceived many 44
decided that his services were 74
decided that they probably were 45
decision are not entirely clear 60
decision that was actually made 43
decision that was obtained from 42
decision was not required till 41
declare they had attained their 90
declare war and conclude peace 967
declare war nor conclude peace 165
declaring that all children born 88
declaring war and concluding peace 942
decline are not entirely clear 59
decline she has wandered away 41
decreed that all children born 66
decreed that all children must 54
defeated them and captured their 71
defined for our purposes here 64
degrees all law business into 62
degrees one age improves upon 63
delight that they renounce their 52
deliver her own subjects from 44
deliver his raw materials free 87
depending for its efficacy upon 52
depending for its operation upon 60
depending for its validity upon 103
depending for its vitality upon 40
depends for his valuation more 62
depends for its accuracy upon 233
depends for its activity upon 132
depends for its authority upon 154
depends for its efficacy upon 929
depends for its execution upon 87
depends for its exercise upon 57
depends for its formation upon 56
depends for its functioning upon 149
depends for its interest upon 181
depends for its nutrition upon 92
depends for its operation upon 829
depends for its progress upon 45
depends for its security upon 60
depends for its stimulus upon 45
depends for its supplies upon 40
depends for its survival upon 271
depends for its validity upon 1252
depends for its vitality upon 287
derived all his authority from 44
derived all its authority from 106
derived all its efficacy from 40
derives all his authority from 1667
derives all its authority from 787
derives all its efficacy from 176
derives all its interest from 125
derives all its vitality from 82
descent who has acquired union 57
designs that are commonly used 105
designs that use geothermal steam 57
desired has this festival been 66
desired now was affection from 84
desired that all literary work 66
desired that all possible means 46
desires that are opposite from 64
destiny and his ultimate hope 46
details are not entirely clear 198
details are not included here 126
details are not provided here 70
details are not relevant here 187
details are not reported here 58
develop new and improved ways 59
devices are not commonly used 65
devices are now commonly used 59
devices not yet invented here 93
devices that are commonly used 320
devices that are inserted into 187
devices that are separate from 41
devotion and his prudence were 57
devouring eye and portraying hand 58
diameter and its distance from 73
directing all its energies upon 70
dislike for all prolonged work 79
dispute with him concerning what 75
dispute with his employer over 44
divided for its exercise into 80
divided for our purposes into 128
divided near its insertion into 92
divided with them whatever poor 82
divides all its officers into 274
doctors who had received their 49
dollars and buy yourself some 84
donkeys did not prospect these 74
doubted that all children born 53
dressings they did commonly make 51
dropped out and returned home 118
duchess and her children were 104
