dangerous gangs of rogues among 60
dangerous move the french made 53
darkness over the broken city 54
darkness over the earlier ages 41
darkness rose the strange star 52
darkness sent up clouds even 54
database will be rolled back 44
decisions have an impact upon 80
decisions made by someone else 233
decisions made in earlier years 56
decisions made in recent years 43
decisions must be agreed upon 40
decisions tend to become more 125
decisions will be handed down 46
decisive role in policy making 101
decisive role is played here 43
declined during the decade from 78
declined during the latter half 185
declined during the latter part 309
declined during the latter years 77
declined during the middle ages 158
declined during the second half 1257
declined from an annual rate 159
declined from the second half 66
declined giving an answer till 83
declined over the decade from 47
declined over the second half 50
declined taking an active part 64
declines over the entire range 130
decorous throng of malays coming 53
decreased during the latter half 69
decreased during the latter part 114
decreased during the second half 430
decreased during the second week 108
decreased into the normal range 46
decreased rate of weight gain 61
decreased risk of neural tube 42
decreases during the latter part 109
decreases during the second half 162
deducted from the actual cost 63
deducted from the amount owed 96
deducted from the amount paid 337
deducted from the estate duty 120
deducted from the income from 235
deducted from the weekly wage 57
deducted over the useful life 51
deepened till it pulled down 56
defected from the soviet union 881
defection from the soviet bloc 192
defection from the soviet camp 118
defection from the soviet union 267
defection from the warsaw pact 49
defector from the soviet union 98
defended from the searching cold 46
deferred till the moment when 62
deficits over the medium term 62
definite time is agreed upon 59
deformed bars or welded wire 47
defrayed from the common fund 54
degraded from my former rank 45
degraded race of mexico must 80
delegate from the soviet union 433
delicate task of deciding what 54
demanded from the soviet union 49
denounce such as differ from 68
departed from my native land 43
departed from my opinion upon 46
departed from the common line 69
departed from the english rule 47
departed from the narrow view 301
departed from the sacred text 42
departed from the soviet union 53
departed from the strict line 97
departed from the strict rule 94
departed from the strict truth 61
departed from us without taking 49
depended upon the french army 47
depended upon the income from 71
depended upon the soviet union 66
deported from the soviet union 330
deposits from the second bank 333
deputies from the states were 63
descending from the clouds like 72
descending from the eastern side 68
descending from the middle ages 58
descending into the spinal cord 152
descending into the valley from 98
descends along the middle line 115
descends into the middle lobe 58
descends into the spinal cord 112
describe these in detail here 85
describe what he looked like 339
describe what it looked like 374
describe what my feelings were 279
describe what the learner will 163
describe what the system must 65
describe what the system will 53
describe what we should call 53
describing what we should call 64
deserted from the english army 54
deserted from the french army 286
deserted from the german army 257
deserted from the italian army 44
deserted from the russian army 104
deserter from the english army 97
deserter from the french army 314
deserter from the german army 202
deserter from the italian army 51
deserter from the russian army 182
desertion from the french army 69
desertion from the german army 43
designed into the system from 130
desirous also of carrying home 78
despised such as should teach 41
despotic land be loosed from 77
detached from the allied army 205
detached from the common life 49
detached from the french army 74
detached from the parent atom 40
detached from the parent body 141
detached from the parent cell 102
detached from the parent mass 226
detached from the parent rock 111
detached from the parent stem 276
detached from the parent tree 72
detached from the soviet union 79
detached from the spinal cord 56
detached from the vessel wall 110
detected what he thought were 60
developing during the latter part 54
developing during the second half 96
developing ideas of another life 47
develops during the latter part 80
develops during the school years 54
develops during the second half 228
develops during the second month 41
develops during the second week 125
develops from the caudal part 65
develops from the dorsal part 51
develops from the neural tube 134
develops into the larval form 42
develops into the mature worm 42
develops into the neural tube 57
develops into the spinal cord 279
deviations from the actual data 45
