dare assure you that i 73
dark haired man with a 101
dark little man with a 171
data showed that for a 48
data source that has a 48
days before had had a 47
days before her death a 57
days before her death i 94
days before his death a 231
days before his death i 335
days before she had a 65
days before they had a 90
days before you and i 48
days before you read a 51
days passed and not a 75
days passed and then a 46
days passed and then i 45
days thought they saw a 44
debt crisis has had a 58
deep inside her was a 152
deep inside her with a 153
deep inside him was a 110
deep thought and with a 50
deny nobody who has a 50
desk before him lay a 75
desk before him was a 79
desk before him with a 66
died before she had a 174
died before she was a 236
died before they had a 292
done slowly and with a 49
done something that was a 44
done without them for a 48
door before she had a 241
door before they had a 85
door behind her and i 148
door behind her with a 1686
door behind him and a 56
door behind him and i 145
door behind him with a 2584
door behind them with a 418
door opened and for a 62
door opened and with a 64
door opened then and a 47
door police car with a 117
down before her with a 98
down before him with a 212
down before she had a 63
down before they had a 386
down before you get a 120
down behind them with a 53
down beside her and i 81
down beside her for a 586
down beside her with a 916
down beside him and a 40
down beside him and i 79
down beside him for a 554
down beside him with a 1182
down beside them with a 59
down beside you for a 128
down coolly and pen a 63
down pretty low for a 103
draw around them with a 51
duke passed them for a 42
dumb beggar met with a 46
