democracies they have counter devices 68
development are very closely related 41
development has been carried forward 47
development has been closely related 78
development has been largely ignored 74
differences are also evident between 50
differences are more closely related 52
differences may have existed between 264
differences not only between species 64
differences that have emerged between 101
differences that have evolved between 58
differences that have existed between 140
differences that once existed between 90
disarmament and arms control efforts 107
disarmament and arms control measures 154
disarmament and arms control treaties 86
disciplines and brings together research 68
dislocations and other crystal defects 82
dislocations and other lattice defects 107
distinctions are made between persons 131
distinguished for their superior respect 124
distribution and rate strongly reflect 61
