day for pregnant and lactating 52
day his daughter was married 46
day was overcast and threatening 127
day with interest and pleasure 90
dead with weariness and vexation 365
deal with domestic and foreign 360
deal with problems that concern 46
deal with problems that involve 223
deal with problems that require 210
deal with serpents and dragons 116
death and cultural and psychic 44
death and darkness and despair 63
death both temporal and eternal 45
death has occurred that redeems 62
death his biography was written 45
death his property was divided 45
death was concealed for several 117
death was received with general 64
death was received with sincere 115
death with inflation and plethora 59
did and followed his example 43
did and suffered for ireland 79
did and suffered for mankind 43
did and suffered for sinners 47
did any generous and ingenuous 90
did not actually get married 53
did not actually get started 48
did not actually see anybody 62
did not alleviate this problem 45
did not announce her arrival 43
did not announce his arrival 69
did not announce his decision 207
did not announce his support 48
did not announce its decision 71
did not approach his subject 158
did not approach this problem 65
did not approach too closely 75
did not assemble them together 50
did not associate with anybody 43
did not associate with colored 41
did not coincide with national 65
did not collapse but climbed 378
did not commence any pursuit 41
did not commence his journey 49
did not complete and publish 73
did not complete her studies 80
did not complete his college 84
did not complete his history 46
did not complete his journey 67
did not complete his medical 111
did not complete his project 56
did not complete his schooling 42
did not complete his studies 707
did not complete this project 80
did not complete this question 82
did not conclude his lecture 47
did not conflict with article 46
did not conflict with british 142
did not conflict with federal 301
did not conflict with loyalty 44
did not conflict with national 119
did not conflict with previous 40
did not confront her husband 45
did not consider her husband 75
did not consider him capable 133
did not consider his behavior 47
did not consider his conduct 86
did not consider his position 118
did not consider his superior 75
did not consider that charles 69
did not consider that perhaps 58
did not consider that question 84
did not consider them capable 104
did not consider them friends 45
did not consider this decision 84
did not consider this problem 181
did not consider this question 327
did not consider this unusual 70
did not conspire nor consent 40
did not continue his history 58
did not continue his journey 199
did not continue his research 42
did not continue his studies 168
did not convince his critics 45
did not diminish his ability 49
did not diminish his concern 57
did not diminish his efforts 46
did not diminish his pleasure 46
did not diminish his respect 80
did not diminish his stature 88
did not diminish with advancing 44
did not diminish with increasing 54
did not disappear for several 110
did not disclose any details 95
did not disclose its failure 48
did not discover and display 50
did not discover for himself 48
did not discover for several 83
did not discover her mistake 76
did not discover his mistake 605
did not discover our mistake 102
did not discover our omission 107
